游戏 	 经典 无法 复制 ! 《 神鬼 寓言 3 》 PC 版 评析 《 神鬼 寓言 3 》 在 一个 异彩纷呈 的 虚拟世界 ， 人类 在 电脑 治下 民主 共存   --   再 没有 什么 比 这 更 能 激发 想象 的 火花 了 。 我 的 一个 小巧玲珑 的 世界 ， 我 可以 予取予求 。 力量感 在 我 周身 涌起 ， 因为 这 结果 完全 由 我 来 主宰 。 若 是 不想 眼看 着 那 帮 狼 人们 凌虐 镇子 ， 我 或者 施法 送 出 火球 ， 或者 挥舞 宝剑 ， 怎样 都 能 拯救 世界 。 我 也 可以 将 镇子 寻求 保护 的 一丝 光芒 熄灭 干净 ， 看着 怪物 们 把 尖叫 的 无辜 百姓 给 撕成 碎片 。 这些 方面 ， 《 神鬼 寓言 3 》 做 得 可圈可点 ， 但是   --   太 罕见 了 。 在 阿尔比 昂 大陆 最新 的 故事 里 ， 纵然 Lionhead 工作室 用 令人 荡气回肠 的 道德 抉择 设置 了 无数 奇思妙想 和 激动 时刻 ， 它们 却 被 深埋在 了 一堆 毫不 丰满 的 人物形象 、 冗长 的 故事 和 狗血 情节 里 。 如果 你 从来 没 玩儿 过 《 神鬼 寓言 》 ， Xbox - 360 独占 的 《 神鬼 寓言 2 》 也 错过 了   --   没关系 的 ， 别 担心 为了 了解 《 神鬼 寓言 3 》 而 做好 功课 的 事儿 。 所有 需要 你 知道 的 ， 开篇 全 交代 了 ： 国王 是 个 恶棍 ， 需要 被 干掉 。 并 不是 遵循 着 最初 的 故事 ， 总之 我   --   就是 主角 ， 从 城堡 里 跑 了 ， 混迹 市井 之中 ， 在 阿尔比 昂 这个 奇妙 的 大陆 中 徘徊 ， 以期 攒足 人气 资本 ， 把 国王 搞 下来 ， 我 自己 坐 这 把 交椅 。 《 神鬼 寓言 3 》 所 耍 的 手段 在于 ， 并 不是 我 戴 上 王冠 就 终章 了 。 那些 我 帮过 的 人 ， 我 还 得 给出 承诺 来 ； 一旦 取得 王位 ， 我 得 决定 是 旧账 一律 不认 ， 还是 一律 兑现 。 这 事儿 让 我 真的 很 不 舒服 。 我费大 力气 拯救 出 的 那些 人 ， 敢情 谁 都 不是 跑龙套 的 ， 都 等 着 最后 来 向 我 讨债 ， 都 等 着 我 登基 之后 捎 只 胳膊 带 把手 儿去 拉 他们 一把 。 而且 大多数 的 这种 事儿 都 跟 王国 的 安全 这种 更 高层次 的 要求 是 冲突 的 。 我 不得不 在 践行 诺言 与 保证 阿尔比 昂 的 安全 之间 竭力 求取 平衡 ， 小心翼翼 如履薄冰 。 这种 构思 其实 挺不错 ， 但是 本来 挺 好 的 一件 事儿 ， 感觉 怎么 就 这么 恶心 呢 。 首先 这些 人物 就 有 问题 。 绝大多数 的 这些 角色 都 同样 地 逡巡 。 相比 行动 来说 ， 还是 口音 和 衣着 能 有些 区分 。 置 他们 的 吁求 不顾 而 去 推广 童工 或者 把 妓院 夷为平地 ， 我 这 是 多么 撕心裂肺 的 抉择 啊 ！ 除了 我 的 导师 与 伙伴 沃特 ， 以及 暴君 洛根 之外 ， 剩下 的 角色 全都 一个 心眼儿 ， 根本 就 不 比 普通 的 三维 物件 强 到 哪里 去 。 作为 国王 而 背弃 承诺 之 时 ， 我 真是 毫无 任何 感觉 ， 仅仅 按下 键盘 命令 ， 让 他们 滚 ， 如是 而已 。 穿插在 《 神鬼 寓言 3 》 的 主线 故事 之中 ， 有 很多 招募 的 任务   --   几乎 就 没有 哪个 有意思 。 也 有 分支 任务 ， 可 大部分 都 是 教科书 一般 的 护送 或者 刺杀 任务 。 我 可以 购置 实业 ， 但是 只有 最 基本 的 项目 可 供 自定义 。 一个 饶有趣味 的 帝国 管理 游戏 就 这样 被 剥夺 了 ， 成 了 一个 单调 、 乏味 的 流程 ， 仅仅 在 金钱 进入 游戏 里 钱包 的 那 轻轻 一 声响 更是 放大 了 这 一点 。 我 可以 杀死 或者 审判 阿尔比 昂 的 百姓 ， 但是 与此一道 的 各种 冷笑 话 和 莫名其妙 的 大打出手 ， 完全 把 这种 感受 给 毁 了 。 哪怕 是 黎民 们 当面 儿 大喊大叫 说 我 是 “ 刽子手 ” ， 我 也 照旧 可以 傻乎乎 地 跳舞 、 做 支线 任务 、 去 约会 ， 搞不好 就 结婚 了 ， 还 拖家带口 的 。 游戏 中 的 形成 、 发展 和 关系 的 维系 ， 全 因为 这个 设定 被 束缚 住 了 。 就算 是 《 神鬼 寓言 3 》 在 某些 方面 引入 了 阴谋 和 神秘 的 元素 ， 例如 我 被 丢 到 一个 黑暗 荒芜 的 洞穴 之后 ， 我 不得不 面对 各种 恐惧 ， 这 使得 我 无法 探索 每 一个 角落 。 恐惧 在 这个 大陆 上 是 最 强大 的 邪恶 ， 而且 大约 会 在 游戏 进程 的 三分之二 处 出现 ， 而且 仅仅 会 遭遇 几次 而已 。 游戏 给 人 的 感觉 就是 完成度 不高 ， 而且 赶工 迹象 明显 。 寻找 游戏 中 的 收集 元素 、 参与 小鸡 快 跑 比赛 、 镇压 地 精 等等 事情 都 让 人 很 难 一直 保持 兴趣 。 而 当 我 最终 坐 上 王座 之后 ， 《 神鬼 寓言 3 》 所 能 提供 的 选择 少得 可怜 。 还好 《 神鬼 寓言 3 》 有 一些 时尚 和 幽默 。 有些 台词 写得 还是 非常 有意思 的 。 虽然 这样 的 台词 对 塑造 人物 没有 任何 意义 ， 但是 会 让 你 一直 一直 笑 。 阿尔比 昂 仍然 是 个 美丽 的 地方 ， 而且 角色 模型 、 动画 和 环境光 跟随 构造 除了 这个 美丽 的 世界 。 从 墓地 的 薄雾 到 荒漠 的 午后 阳光 ， 这样 一个 充满生机 的 地方 非常 令人 赞叹 。 配音 做 的 很 专业 。 任务 繁多 ， 讲述 了 一个 宏大 的 故事 ， 而且 还有 很多 娱乐 元素 ， 不过 所有 这些 都 相互 孤立 ， 让 本该 成为 一款 佳作 的 《 神鬼 寓言 3 》 就 这样 沦为 了 一款 毫不 出彩 的 作品 。 战斗 过程 令人兴奋 ， 但是 缺乏 打击 感 。 由于 战斗 过程 的 乏味 ， 所以 战斗 无法 使 玩家 的 注意力 从 游戏 剧情 和 肤浅 的 人物 问题 上 转移 开 。 格斗 武器 ， 枪支 和 魔法 本质 上 来说 都 是 一样 的 。 基本上 都 是 闪躲 和 攻击 ， 这样 的 方法 可以 用来 对付 所有 遇到 的 敌人 。 说实话 ， 这样 的 战斗 系统 着实 令人 失望 。 武器 升级 所 带来 的 外观 和 属性 上 的 改变 让 我 切实 感受 到 了 游戏 的 进程 ， 不过 由于 战斗 系统 的 失败 ， 这样 的 设定 也 让 人 感到 无聊 。 整体 感觉 6.5 分 ： 漂亮 的 界面 ， 不过 与 PC 平台 毫不 相称 。 杂乱无章 的 故事 与 游戏 节奏 画面 表现 7.5 分 ： 一些 很棒 的 动画 和 特效 ， 还有 多彩 和谐 的 艺术风格 声效 表现 8.0 分 ： 令人振奋 的 音乐 ， 配音 表演 相当 完美 上 手 体验 6.0 分 ： 有 很多 可以 做 的 内容 ， 但 只有 很小 部分 令人兴奋 。 单调 的 战斗 ， 重复 的 任务 ， 只有 很小 部分 值得 情感 投入 耐 玩性 5.5 分 ： 你 或许 从 合作 游戏 和 大量 的 收集 感到 愉悦 ， 但 这 也 无法 更改 核心 游戏 体验 总评 6.0 分 ： 还行 吧 
 游戏 	 《 火炬 之光 2 》 因 技术 限制 无缘 主机 《 火炬 之光 》 在 PC 上 获得 了 巨大 的 成功 之后 ， 便 被 移植 到 了 XBLA 上 ， 不过 《 火炬 之光 2 》 目前 却 超过 了 XBLA 的 内存 限制 ， 于是 开发 团队 便 将 注意力 转移 到 了 开发 MacOS 版上 。 Runic   Games 的 CEO   Max   Schaefer 在 接受 采访 时 表示 ， 第一部 《 火炬 之光 》 刚好 符合 XBLA 的 文件大小 限制 。 不过 现在 文件大小 不是 问题 ， 问题 是 《 火炬 之光 2 》 超出 了 内存 限制 ， 所以 需要 完全 重新 设计 以 适应 Xbox   360 的 下载 服务 。 然而 ， 开发 团队 需要 为 主机 重新 制作 接口 ， 就 像 先前 的 《 火炬 之光 》 一样 ， 所以 为了 登陆 Xbox 或许 会 做出 一些 精简 。 但是 现在 开发 团队 还 没有 开始 着手 写 XBLA 版本 ， 目前 的 工作 重心 在 完成 PC 版 之后 制作 一个 MacOS 版 。 
 游戏 	 水火不容 ！ 外媒 评选 游戏 业 十大 仇敌 当今世界 ， 无论 在 什么 行业 都 难免 不 竞争 ， 而 在 游戏 界 中 这种 竞争 缺 经常 上演 ， 就 单独 拿 这 段时间 比较 火热 的 动视 和 EA 而言 ， 这 就是 一种 竞争手段 ， 只不过 这种 竞争 是 公开化 的 一种 … … 今日 ， 国外 媒体 对 游戏 界 和 游戏 中 的 竞争对手 进行 的 十大 评选 ！ 1 . 吃 豆 人 vs 幽灵 《 吃 豆 人 》 游戏 是 一个 经典 的 开始 ， 这 一切 看起来 非常 的 简单 ， 但是 经过 无数次 游戏 ， 玩家 就 会 发现 ， 黄色 小球 的 主角 吃 豆 人 在 游戏 中 的 对手 就是 那些 五颜六色 的 幽灵 ， 也 可以 这样 说 ， 幽灵 经常 追逐 吃 豆 人 ， 相反 的 是 吃 豆 人 也 会 去 追逐 幽灵 ， 唯一 不同 的 是 吃 豆人会 将 沿路 的 那些 白色 小点 吞掉 ， 并 躲避 幽灵 的 追逐 … … 2 . 索利得 · 斯内克 vs   Liquid   Snake 准确 的 来讲 这 两人 应该 是 一对 好 兄弟 ( 克隆 ) ， 但是 经过 Big   Boss 对 Liquid 进行 了 魔童 计划 ， 导致 其 变成 了 无比 邪恶 的 角色 ， 当然 唯一 能够 战胜 他 的 也 就 只有 索利得 · 斯内克 … … 3 . 游戏 行业 vs 游戏 白痴 任何 行业 中 都 会 有 被 称为 左翼 和 右翼 的 派别 ， 在 游戏 这个 行业 中 这种 类型 的 派别 也 是 存在 的 ， 这 就 好比 一些 人士 受聘 于 福克斯 电视网 ， 专门 去 讲解 大众 玩游戏 后 ， 参与 犯罪 等 不利 报道 ， 然而 另外 一些 人 却 受聘 于 其他 机构 ， 又 专门 去 讲解 玩游戏 的 好处 。 当然 ， 最后 至于 游戏 的 好 与 坏 ， 也 只有 玩家 自己 去 体会 … … 4 . 马里奥 vs   库巴 在 《 马里奥 》 系列 游戏 中 ， 玩家 看过 的 大部分 剧情 主要 就是 描写 邪恶 无比 的 库巴 经常 去 绑架 碧奇 公主 ， 然后 马里奥 就 挺身而出 ， 与 邪恶 喷火 的 大龟 — — 库巴 ， 进行 所谓 的 正义 与 邪恶 的 战斗 ， 当然 这 一切 往往 都 是 以 马里奥 的 胜利 为 结局 。 不过 ， 在 《 马里奥 赛车 》 或 《 马里奥 网球 》 等 游戏 中 ， 这 两对 仇家 会 放弃 仇恨 ， 有时候 会 并肩作战 获得胜利 ， 然而 有时候 也 会 进行 对战 ， 不过 库巴 在 这里 也 会 偶尔 的 战胜 马里奥 … … 5 . 动视 vsEA 其实 动视 与 EA 的 仇恨 ， 主要 原因 就是 来自 一场 涉及 数百万美元 的 诉讼 ( 《 现代战争 1 》 员工 跳槽 至 EA ) ， 但 最 重要 的 还 属 EA 公开 《 战地 3 》 ， 并 宣称 要 将 动视 《 使命 召唤 》 系列 推下 FPS 宝座 ， 不过 具体 谁 能 赢得 最后 的 胜利 ， 也许 还是 需要 时间 来 对 其 进行 依依 验证 … … 6 . 林克 vs 加农 对 喜爱 《 塞尔达 传说 》 系列 的 玩家 而言 ， 男孩 林克 使用 各种 武器 和 智慧 去 战胜 邪恶 的 加农 ， 这 一切都是 无比 爽快 的 ， 不过 一些 玩家 就 一直 想 解开 一个 困在 心中 多年 的 问题 ， 那么 就是 《 塞尔达 》 系列 游戏 中 ， 为什么 总是 林克 在 不同 的 时间 、 不同 的 世界 以及 不同 的 地点 去 对战 加农 呢 ？ 7 . 小智 vs 小茂 其实 在 《 口袋妖怪 》 中 这 两个 人才 是 真正 的 竞争对手 ， 而 火箭队 的 出现 ， 也 只是 为 这 两人 的 竞争 而 做出 的 一个 台阶 ， 虽然 火箭队 的 搞笑 成分 让 本作 动画 或 游戏 带 很多 的 搞笑 成分 ， 但是 这 两人 的 带 友谊 性质 的 直接 竞争 ， 才 是 作品 的 最大 看点 … … 8 . FIFA   vs   PES 多年 前 PES 还是 属于 足球 游戏类 中 的 顶级 作品 ， 但是 EA 公司 的 FIFA 经过 大幅度 修改 和 提升 游戏 品质 ， 让 其 游戏 一举 成为 世界 顶尖 足球 游戏 ， 虽然 PES 也 经过 一些 改进 ， 但是 就 目前 而言 ， 游戏 的 一些 实质 效果 不是 很受 玩家 的 欢迎 ， 总而言之 这 两款 作品 在 游戏 界 中 就 属于 一种 具有 较强 竞争 意识 的 作品 ， 也许 今年 FIFA 游戏 会 很 受 玩家 欢迎 ， 但是 说不定 在 明年 PES 就 会 比 FIFA 制作 的 更好 … … 9 . 部落 vs   联盟 对 喜爱 魔兽 世界 的 玩家 来讲 ， 选择 联盟 阵营 或是 部落 ， 也许 就 决定 着 以后 所属 派别 能否 比 对手 阵营 更 强大 ， 当然 很多 玩家 都 还是 因为 朋友 的 介绍 而 进行 了 选择 ， 不过 这 一切 还是 需要 看 玩家 们 的 心态 。 10 . 玩家 vs 玩家 一些 玩家 喜爱 PS3 或 X360 ， 但 另外 的 玩家 就 喜欢 任天堂 的 游戏 或 PC 等 其他 主机 ， 这样 就 难 免不了 引起 各种 玩家 之间 的 战争 ， 也 就是 在 这种 情况 下才 诞生 了 所谓 的 索饭 、 任饭 、 软饭 以及 现在 流行 的 苹果 饭 … … 
 游戏 	 FPS 游戏 大作 《 狂怒 》 最新 宣传 影像 《 狂怒 》 是 由 《 雷神之锤 》 开发商 所 开发 的 全新 科幻 FPS 游戏 ， 下面 请 看 该作 的 最新 宣传 影像 ： 
 游戏 	 《 上古 卷轴 5 》 豪华 收藏版 震撼 公布 8 月 7 日 ， Bethesda 公布 了 奇幻 角色扮演 游戏 大作 《 上古 卷轴 5 ： 天际 ( The   Elder   Scrolls   V :   Skyrim ) 》 的 收藏版 的 内容 ， 其中 包括 一座 精美 的 巨龙 雕像 。 《 上古 卷轴 5 》 收藏版 的 内容 如下 ： － 一座 12 英寸 ( 30 厘米 ) 高 的 巨龙 雕像 ， 这是 一条 名为 Alduin “ 吞噬 世界 之龙 ” 的 巨龙 － 官方 美术 设定 集 ， 厚达 200 页 ， 全彩 ， 内容 包括 游戏 角色 、 生物 、 场景 和 武器 ， 本书 前言 由 游戏 制作 人 Todd   Howard 撰写 ， 正文 中 的 文字说明 由 游戏 的 美术师 撰写 － 游戏 制作 花絮 DVD ， 介绍 了 许多 幕后 的 故事 ， 以及 开发 团队 的 访谈 ， 他们 将 介绍 游戏 故事 、 设定 、 传说 、 背景 等 设定 是 如何 构思 和 创造 的 。 根据 Bethesda 的 攻关 副总裁 Pete   Hines 介绍 ， 《 上古 卷轴 5 》 收藏版 数量 极少 ， 定价 为 149.99 美元 。 编译 / 熊猫 
 游戏 	 《 极品飞车 16 》 将 有 限量版 和 预定 奖励 8 月 6 日 ， EA 正式 宣布 ， 《 极品飞车 》 系列 新作 《 极品飞车 ： 亡命 狂飙 ( Need   for   Speed :   The   Run ) 》 定于 11 月 15 日 上市 ， 并 同时 会 推出 限量版 。 预定 游戏 的 限量版 的 玩家 将会 在 游戏 中 获赠 2012 年式 保时捷 911   CarreraS 、 兰博基尼 Aventador 以及 卡玛 洛 － 2012 年式 雪佛兰 卡玛 洛 ZL1 三辆 跑车 作为 限量 特典 。 《 极品飞车 ： 亡命 狂飙 》 的 故事 讲述 ， 你 加入 地下 飚 车 世界 的 入会 仪式 即将 开始 ， 你 将 扮演 Jack   Rourke 。 你 只 需 付出 少少的 $ 25 , 000 ， 即 有 机会 赢得 可观 的 $ 25 , 000 , 000 . 。 . 前提 是 你 得 活着 回来 。 在 从 旧金山 狂飙 至 纽约 的 路途 上 ， 你 得 面对 200 位 其他 车手 。 在 这场 争夺 第一 的 混战 之中 ， 你 将 以 高速 划破 道路 。 炙热 沙漠 和 崩塌 雪块 对 你 来说 不过 是 小 问题 ， 因为 你 后方 还有 穷追不舍 的 警察 、 敌手 和 暴徒 ， 有些 人 是 为了 荣耀 ， 有些 人 是 为了 钱财 。 《 极品飞车 ： 亡命 狂飙 》 北美地区 上市 日期 为 2011 年 11 月 15 日 ， 欧洲地区 上市 日期 为 2011 年 11 月 17 日 ， 将 推出 PC 、 X360 和 PS3 版 。 编译 / 熊猫 
 游戏 	 卡通 FPS 游戏 《 无主之地 2 》 初步 细节 《 Game   Informer 》 杂志 如约 刊出 该作 初步 细节 ： -   继承 前作 的 四人 合作 机制 ， 但 前作 中 四名 角色 如今 成 了 游戏 中 的 NPC ， 玩家 现在 要 扮演 新人 。 -   封面 上长 着 络腮胡子 手持 两把 长枪 的 家伙 是 一名 战士 类 角色 ， 名叫 萨尔瓦多 ( Salvador ) 。 他 的 本领 之一 就是 武器 双持 。 -   动态 关卡 设计 ， 玩家 任务 完成 与否 直接 影响 后续 剧情 。 比如 某个 拯救 任务 超时 失败 会 引领 你 走向 Bad   End 。 -   游戏 新增 一种 新元素 名为 Eridium ， 其 价值 足以 充当 游戏 中 的 硬通货 ， 玩家 可 使用 该 物质 强化 枪械 及载 具 。 -   对手 多样化 ， AI 水平 得到 极大 提升 。 -   武器 重新 设计 ， 前作 中 的 武器 不会 出现 在 新作 中 。 各 武器 制造商 有 自己 独特 的 风格 样式 ， 武器 可 定制 增强 部件 及 涂装 。 -   载具 元素 在续 作中 得以 延续 。 杂志 中 出现 了 一种 " Bandit   Technical ( 强盗 技术 ) " 车辆 ， 另 一辆车 则 配有 四个 座位 ， 实现 四人 合作 兜风 的 意图 十分 明显 。 -   新作 的 技能 树 与 前作 类似 ， 沿用 传统 的 三 分支 结构 。 据说 小 吵闹 也 将 以 某种 形式 回归 本作 ， 但 具体 细节 现在 还 不 清楚 。 新作 的 篇幅 无疑 将 超越 前作 ， 但 是否 要 借助 DLC 撑起 半壁江山 ， 这 就 看 Gearbox 和 2K   Games 的 良心 了 。 
 游戏 	 暴雪 称 《 暗黑 3 》 需 全程 联网 才能 游戏 8 月 8 日 消息 ， 在 本周 早些时候 ， 暴雪 公司 宣布 《 暗黑 3 》 只有 接入 互联网 才能 进行 游戏 的 消息 后 ， 在 业界 引来 了 各种 不同 的 反映 ， 而 大部分 玩家 则 对 暴雪 的 这种 做法 表示 愤怒 。 今日 ， 暴雪 公司 在线 技术 副总裁 Robert   Bridenbecker 在 接受 国外 媒体 采访 时 就 对 为何 只有 接入 互联网 才能 游玩 《 暗黑 3 》 的 问题 进行 了 简单 的 解答 。 “ 我 实际上 对 在线 游戏 要求 各种 地方 、 各种 年龄 等 问题 感到 惊讶 ！ 15 年来 ， 我们 一直 都 在 致力于 在线 游戏 的 创作 ， 而 Battle . net 和 《 魔兽 世界 》 就是 这种 现象 的 结果 ， 现在 《 暗黑 3 》 也 将 会 发挥 上述 事情 的 行业 性质 。 其实 ， 很多 玩家 认为 我们 这样 做 主要 原因 是 打击 盗版 等 现象 的 发生 ， 但是 我 对此 说法 表示 否认 ， 因为 《 暗黑 3 》 的 游戏 系统 在 玩家 眼里 是 一种 非常 神圣 的 设置 ， 而 我们 不能 保证 在 这些 人 当中 会 不会 有 黑客 出现 ， 所以 为了 在 一定 程度 上 保护 游戏 ， 我们 才 对 其 作出 了 只有 接入 互联网 才能 游玩 的 规定 。 而 这些 设置 在 相对 的 程度 上 不会 对 那些 想 进行 单人 模式 游戏 的 玩家 造成 任何 影响 。 ” 
 游戏 	 策略 经典 续作 《 要塞 3 》 演示 视频 公布 《 要塞 》 系列 沉寂多年 之后 ， 《 要塞 3 》 终于 浮出 水面 了 。 如果 您 很 喜欢 策略 类 游戏 又 不 了解 这 款 游戏 是 怎么回事 ， 那么 不妨 看看 下面 这 段 视频 。 《 要塞 》 系列 沉寂多年 之后 ， 《 要塞 3 》 终于 浮出 水面 了 。 如果 您 很 喜欢 策略 类 游戏 又 不 了解 这 款 游戏 是 怎么回事 ， 那么 不妨 看看 下面 这 段 视频 。 
 游戏 	 美国 女性 玩家 游戏 开销 高于 男性 玩家 北京 时间 8 月 8 日 早间 消息 ， Visa 旗下 在线 支付 公司 PlaySpan 委托 VGMarket 进行 的 最新 研究 显示 ， 美国 网游 玩家 正 越来越 多地 使用 借记卡 、 贷记卡 和 预付费 卡 购买 虚拟 商品 ， 而 女性 玩家 的 游戏 开销 高于 男性 玩家 。 VGMarket 于 今年 7 月 对 数据库 中 的 超过 1000 名 玩家 进行 了 调查 。 结果显示 ， 近 1 / 3 的 普通 玩家 使用 真实 货币 购买 虚拟 商品 。 在 这些 玩家 中 ， 有 57% 至少 每月 一次 购买 虚拟 商品 。 在 所有 购买 虚拟 商品 的 玩家 中 ， 有 51% 是 主机 游戏 玩家 ， 30% 为 社交 游戏 玩家 ， 而 排名 第三 的 为 大型 多人 在线 游戏 ( MMOG ) 玩家 。 在 调查 中 ， 72% 的 受访者 表示 ， 他们 预计 2011 年 花费 在 游戏 中 的 钱 将 大于 等于 2010 年 。 其中 的 67% 表示 ， 今年 玩 网游 的 时间 将 比 去年 更长 ， 而 42% 表示 目前 有 更 多 的 资金 预算 用于 网游 。 32% 的 受访者 表示 ， 购买 更 多 虚拟 商品 是因为 在线 支付 越来越 容易 。 其他 的 原因 还 包括 购买 虚拟 商品 能 带来 较 高 的 游戏 内 回报 等 。 42% 的 普通 玩家 表示 ， 过去 12 个 月 中曾 购买 游戏 内 虚拟 货币 。 47% 的 普通 玩家 表示 ， 曾 购买 地图 和 关卡 。 而 29% 的 游戏 玩家 曾 购买 游戏 内 的 武器 和 装备 。 整体 来看 ， 女性 玩家 使用 Facebook   Credits 购买 虚拟 商品 的 可能性 是 男性 玩家 的 3 倍 。 而 在 大型 多人 在线 游戏 中 ， 女性 玩家 和 男性 玩家 的 平均 支出 分别 为 111 美元 和 74 美元 ( 向 游戏 运营 方 直接 购买 ) ， 以及 86 美元 和 77 美元 ( 向 第三方 来源 购买 ) 。 在 休闲游戏 方面 ， 这一 差异 更为 明显 。 
 游戏 	 虚幻 竞技场 4 ？ Epic 全新 作品 开发 中 8 月 7 日 ， Epic   Games 在 其 官方网站 上 刊登 了 一则 新 的 招聘 信息 ， 根据 招聘 的 内容 ， Epic 正在 开发 一款 全新 的 游戏 作品 。 本次 Epic   Games 发出 的 招聘 信息 是 来自 该 公司 位于 美国 东南部 的 北卡罗莱纳州 的 工作室 发出 的 ， 该 工作室 同时 也 是 Epic   Games 的 核心 工作室 。 招聘 公告 上将 工作 内容 描述 为 ， “ Epic   Games 招募 游戏 开发人员 ， 加入 《 战争 机器 3 》 的 开发 团队 ， 这个 团队 还 在 开发 一款 尚未 公布 的 新作 。 ” 开来 Epic   Games 已经 在 为 继 《 战争 机器 3 》 后 的 作品 作 打算 了 ， 并且 新作 的 开发 团队 还是 最 精英 的 《 战争 机器 3 》 的 开发 团队 。 编译 / 熊猫 
 游戏 	 Take - 2 财报 游戏 销量 很 好   但 依旧 亏损 Take - 2 发布 了 第一季度 财报 ， 虽然 旗下 大作 《 黑色 洛城 》 发售 400 万份 ， 《 荒野 大 镖客 》 发售 1100 万份 ， 但是 依旧 亏损 。 据统计 ， Take - 2 第一季度 收入 3 亿美元 ， 相比 前 一个 财季 下降 12% 。 亏损 8 百万美元 。 - Q1 重点 大作 《 黑色 洛城 》 出货量 400W 套 。 至于 公爵 ， 虽然 《 永远 的 毁灭公爵 》 的 各类 评测 结果 都 令人 失望 ， 但 这 并 不 影响 其为 Take - Two 带来 利润 。 媒体 的 评分 并 没有 阻止 玩家 的 购买 欲望 ， 《 永远 的 毁灭公爵 》 在 月度 NPD 榜单 上 获得 了 第二名 的 好 成绩 。 虽然 Take - Two 在 此前 的 14 年里 并 没有 投入 开发 资金 ， 但 他们 还是 为 游戏 发行 的 版权 付出 了 1200 万美元 。 - 《 荒野 大 镖客 》 目前 出货量 已经 达到 1100 万套 ， 连 DLC 《 亡灵 梦魇 》 零售 光盘版 都 出货 200W 套 。 - 《 NBA   2K11 》 出货 550 万套 。 
 游戏 	 二十年 前 的 刺客 信条     游戏 趣闻 大 荟萃 文 / mageCore         【 新浪 游戏 专稿 ， 转载 请 注明 来源 】 热爱 游戏 的 你 ， 肯定 也 喜欢 看 那些 与 游戏 有关 的 趣事 ? 闻 ， 每次 小编 我 看到 这些 与 游戏 联系 紧密 又 充满 趣味 的 东西 都 必然 会心一笑 。 今天 小编 就 精心 整理 了 一些 近期 的 游戏 趣闻 ， 相信 众 玩家 一定 会 满意 。 如果 二十年 前有 《 刺客 信条 》 《 刺客 信条 》 系列 是 一个 又 酷 又 帅 又 爽 的 游戏 ， 俨然 已经 成为 育碧 的 金字招牌 ， 要是 早 二十年 出现 会 是 什么 样子 呢 ， 大概 就是 上面 视频 中 的 那样 。 这个 视频 虽然 时间 不 长 ， 但是 音乐 和 配音 都 很 有 原版 的 范儿 ， 8 位机 的 画面 也 很 是 可爱 ， 最后 的 结局 让 人 捧腹 。 另外 ， 制作 这个 视频 的 玩家 们 还 设计 了 相应 的 主题 T恤 。 食人花 耳环 几乎 没有 玩家 不 知道 《 超级 马里奥 》 ， 这种 可爱 的 食人花 耳环 最 适合 女性 游戏 玩家 佩戴 了 ， 相信 就算 是 那些 不 喜欢 玩游戏 的 女性 ， 也 肯定 会 被 它 可爱 的 外形 吸引 。 街头 玩 扫雷 在 老 北京街头 的 傍晚 ， 常常 可以 看到 老大爷 们 在 下棋 ， 当 你们 老去 的 时候 ， 你们 会 不会 在 街头 玩游戏 呢 ？ 游戏 公司员工 创意 游戏 玩家 们 常常 会 很 好奇 游戏 的 制作者 们 是 怎样 热爱 着 他们 的 工作 ， 育碧 法国 的 员工 们 想必 可以 回答 这个 问题 ， 他们 在 办公楼 的 玻璃 上用 便利 贴 贴 出 了 一个 又 一个 的 经典 游戏 人物 ， 实在 是 太 有 爱 了 。 俄罗斯 方块 世界 这是 一张 颇具 创意 的 宣传画 ， 《 俄罗斯 方块 》 是 游戏 史上 的 经典 ， 不过 你 真的 喜欢 整齐划一 的 世界 么 ？ 更 多 游戏 资讯 请 查看 ： 新浪 游戏 媒体 之声 > >   /   新浪 游戏 产业 资讯 > >   /   精彩 专题 > > 
