时政 	 总指挥 常万全 宣布 神舟 七号 发射成功 总指挥 常万全 宣布 ： 神舟 七号 载人 飞船 进入 预定 轨道 ， 发射 圆满成功 ！ 
 时政 	 陈水扁 出庭 与 法官 问答 实录   称 不 清楚 海外 账户 中新网 10 月 8 日电   据 台湾 TVBS 报道 ， 台当局 前 “ 调查 局长 ” 叶盛茂 隐匿 公文 案 今天 ( 8 日 ) 上午 由叶 盛茂 和 陈水扁 进行 关键 对质 ， 陈水扁 成为 庭上 焦点 。 以下 是 陈水扁 与 法官 在 庭上 的 攻防 对话 ： ◎ 有没有 看过 ？   检 当庭 提示 公文 复印件 法官 ： “ 调查 局长 ” 给 你 的 情资 ， 时间 跟 地点 都 在 哪里 ？ 扁 ： 都 在 “ 总统府 ” 。 法官 ： 时间 呢 ？ 扁 ： 每月 一次 当面 呈交 ， 平时 没 见面 时 ， “ 调查局 ” 也 会 送 相关 情资 报告 。 法官 ： 有没有 到 官邸 报告 ？ 扁 ： 应该 有 但是 很少 ， 基本上 都 在 “ 府 ” 。 法官 ： 为什么 到 官邸 ？ 扁 ： 可能 是 时间 比较 好 配合 。 法官 ： 就 你 了解 ， ( 调查 ) “ 局长 ” 跟 你 报告 别人 犯罪 情资 ， 有没有 什么 法令 依据 ？ 扁 ： 详细 我 不 清楚 ， 但应 是 照 惯例 。 法官 ： 有时候 用 文件 报告 ， 报告 完 之后 把 文件 交给 你 ， 有无 法律依据 ？ 扁 ： 一般 经过 打字 整理 ， 直接 交给 “ 总统 ” 。 法官 ： 你 没 回答 我 的 问题 ， 我 是 问 你 法律依据 。 扁 ： 因是 情资 报告 ， “ 总统 ” 听 不同 来源 来 做 参考 ， 2000 年 之前 也 都 是 这样 ， 在 我 之后 也 没有 变革 。 法官 ： 这是 惯例 ， 有 法律依据 吗 ？ 扁 ： 我 没有 细查 。 ◎ 法官 问 收到 情资 如何 处理   扁 ： 情资 这么 多 无法 分辨真假 扁 ： 我 只 知道 ， 叶盛茂有 跟 我 报告 洗钱 情资 ， 但 内容 不 具体 。 法 （ 法官 ， 下同 ） ： 被告 怎 报告 ？ 扁 ： 不 记得 ， 事情 那么 多 不 记得 了 。 法 ： 地点 在 哪 ？ 扁 ： “ 总统府 ” 里 。 法 ： 叶盛茂 报告 ， 距离 泽西岛 来函 有 多久 ？ 扁 ： 这件 事叶 盛茂 没有 说 。 法 ： 报告 前 是否 已 知悉 ？ 扁 ： 我 不 知道 。 法 ： 知道 情资后 如何 处理 ？ 扁 ： 过去 对于 洗钱 传闻 很多 ， 我 问 太太 她 都 否认 知情 ， 这 一件 问 她 她 仍然 没 承认 ， 我 也 有 问 相关 当事人 他们 也 全 否认 ， 太太 说 没有 时 ， 很难 判断 “ 调查局 ” 报告 是否 为 真 。 法 ： 太太 说 没有 ， 你 选择 相信 她 ， “ 调查局 ” 报告 有 根据 你 不信 ， 这 合乎 常情 吗 ？ 扁 ： 大家 耳熟能详 的 ， “ 局长 ” 报告 过 宋楚瑜 、 陈云林 在 美国 会面 ， “ 局长 ” 也 跟 我 说 有 充分 证据 我 也 采信 “ 局长 ” ， 说法 认 有所 本 对外 披露 ， 结果 被告 ， 最后 败诉 ， 依 我 过去 情形 ， “ 调查局 ” 很多 东西 都 是 不 实在 的 ， 不是 我要 批 “ 调查局 ” ， 每次 拿到 的 根本无法 判断 什么 是 真的 什么 是 假 的 ， 只能 列 参考 ， 若 百分百 相信 ， 整个 “ 国家 ” 就 乱掉 了 。 法 ： 但 这次 情况 ， 是 有 根据 的 怎么 不 信 ？ 扁 ： 洗钱 信息 多 又 不是 第一次 ， 像 艾格 蒙 这个 字眼 我 是 第一次 看 ， 我 不 知道 是 怎样 的 ， 国际 组织 很多 报告 引经据典 ， 也 无法 判断 何为 真 何为 假 。 法 ： 那 太太 说 没 ， 这 回事 理应 向 叶盛茂 求证 ， 有无 这么 做 ？ 扁 ： 如同 陈云林 事件 求证 没用 ， “ 局长 ” 一再 告诉 我 没有 问题 ， 我 深信 有所 本才 对外 披露 说 有所 本 ， 可是 讲 出来 “ 局 ” 里 无法 提出 事证 ， 证实 有所 本 ， 部分 信息 分化 内部 团结 ， 百分之百 相信 要犯 断头 之罪 。 法 ： 你 还是 没有 ， 回答 我 的 问题 ， 你 有没有 向 太太 求证 ？ 扁 ： 没有 ， 就是 根据 我 过去 经验 ， 我 没有 没 向 太太 求证 。 法 ： 那 很 危险 喔 ， “ 调查局 ” 说 的 你 都 不 相信 ( 庭 上传 笑声 ) 。   ◎ 法官 问 海外 资金 转汇   扁 一概 不 清楚 扁 ： 2000 年时 当选 “ 总统 ” ， 有情 资 传出 ， 副手 吕秀莲 要 替 我 募 8 亿 ， 事后 证明 这 情资 不 正确 ， 如果 我 没 当选 ， 我 也 不会 知道 有 这样 不实 的 报告 。 法官 提示 ， 信托 、 账户 资料 ， 有关 洗钱 防制 中心 ， 陈水扁 家属 海外 资金 转移 资料 ， 06 年 12 月 21 日 你 媳妇 黄睿靓 在 台 中 ， 瑞士 美林 银行 派人来 台湾 ， 黄睿靓 签署 开户 合约 ， 你 知道 吗 ？ 扁 ： 我 不 清楚 。 法 ： 吴淑珍 07 年 1 月 24 日 终止 新加坡 标准 银行 账户 ， 04 年 10 月 1 日 ， 开户 受益人 吴淑珍 、 陈幸 妤 、 陈致 中 ， 账户 内有 美金 11507513.72 ， 及 有价证券 信托 关系 ， 为何 如此 ？ 扁 ： 我 不 清楚 。 法 ： 陈致 中 通知 瑞士 信贷 新加坡 分行 理财 专员 ， 有关 陈和升 跟 吴 陈俊英 联合 账户 转帐 ， 该 账户 随即 于 07 年 2 月 转出 357562.19 美元 ， 到 吴景茂 瑞士 新加坡 分行 账户 里 ； 05 年 9 月 5 日 开户 ， 07 年 3 月 6 日 销户 ， 为什么 如此 ， 你 知道 吗 ？ 扁 ： 我 不 知道 。 法 ： 在 瑞士 美林 银行 ， 07 年 2 月 15 日 黄睿靓 开户 后 ， 吴景茂 在 当天 和 07 年 3 月 2 日 由 新加坡 瑞士 信货 银行 转移 到 瑞士 美林 银行 ， 黄睿靓 账户 内 ， 为何 你 知道 吗 ？ 扁 ： 我 不 知道 。 法 ： 美林 开曼群岛 信托公司 ， 07 年 5 月 设立 黄睿靓 在 ， 07 年 5 月 2 日 ， 将 瑞士 美林 银行 资金 2100 万美金 转 到 开曼群岛 信托公司 里 ， 其中 1100 万 ， 美金 转 陈致 中 苏黎世 银行 账户 内 ， 为何 你 知道 吗 ？ 扁 ： 我 不 知道 ， 我 不 清楚 。 法 ： 被告 有 没 在 08 年 1 月 18 日 ， 开曼群岛 金融中心 ， 提供 黄睿靓 金融 账户 数据 ， 及 “ 调查局 ” 因此 制作 的 公文 正本 和 附件 交给 你 。 法 ： 如果 有 将 公文 交给 你 ， 在 何时何地 ？ 扁 ： 我 没收 到 ， “ 调查局 ” 要 给 “ 最高检 ” 的 公文 和 附件 ， 那么 多 的 英文 资料 我 没 看到 ， 我 没有 ， 我 只 看到 开曼群岛 来函 中文翻译 ， 时间 在 1 月 到 2 月间 ， 地点 在 “ 总统府 ” ， 办公室 在 一次 例行 报告 里 。 ◎ 法官 ： 听取 公文 是否 应 利益 回避   扁称 只是 情资法 ： 被告 前后 两次 跟 你 报告 ， 你 说 会 处理 ？ 扁 ： 我 没有 这样 讲 。 法 ： 你 如何 讲 ， 怎么 可能 看 了 报告 都 不 讲话 。 扁 ： 我 没有 讲 ， 因为 心里 知道 ， 事实上 ， 很多 报告 我 只 听 没 讲话 。 法 ： 上 回 笔录 你 说 ， 只 看过 开曼群岛 来函 中文 译本 ， 但 请求 协查 对象 调查 数据 ， 你 没 看过 ， 这句 话 ， 是 什么 意思 ？ 扁 ： 附件 多 ， 有 中文 英文 一些 东西 ， 我 只有 后面 中文 有 看到 。 法 ： 你 收受 该 数据 的 中文 译本 ， 你 为何 收 ？ 有何 权力 收 ？ 是否 应该 利益 回避 ？ 扁 ： 这是 “ 调查 局长 ” 给 的 报告 ， 我 将 它 视为 情资 报告 。 法 ： 可是 这份 数据 明确 记载 ， 你 家属 海外 资金 如何 移转 ？ 你 还 认为 是 一般 情资 吗 ？ 扁 ： 我 认为 是 情资 报告 。 法官 加重 语气 ， 问 ： 你 认为 这 合情合法 吗 ？ 扁 ： 因 我 已知 这 事 ， 所以 当 我 看到 中文 译本 立刻 处理 掉 ， 没 保留 、 没 带回家 ， 我 不 认为 有 利益 回避 问题 ， 我 也 没有 回避 ， 就 像 很多 情资 牵涉到 我 所属 的 政党 。           审判长 与 陈水扁 律师 发生 口角   怒 甩 大门 宣布 退庭         台北 法院 14 日 将 再度 开审 台前 “ 调查 局长 ” 案         陈水扁 庭上 称 相信 妻子 没 洗钱 
 时政 	 陈水扁 法庭 上 耍嘴皮 引发 哄堂大笑 中新网 10 月 8 日电   陈水扁 8 日 二度 与 前 “ 调查 局长 ” 叶盛茂 进行 对质 ， 面对 法官 提问 ， 陈水扁 都 先 沉默 思考 后 才 回答 ， 态度 谨慎 ， 不过 ， 当中 也 有 几次 的 回答 让 现场 哄堂大笑 。   据 台湾 “ 今日 新闻 ” 报道 ， 陈水扁 准时 出庭 ， 面对 媒体 带 着 微笑 ， 态度 从容 自 在 ， 进入 第七 法庭 后 ， 与 前 下属 叶盛茂 进行 对质 ， 两人 四目 交接 的 那 一 ? 那 相当 尴尬 。 面对 法官 提问 ， 陈水扁 都 先 选择 沉默 再 回答 ， 相当 谨慎 ， 显见 律师 出身 的 他 ， 对 这次 的 对质 十分 小心 。   今天 法官 首先 提问 情资 公文 的 问题 ， 陈水扁 则 是 回答 ， “ 我 怎么 知道 ？ 我 每天 事情 这么 忙 ， 我 怎么 有 时间 记得 这些 事情 ？ 我 每天 有 多少 件 情资 跟 公文 ， 我 怎么 会 去 记得 这么 小 的 一件 事情 ？ ” 面对 陈水扁 口气 不耐烦 ， 法官 再 问 ， 为何 钱要 透过 银行 专员 汇往 海外 ？ 陈水扁 突然 插 了 一句 话 ， 让 法官 是 有点 傻眼 ， 他 说 ， “ 这样 子理 专才 会 赚钱 。 ” 当时 他 讲 了 这句 话 后 ， 全场 哄堂大笑 ， 而 同一时间 叶盛茂则 还是 头低 低 地 看着 地上 ， 若有所思 。 
 时政 	 陈水扁 ： 看过 家族 海外 洗钱 情资 但 无法 判断 真伪 新华网 消息   据台 联合晚报 报道 ， 台北 地院 今天 ( 8 日 ) 审理 前 调查 局长 叶盛茂 被控 隐匿 公文 、 泄密 案 ， 传唤 陈水扁 作证 。 陈水扁 表示 ， 调查 局长 向 他 报告 的 情 资中 也 包含 犯罪 信息 ， 但 很多 调查局 情资 真实性 都 有 问题 ， 无法 判断 真伪 ， 甚至 不得不 怀疑 ， 很多 情资 是 调查局 在 分化 政党 团结 。 陈水扁 说 2008 年 开曼群岛 通报 情资 ， 他 也 只 看过 里面 的 中文 译本 ， 没 看过 公文 及其 它 英文 附页 。 他 说 ， 正因 调查局 情资 有时 不尽 正确 ， 因此 ， 他 根本 不 知道 艾格 蒙 联盟 是 什么样 的 国际 组织 。 台北 地院 上午 9 时 30 分 审理 隐匿 公文 案 ， 除 传唤 陈水扁 ， 也 提讯 在押 的 叶盛茂 。 合议庭 先 就 相关 问题 问 陈水扁 。 陈水扁 表示 ， 调查局 “ 很多 情资 都 是 有 问题 的 ” ， 就 像 多年 前 他 揭露 亲民党 主席 宋楚瑜 与 前 大陆 国台办 主任 陈云林 密 会 ， 经过 他 一再 向 叶盛茂 求证 ， 经叶 盛茂 保证 后 ， 他 深信不疑 ， 因此 他 的 “ 有所 本 ” ， 害 他 挨告 败诉 ， 表示 调查局 提供 给 他 的 情资 ， 有 很多 是 不 实在 的 ， 因此 ， 叶盛茂向 他 报告 扁家 有人 在 海外 开户 情资后 ， 他 曾经 问过 太太 吴淑珍 ， 但 太太 不 承认 ， 让 他 很 难 判断 调查局 的 情资 是否 正确 。 陈水扁 在 作证 时 ， 几乎 都 将 炮口 指向 调查局 ， 质疑 调查局 给 他 的 众多 情资 报告 ， 根本 都 是 子虚乌有 。 陈水扁 说 ， 有些 关于 民进党 的 情资 ， 经过 他 自行 求证 ， 根本 不是 那么 一 回事 ， 调查局 竟然 在 作 分化 政党 的 团结 。 陈水扁 还 说 ， 调查 局长 会 例行 向 他 报告 情资 ， 他 也 会 听取 不同 源 的 情资 报告 ， 这样 的 做法 从 2000 年 以前 即 延续 下来 ， 情资 报告 有时 也 包含 他人 犯罪 信息 。 但 他 没 看过 2006 年 泽西岛 通报 的 吴景茂 海外 资产 情资 ， 而 2008 年 开曼群岛 通报 情资 ， 也 只 看过 里面 的 中文 译本 ， 没 看过 公文 及其 它 英文 附页 。 他 说 ， 正因 调查局 情资 有时 不尽 正确 ， 因此 ， 他 根本 不 知道 艾格 蒙 联盟 是 什么样 的 国际 组织 。 对于 前 调查 局长 叶盛茂 两度 提供 扁家 海外 帐户 情资 ， 陈水扁 竟 选择 相信 家人 ， 却 不 相信 调查局 的 专业 情报 ， 法官 当庭 质疑 这样 的 回答 根本 不 符合 常情 ， 法官 也 表示 ， 依 常理 如果 身为 “ 总统 ” 的 人 ， 不 相信 调查局 的 情资 ， 恐怕 会 “ 很惨 、 很 危险 ” ， 陈水扁 闻讯 ， 轻松 的 接话 说 ， 确实 有 很多 情资 是 不 实在 的 ， 如果 相信 的话 ， 会 有 很多 人 ， 会 触犯 断头 的 罪名 。 陈水扁 说 ， 他 听取 调查局 的 情资 报告 ， 是 依据 过去 的 “ 总统 ” 惯例 与 传统 ， 有没有 法令 上 的 依据 ， 他 没有 细查 。 他 确实 有 看过 调查局 提供 家族 海外 帐户 相关 的 情资 ， 但叶 局长 有无 交付 调查局 的 “ 节略 ” ， 他 记不得 。   台 联合晚报 另 发表 特稿 文章 《 只 看见 … 耍赖 、 狡辩 的 前 “ 总统 ” 》 指出 ， 扁 从政 以来 ， 政治 好斗 的 个性 ， 从来 没有 软化 过 ， 在 任 八年 ， 搞 得 台湾 在 国际 上 声名狼藉 ， 内部 政局 混乱 ， 台湾 成 了 举世皆知 的 笑话 。 当扁 深陷 机要 费 、 洗钱 两案 ， 原先 的 好斗 就 转化成 了 顽强 耍赖 ， 没有 丝毫 悔过 、 觉悟 心情 。 扁 在 法庭 上 放言 不识 艾格 蒙 组织 ， 耍赖 的 卸任 领导人 为了 自保 ， 连 这 丑陋 的 底细 都 不怕 让 人 看到 。 
 时政 	 香港 候任 议员 建议 全面 公布 食品 三聚氰胺 含量 “ 现在 ， 最令 我 担心 的 是 ， 三聚氰胺 问题 几乎 每天 都 有 新进展 。 ” 10 月 2 日 ， 香港 候任 立法会 议员 李 华明 ， 对 本报记者 如此 评论 此前 “ 乐天 小熊 饼 、 固力 高百奇 饼干 条 等 产品 相继 在 香港 被验 出 含有 超过 许可 的 三聚氰胺 成分 ” 一事 。 他 担忧 的 是 ， 三聚氰胺 问题 已 不仅仅 局限于 牛奶 。 “ 可能 有 更 多 的 非 牛奶 食品 也 含有 三聚氰胺 ， 但 问题 是 ， 我们 不 知道 。 ” 而且 ， 香港 食物 安全 中心 公布 的 黑名单 ， 并 不 包括 含有 微量 三聚氰胺 ， 但 没有 超过 标准 的 食品 。 李 华明 担心 ， 这会 导致 消费者 最终 在 不知情 的 情况 下 摄取 过多 的 三聚氰胺 。 “ 我 的 建议 是 ， 港府 应 全面 检查和 公布 食品 中 含有 的 三聚氰胺 分量 ， 让 消费者 在 掌握情况 的 前提 下 做出 决定 。 ” 新西兰 食物 安全 标准局 的 发现 ， 或 为 李 华明 的 建议 提供 部分 支持 。 该局 表示 ， 可能 由 “ 一致性 的 处理过程 ” ， 而 不仅仅 是 “ 人为 掺假 ” ， 三聚氰胺 广泛 存在 于 食品 当中 。 10 月 7 日 ， 记者 致电 香港 食物 安全 中心 ， 其 负责人 解释 称 ， 食物 安全 中心 公布 的 名单 有 两份 ， 一份 是 合格 产品 ， 另 一份 则 是 三聚氰胺 含量 超标 的 产品 名录 。 “ 的确 ， 你 不能 将 合格 产品 理解 为 它们 完全 不 含有 三聚氰胺 ， 但 他们 符合 了 国际 上 对 婴幼儿 食品 三聚氰胺 含量 不得 超过 1ppm 、 成人 食品 含量 不得 超过 2.5 ppm 的 规定 。 我们 认为 ， 只要 不 大量 进食 ， 应该 没有 问题 。 ” 李 华明 并 不 满意 这种 解释 ： “ 有 的 产品 也许 是 合格 的 ， 比如说 ， 三聚氰胺 含量 只有 0.8 ppm ， 但 市民 在 不知情 的 情况 下 ， 可能 会 给 小孩子 饮用 含量 为 0.8 ppm 的 牛奶 后 ， 又 买来 含量 达 0.5 ppm 的 巧克力 或者 饼干 ， 小孩子 也许 会 因此 最终 摄取 过量 的 三聚氰胺 。 ” 与 香港 隔海相望 的 澳门 ， 则 已 试行 全面 公布 含 三聚氰胺 食品 名单 。 9 月 25 日 与 29 日 ， 澳门 卫生局 公布 了 雀巢 两 批次 产品 含有 含量 低于 上限 的 三聚氰胺 ( < 1ppm ) 。 “ 我 认为 香港 应该 向 澳门 看齐 ， 在技术上 ， 这 应该 毫无 困难 。 ” 李 华明 说 。 9 月 ， 这位 候任 立法会 议员 曾 数次 主张 ， 香港 应 实施 更 严厉 的 准入 和 禁售 制度 。 他 承认 ， 其 建议 可能 加大 了 政府 和 有关 企业 的 行政 和 经营 成本 ， 但 他 表示 ， 权衡再三 ， 只有 市民 的 健康 能 摆在 第一位 。     记者   覃羿彬 
 时政 	 香港 新一届 立法会 议员 宣誓就职 中新网 10 月 8 日电   据 香港媒体 报道 ， 香港 新一届 立法会 首次 会议 今天上午 举行 ， 议员 逐一 宣誓就职 。 
 时政 	 中央财政 紧急 拨付 3 亿元 补贴 倒 奶奶 农 中新社 北京 十月 九日 电 ( 记者   俞岚 ) 官方 今天 透露 ， 中央财政 近日 紧急 拨付 了 临时 救助 补贴 资金 三 亿元 ， 重点 支持 内蒙古 、 河北 、 辽宁 、 山西 、 山东 、 河南 六个 奶业 主产省 ( 区 ) 特别 困难 的 倒 奶奶 农 。 财政部 表示 ， 补贴 资金 采取 切块 一次性 下达 ， 由 地方 根据 实际 情况 ， 结合 地方 财政补贴 资金 统筹安排 使用 。 为 加强 补贴 资金 的 监管 ， 财政部 、 农业部 联合 下发 通知 ， 要求 各地 做好 逐户 核实 工作 ， 据实 核查 补贴 对象 ， 采取 公示制 ， 并 要求 及时 拨付 和 发放 补贴 资金 。 三鹿 奶粉 事件 发生 后 ， 部分 省市 出现 奶农倒奶 现象 ， 九月 二十二日 ， 倒奶 比例 甚至 高达近 二成 四 ， 奶农 利益 受损 ， 积极性 严重 受挫 。 为 稳定 奶牛 养殖 基础 ， 恢复 奶农 信心 ， 官方 近期 祭 出 组合拳 。 财政部 九月底 发布 通知 说 ， 从 十月 一日 起 至 十二月 三十一日 ， 中央财政 对 企业 的 原料 奶 收购 贷款 给予 利息 补贴 ， 贴息 率为 半年 期 银行贷款 基准利率 的 五成 ， 以 鼓励 奶制品 企业 收购 生 鲜奶 。 除 中央财政 外 ， 截至 十月 四日 ， 十四个 省 ( 区 、 市 ) 也 相继 出台 了 稳定 奶业 生产 的 扶持 政策 。 官方 多管齐下 ， 各地 倒奶 现象 近日 有所 缓解 。 农业部 数据 显示 ， 十月 一日 ， 倒奶 比例 已降 至 百分之四点 六 。         相关 新闻 :           卫生部 等 5 部门 首次 制定 乳品 中 三聚氰胺 限量 值           李毅中 就 乳品 行业 管理 答问   称 监管 存在 漏洞 
 时政 	 中央财政 紧急 拨付 奶农 临时 补贴 资金 3 亿元 新华网 北京 10 月 9 日电   ( 记者 韩洁   罗沙 )   记者 9 日 从 中国财政部 获悉 ， 为 稳定 奶牛 养殖 基础 ， 促进 奶业 持续 健康 发展 ， 财政部 、 农业部 将 对 倒奶 严重 地区 特别 困难 奶农 实施 临时 救助 补贴 政策 。 日前 ， 中央财政 已 紧急 拨付 了 奶农 临时 救助 补贴 资金 3 亿元 。 据介绍 ， 这笔 临时 救助 补贴 资金 将 重点 支持 内蒙古 、 河北 、 辽宁 、 山西 、 山东 、 河南 6 个 奶业 主产省 ( 区 ) 特别 困难 的 倒 奶奶 农 。 财政部 表示 ， 中央 财政补贴 资金 采取 切块 一次性 下达 ， 由 地方 根据 实际 情况 ， 结合 地方 财政补贴 资金 统筹安排 使用 。 同时 ， 为 加强 中央 财政补贴 资金 监管 ， 财政部 、 农业部 下发 了 《 关于 切实做好 重点 地区 特别 困难 奶农 临时 救助 工作 的 通知 》 。 要求 地方 ： 一是 尽快 制订 实施方案 。 二是 做好 逐户 核实 工作 ， 据实 核查 补贴 对象 ， 并 采取 公示制 。 三是 及时 拨付 和 发放 补贴 资金 。 四是 做好 政策 宣传 ， 强化 补贴 政策 落实 的 监督 检查 ， 保障 奶农 的 切身利益 。 
 时政 	 乾隆 玉玺 以 6338 万港元 成交 刷新 拍卖 纪录 ( 图 ) 中新网 10 月 9 日电   大公报 消息 ， 金融 海啸 的 影响 扩大 ， 但 香港 苏富比 昨日 举行 的 “ 皇威 万代 ” 三 ? 中国 御制 珍品 专 ? 拍卖会 却 未 受 影响 ， 总 成交额 高 达 三亿 八千 三百 万港元 ， 多项 拍卖品 均 超过 拍卖 前 的 预料 成交价 。 而 备受 注目 的 乾隆帝 御宝 交龙钮 《 乾隆 御笔 》 白 玉玺 ， 则 以 六千 三百 三十八 万 成交 ， 刷新 白玉 世界 拍卖 纪录 。 昨日 ， 香港 苏富比 “ 皇威 万代 ” 三 ? 中国 御制 珍品 专 ? 拍卖会 ， 总 成交额 高 达 三亿 八千 三百 万港元 ， 每件 拍品 的 平均 成交价 逾 二千 二百 万港元 ， 多项 拍卖品 均 超过 拍卖 前 的 预料 成交价 。 法国 吉美 家族 收藏 乾隆 御制 印玺 专 拍拍 品亦 全部 拍 出 ， 总 成交额 达 一亿 六千 四百 六十四 万港元 ， 远高于 拍卖 前 的 估价 五千万元 。   清乾隆 御制 《 大阅 第三 图   阅阵 》 手卷 ， 以 六千 七百 八十六 万元 成交 ， 远超 四年 前 的 成交 纪录 两倍 以上 。 苏富比 中国 艺术部 国际 主管 仇国仕 对于 昨日 拍卖 纪录 感到 甚为 欣喜 ， 他 认为 ， 结果 反映 收藏家 对 独特 珍罕 的 历史 瑰宝 越加 爱戴 ， 而且 市 ? 对 彰显 中国 皇权 珍品 的 莫大 需求 。 ( 纪绮琦 ） 
 时政 	 台湾 媒体 称 陈水扁 可能 老死 狱中 人民网 10 月 9 日电   台湾 检调 把 陈水扁 的 亲信 一个个 收网 ， 更 厘清 陈水扁 至少 犯 了 五大 罪状 ， 包括 洗钱 、 湮灭证据 、 收贿 等等 ， 这些 如果 定案 成 犯罪事实 ， 扁珍 锒铛入狱 少说 关个 30 年 。 其他 扁家 成员 也 因为 协助 隐匿 洗钱 ， 可能 面临 7 年 以下 的 刑期 ， 加 起来 ， 扁家 的 刑期 恐怕 会破 百年 。 据 台湾 今日 新闻报道 ， 陈水扁 犯 了 什么 罪 ？ 特侦组 收押 扁家 亲信 5 人后 ， 更 清楚 陈水扁 一家 犯罪 轮廓 ， 涉嫌 滥用 “ 机要 费 ” 就 犯 了 侵占 公有 财物 以及 利用 职务 诈取 财物 两大 重罪 ， 巨款 流向 海外 犯 了 洗钱罪 ， 如果 涉嫌 利用 职务 拿 了 企业主 的 款项 ， 又 多 一条 收贿 ， 另外 藏匿 叶盛茂 交给 他 的 公文 是 灭 证罪 ， 五大 罪状 陈水扁 夫妇 就 可能 得 面临 30 年 的 刑期 ， 搞不好 得 老死 狱中 。 报道 称 ， 至于 扁家 其他 成员 也好 不到 哪里 去 ， 几乎 是 人人 有 份 ， 像是 陈幸 妤 、 陈致 中 和 黄睿靓 以及 吴景茂 ， 虽然 说 他们 不是 声称 不知情 ， 就是 自称 是 洗钱 案 的 人头 ， 将来 如果 检调 认定 ， 他们 知情 而且 协助 隐匿 洗钱 ， 将 面临 7 年 以下 的 有期徒刑 。 律师 陈师婷 说 ： “ 如果 是 掩饰 搬运 他人 、 重大 犯罪 所得 的 财物 或 财产 上 的 利益 的话 ， 是 处 七年 以下 有期徒刑 ， 但是 如果 是 掩饰 隐匿 自己 重大 犯罪 ， 所得 的 财物 或 财产 上 的 利益 的话 ， 是 5 年 以下 有期徒刑 。 ” 
 时政 	 国务院 督察组 在 山西 汾阳 发现 私挖 滥采 新华网 太原 10 月 9 日电 ( 记者   晏 国政 ) 记者 从 山西省 吕梁市 有关 部门 了解 到 ， 这个 市所辖 的 汾阳市 5 名 官员 因对 辖区 内私 挖 滥采 现象 监管 不力 ， 日前 受到 免职 、 撤职 等 处分 。 国庆节 期间 ， 国务院 安 委办 安全 生产 督查组 在 汾阳市 石庄镇 督查 时 发现 ， 该镇 存在 严重 的 私 挖 滥采 现象 ， 当即 提出 严厉批评 。 对此 ， 吕梁 市委 、 市政府 高度重视 ， 安排 市 纪检 、 监察 、 公安 、 国土 等 部门 组成 调查组 赶赴 汾阳 进行 调查取证 。 针对 汾阳市 出现 的 安全 生产 问题 ， 吕梁 市委 和 汾阳 市委 近日 分别 召开 常委 会议 ， 决定 免去 张枝华 汾阳 市委常委 职务 ， 提名 免去 汾阳市 人民政府 副 市长 职务 ； 免去 任斌 汾阳市 人民政府 煤炭工业 市长 助理 职务 ； 撤销 任双 钢石 庄镇 党委书记 职务 ， 撤销 段忠友 石庄 镇党委 副 书记 、 镇长 职务 ， 撤销 苏迪石 庄镇 人大 主席团 主席 职务 。 吕梁市 还 责令 汾阳 市委书记 和 市长 向 吕梁 市委 、 市政府 作出 深刻 书面 检查 。 并 责令 汾阳 市委 、 市政府 按照 相关 标准 关闭 境内 所有 非法 矿 ， 对 汾阳市 所有 煤矿 进行 停产 整顿 。 吕梁市 还 向 全市 通报 了 汾阳市 问题 ， 要求 深刻 汲取 教训 ， 继续 深入开展 打击 私挖 滥采 专项 行动 。 目前 ， 汾阳市 已经 成立 打击 私挖 滥采 专项 行动 和 非 煤 危化 行业 专项 治理 工作 指挥部 ， 集中力量 开展 为期 一月 的 矿业 秩序 大 整顿 。 
