科技 	 全高清 双 存储 设计   JVC   HM200 套装 4350 元         作者 ： 李金昊         [ 北京 行情 ]   JVC   HM200 是 全球 第一款 支持 双 SDHC 存储卡 扩展 能力 的 民用 级 闪存式 高清 数码 摄像机 。 它 支持 同时 安装 两张 SDHC 存储卡 ， 当 使用 的 SDHC 卡 的 容量 全部 达到 32GB 时 ， 最高 可以 记录 30 小时 的 FullHD 视频 影像 。 笔者 今天 在 市面上 了解 到 ， 此款 机型 现在 的 最新 报价 为 4350 元 ， 随 产品 搭配 原装 包 、 UV 镜 、 清洁 套装 、 LCD 贴膜 。         JVC   HM200 可以 同时 安装 两张 SDHC 存储卡 ， 在 拍摄 时 如果 第一张 SDHC 卡 的 容量 已满 ， 则 视频 资料 将 自动 开始 在 第二张 SDHC 卡上 进行 记录 。 性能 方面 ， GZ - HM200 还 支持 适合 YouTube 视频 的 格式 ， 可以 方便 的 通过 iTunes 传输 视频 。 GZ - HM200 配置 了 JVC 最新 开发 的 20 倍 光学 变焦镜头 ， 具有 1 秒 快速 启动 、 便捷 检索 以及 面部 优化 功能 。 GZ - HM200 的 编码 芯片 也 经过 重新 优化 ， 码率 可达 AVCHD 最高 标准 的 24Mbps ， 耗电量 仅为 过去 产品 的 50% 。         编辑 观点 ：         JVC   HM200 是 一款 拥有 双卡槽 的 全高清 数码 摄像机 ， 成像 效果 出色 。 机身 采用 闪存 存储 小巧 轻便 ， 不仅 更加 省 电 ， 还 可以 适应 高原 等 严酷 的 环境 。 现在 此款 机型 刚刚 上市 ， 不 着急 的 消费者 可以 持币观望 一阵 。         JVC   GZ - HM200         [ 参考价格 ]   4350 元 套装 
 科技 	 时尚 小巧 学生 机   富士 Z30 售价 降至 999 元         富士   Z30 拥有 1000 万 有效 像素 ， 3 倍 光学 变焦 富士 龙 镜头 ， 脸部 优先 技术 ， 双重 防抖 （ 自然 防抖 ） ， 最高 达 ISO   1600 的 感光度 以及 全新 装载 的 智能 场景 识别 （ SR   Auto ） 功能 ， 还 具备 了 诸如 双人 / 群组 自拍 功能 、 以及 能够 轻松 将 所 拍照片 上传 至 网络 的 博客 功能 。         富士 Z30 还 拥有 两种 全新 的 自拍 模式 ： 双人 自拍 和 群组 自拍 。 这 两种 自拍 功能 基于 脸部 优先 技术 ， 当 只有 相机 检测 到 您 所 设置 的 拍摄 人物 脸部 的 要求 时 ， 相机 的 自拍 定时器 才 会 自动 启动 。 所以 ， 这种 自拍 功能 可以 很 好 的 避免 人物 不 在 画面 之中 的 情况 发生 ， 自 拍照片 将 不再 留有 遗憾 。         编辑 点评 ： 由于 暑假 已经 全面 开始 ， 很多 商家 特意 进行 了 暑假 促销 活动 ， 此款 富士 Z30 无论是 目前 的 售价 还是 其 艳丽 时尚 的 外形 都 十分 适合 学生 使用 ， 有 兴趣 的 朋友 确实 可以 注意 一下 。         [ 参考价格 ] ： 富士 Z30   999 元 
 科技 	 机身 小巧 2GB 版送 充电器   三星 U5 仅 329         作者 ： 毛晓曼         三星 U5 是 三星 近期 推出 的 纯音乐 播放器 产品 ， 整机 机身 小巧 ， 重量轻 ， 很 适合 随身携带 。 目前 该机 2GB 容量 报价 325 元 ， 现在 购买 赠送 原装 充电器 。 咨询电话 ： 010 - 62604472   13601066520 。         三星 U5         容量 ： 2GB   报价 ： 329 元 编辑 点评 ：         三星 U5 很 好 的 传承 了 三星 DNSe3.0 数码 自然 音效 技术 ， 内置 了 包括 模拟 空间感 的 音乐厅 效果 在内 的 十几种 丰富 音效 供 用户 自主 选择 ； 独特 的 DNSe 音效 自动 设置 可以 自动 根据 歌曲 类型 选择 摇滚 、 抒情 、 古典 、 爵士 音效 。 此外 ， 三星 U5 采用 直 插式 USB 便于 携带 ， 具有 FM 广播 ， FM 内录 及 语音 录音 ， A - B 复读 等 功能 。   三星 U5 [ 参考价格 ]   2GB / 329 元 [ 联系方式 ]   010   62685978   13641019132   王阳 
 科技 	 高 清单 反再降   佳能 500D 单机 调至 4500 元         作者 ： 李金昊         佳能 EOS   500D 所 采用 的 新型 图像 感应器 ， 达到 了 约 1510 万 的 有效 像素 。 其 照片 具有 4752 × 3168 像素 的 高分辨率 , 与 使用 APS - C 画幅 图像 感应器 的 中 高端 机型 相当 。 虽然 像素 提高 了 不少 ， 但是 500D 依然 实现 了 约 3.4 张 ／ 秒 的 连 拍 速度 。         全高清 摄像 的 支持 ， 是 新 相机 的 另 一个 亮点 。 EOS   500D 可以 记录 1920 × 1080 像素 （ 20 帧 ／ 秒 ） 的 全高清 画质 短片 ， 对于 运动 速度 快 的 被 摄体 可以 使用 1280 × 720 像素 （ 30 帧 ／ 秒 ） 的 高清 画质 进行 拍摄 。 得益于 数码 单反相机 的 大 尺寸 图像 感应器 与 丰富 的 镜头 ， 在 高 ISO 感光度 下 ， 单反相机 拍摄 的 短片 画质 更好 ， 并且 配合 较大 光圈 的 镜头 ， EOS   500D 可以 在 短片 中 获得 更加 美丽 的 虚化 效果 。         虽然 是 入门级 别的 产品 ， 但是 EOS   500D 的 背面 液晶屏幕 却 从 EOS   450D 的 3.0 英寸 约 23 万 像素 升级 到 了 3.0 英寸 约 92 万 像素 ， 并 带有 防 反射 涂层 。 同时 ， EOS   500D 与 EOS   450D 在 实时 取景 拍摄 功能 上 最大 的 不同点 就是 增加 了 面部 优先 对焦 模式 。 这 使得 EOS   500D 在 实时 取景 拍摄 时 ， 在 易用性 方面 可以 完全 媲美 DC 相机 。         EOS   500D 采用 了 最新 的 佳能 DIGIC   4 数码影像 处理器 ， 其 具有 EOS   450D 的 DIGIC   III 约 1.3 倍 的 图像处理 能力 。 这 对于 相机 菜单 反应速度 ， 连 拍 性能 以及 画质 的 提升 都 有着 较大 的 帮助 。         编辑 观点 ：         佳能 最新 一代 入门级 单反 500D ， 具备 极为 强悍 的 性能 配置 ， 某些 功能 已经 直逼 中端 产品 。 自 4 月底 上市 以后 ， 就 备受 消费者 的 青睐 ， 成为 了 目前 市场 上 关注度 最高 的 单反 类产品 。 也 是 目前 入门级 单反相机 中 的 新 王者 。 目前 价格调整 至 新 低价 ， 有意 购买 的 消费者 可以 出手 了 。         佳能 500D         [ 参考价格 ]   4500 元 
 科技 	 28mm 广角 高清 录像   卡西欧 Z400 降至 1799         卡西欧 Z400 也 带有 28MM 的 广角镜头 ， 对于 喜欢 旅游 的 人 来说 ， 广角 的 镜头 拍摄 到 更 宽广 的 景色 ， 而 1200 万 像素 和 光学 防抖 更是 能 有效 的 提高 相机 的 成像 质量 ， 720P 的 加入 让 您 拍摄 之余 还 能 拍 到 清晰 的 影片 。         卡西欧 ( CASIO )   EX - Z400         [ 参考价格 ]   1799 元 
 科技 	 4.3 英寸 全 触摸 全高清   ICOO   M80HD 仅 499 元         昨天 ICOO 公布 了 其 新品 M80HD ， 该机 采用 4.3 英寸 三星 原装 64 位   1600 万色 16 ： 10 屏幕 ， 分辨率 为 480 × 360 像素 ， 全 触摸 操作 。 目前 这 款 产品 的 售价 已经 曝光 ， 8GB   报价 499 元 。 全屏幕 触摸 + 高 透光率 + OTG + 3D 音效 是 这个 机器 的 主要 卖点 。         视频 播放 功能 方面 ， M80HD 支持 720P 、 12M 码流 、 无色 块 的 RM 、 RMVB 、 AVI 、 FLV 等 格式 高清 视频 解码 ， 网络 上 主流 格式 的 视频 资源 基本 都 可以 支持 播放 。 配备 DVD 所 采用 的 色差 分量 输出 端口 ， 支持 红外 遥控 操作 功能 。         值得一提的是 ， M80HD 还 实现 了 OTG 数码 伴侣 功能 ， 使得 随身 设备 之间 不 通过 PC 也 可以 直接 进行 数据交换 ， 方便 的 同时 也 解决 了 高清 MP4 产品 的 容量 问题 。 另外 ， ICOO 还 宣称 M80HD 可 支持 近 20 小时 音频 或 6 小时 视频 连续 播放 ， 续航力 表现 不俗 。         其它 方面 ， FM 车载 发射 、 JPG / BMP / PNG 格式 图片 浏览 （ 支持 旋转 / 幻灯片 播放 ） 、 电子书 阅读 （ 支持 书签 设置 / 自动 浏览 / 字体 调节 ） 、 FM 收音 、 录音 （ 支持 FM 内录 ） 、 多任务 操作 、 高速 USB2.0 接口 、 最大 支持 32GB   TF 扩展卡 、 内置 扬声器 等 丰富 的 功能 配置 ， M80HD 也 一应俱全 ， 感兴趣 的 朋友 不妨 多 关注 一下 。 
 科技 	 8GB 高清 至尚 魅力   itoos   T68HD 仅售 550         itoos 是 一个 年轻 的 PMP 厂商 ， 但是 旗下 的 产品 却是 让 人 眼前一亮 ， itoos   T68HD 让 笔者 一见倾心 ， 它 可说是 最早 批次 采用 800 × 480 高分辨率 的 产品 之一 ， 显示 效果 叫绝 ！ itoos   T68HD ( 8GB )   仅售 550 元 。         itoos   T68HD 使用 一块 4.3 英寸 的 LTPS 屏幕 ， 分辨率 为 800 × 480 ， 1600 万色 。 在 屏幕 上方 覆盖 有 一层 厚实 的 亚克力 材质 保护 板 。 它 的 四维 使用 线条 塑料 材质 设计 ， 立体感 很强 。 按键 区 设置 在 机身 的 顶部 。 itoos   T68HD 背部 采用 亚克力 材质 封裱 ， 印有 简约 的 图案 。         itoos   T68HD 采用 不华 芯飞 CC1600 高清 解码 芯片 ， 可以 轻松 实现 720P 高清 视频 的 播放 ， 支持 AVI 、 RM 、 RMVB 、 FLV 格式 视频 。 音频 方面 itoos   T68HD 支持 的 音频格式 有 MP3 、 WMA 、 OGG 、 APE 、 FLAC 、 WAV 等等 。 编辑 点评 ：         itoos   T68HD 也 具备 了 色差 分量 输出 功能 ， 电子书 阅读 、 TF 卡 拓展 ， FM 调频 收音 、 录音 、 图片 浏览 等 实用功能 。 8GB 现在 itoos   T68HD 仅售 550 元 。         itoos 是 一个 年轻 的 PMP 厂商 ， 但是 旗下 的 产品 却是 让 人 眼前一亮 ， itoos   T68HD 让 笔者 一见倾心 ， 它 可说是 最早 批次 采用 800 × 480 高分辨率 的 产品 之一 ， 显示 效果 叫绝 ！ itoos   T68HD ( 8GB )   仅售 550 元 。         itoos   T68HD 使用 一块 4.3 英寸 的 LTPS 屏幕 ， 分辨率 为 800 × 480 ， 1600 万色 。 在 屏幕 上方 覆盖 有 一层 厚实 的 亚克力 材质 保护 板 。 它 的 四维 使用 线条 塑料 材质 设计 ， 立体感 很强 。 按键 区 设置 在 机身 的 顶部 。 itoos   T68HD 背部 采用 亚克力 材质 封裱 ， 印有 简约 的 图案 。         itoos   T68HD 采用 不华 芯飞 CC1600 高清 解码 芯片 ， 可以 轻松 实现 720P 高清 视频 的 播放 ， 支持 AVI 、 RM 、 RMVB 、 FLV 格式 视频 。 音频 方面 itoos   T68HD 支持 的 音频格式 有 MP3 、 WMA 、 OGG 、 APE 、 FLAC 、 WAV 等等 。 编辑 点评 ：         itoos   T68HD 也 具备 了 色差 分量 输出 功能 ， 电子书 阅读 、 TF 卡 拓展 ， FM 调频 收音 、 录音 、 图片 浏览 等 实用功能 。 8GB 现在 itoos   T68HD 仅售 550 元 。 
 科技 	 itoos 发布 新款 播放器 T59   支持 《 黄金矿工 》 itoos 最新 发布 的 T59 产品 ， 面壳 采用 重金属 材料 ， 耐磨 ， 整 尺寸 为 12mm × 70mm × 107mm ， 配备 有 4.0 英寸 1600 万色 液晶屏 。 itoos   T59 完全 支持 RM / RMVB 、 AVI 、 FLV 多种 高清 视频格式 文件 直 拖 直放 ， 最大 支持 8G 外接 插卡 ， 全面 兼容 Micro   SD 、 TF 等 市场 主流 扩卡 。 内置 麦克风 高保真 录音 ， 全球 波段 收发 一体 ， 支持 EQ 音效 ， 随时随地 享受 国际级 音乐 盛宴 ， 支持 3D 音效 ， 3D 处理 ， 高音 补偿 ， 低音 音效 设置 ， 支持 TTS 朗读 功能 ， TXT 格式 电子书 阅读 ， 书签 查阅 ， 天籁 伴读 ， 断点 继播 ， 自动 浏览 ， 设置 书签 ， 换页 ， 字体 颜色 设置 ， 支持 LRC 格式 歌词 同步 显示 ， 支持 《 黄金矿工 》 《 泡泡龙 》 等 游戏 。 
 科技 	 入门级 防抖 单反   索尼 A300 报价 仅 3500 元         索尼 A300k 单反相机 采用 索尼 开发 的 APS - C 规格 CCD 影像 传感器 ， 1020 万 有效 像素 CCD 影像 传感器 表现 图像 细节 ， 色调 精细 ， 色彩 生动 。 它 具有 三个 优势 ： 高分辨率 、 高感光度 和 丰富 的 色调 等级 。 通过 其 优秀 的 成像 能力 ， 您 可 捕捉到 单根 睫毛 般 精细 的 细节 以及 自然 的 肤色 。         索尼 A300k 具有 机身 防抖 功能 ， 可以 降低 相机 抖动 引起 的 影像 模糊 。 防抖 系统 内 置于 相机 机身 中 ， 与 全系列 α 镜头 配合 使用 ， 可以 减慢 快门速度 约 2.5 - 3.5 档 ， 让 您 的 拍摄 过程 更加 自由 、 轻松 。         索尼 A300K 作为 一款 入门级 单反相机 ， 拥有 千万 像素 成像 能力 ， 带有 机身 防抖 功能 。 其 价格 也 不贵 ， 性能 也 很 强劲 ， 有意者 可 与 以下 商家 联系 。         产品型号 ： 索尼   a300         产品报价 ： 3500 
 科技 	 廉价 基础 再 打折   iriver   T 系列 今起 降价         今日 消息 ， iriver 中国 总经销 北京 三奇 承信 科技 有限公司 宣布 对本 就 T5 、 T6 实行 调价 ， 尤其 是 T6 在 本 就 低廉 的 价格 基础 上 又 打 了 85 折 ， 令人 更加 心动 。 降价 详情请 参见 下表 ： 容量 ： 2GB / 4GB   报价 ： 299 元 / 349 元 编辑 点评 ： iriver   T6 搭载 了 1.8 英寸 显示屏 ， 支持 MP3 、 WMA 两种 音频文件 ， 续航 时间 长达 33 小时 。 另外 T6 还 内置 了 FM 收音 功能 ， 支持 JPEG 格式 图片 显示 。 该机 外形 酷似 三星 T10 ， 触控 按键 操作 方便 。 
 科技 	 很受 女性 的 青睐   卡西欧 Z300 仅售 1650 元         卡西欧   EX - Z300 的 外观 精致 纤薄 ， 金属 磨砂 工艺 的 机身 显得 华丽 却 不 招摇 ， 机身 最薄 处仅 有 21.1 mm ， 便于 携带 。 背面 配备 了 一块 3.0 英寸 23 万 像素 的 液晶屏 ， 取景 或 浏览 照片 ， 效果 都 还 不错 。 它 采用 了 1010 万 有效 像素 CCD ， 支持 4 倍 光学 变焦 的 镜头 ， 支持 防抖 ， 这样 的 配置 非常 主流 。 当然 这 不是 Z300 的 全部 ， 它 真正 吸引 人 的 还是 独有 的 “ 美颜 模式 ” 。 “ 美颜 模式 ” 在 识别 面部 ， 调节 焦距 和 曝光 的 同时 ， 修正 画像 上 肌肤 状况 ， 调节 阳光 下面 部 的 阴影 ， 修饰 肌肤 ， 使 之 看起来 更加 白皙 、 细腻 ， 让 阳光 下 的 面部 色彩 更加 自然 调和 等等 。 根据 画像 处理 的 强弱 ， EX - Z250 对 画像 的 处理 ， 可以 在 “ 菜单 ” 中 对 修饰 程度 ， 从 较弱 的 “ + 1 ” 开始 到 较 强 的 “ + 12 ” 进行 选择 ， 液晶 显示屏 可以 即时 显示 出 拍摄 效果 。 这些 看似 复杂 的 功能 ， 其实 只 需 一个 按键 就 可 搞定 ， 方便 又 神奇 。         除了 上述 功能 ， Z300 还 支持 “ 夜景 防抖 模式 ” ， 以及 1280x720 像素 的 高清 视频 拍摄 。 总体 来看 ， 这 款 相机 的 功能 十分 强大 ， 性价比 也 很 高 。         参考价格   1650 元 
 科技 	 手持 电视 送乐扣 水杯   爱国者 CM5215 仅 699         作者 ： 曹锐         爱国者 CM5215 采用 了 3.5 英寸 显示屏 ， 机身 小巧 易 携带 。 该机 除了 能够 收看 CMMB 移动 电视 之外 ， 还 支持 多种 音视频 文件 。 今天 该机 的 市场 报价 为 4GB / 699 元 ， 现在 购买 该机 可 免费 获赠 乐扣 水杯 一个 。 咨询电话 ： 010 - 62685736 。         爱国者 CM5215         容量 ： 4GB   报价 ： 699 元 编辑 点评 ：         爱国者   WALKTV   CM5215 是 一款 外观设计 小巧 的 产品 ， 采用 一块 3.5 英寸 1600 万色 屏 ， 屏幕显示 效果 较为 精细 。 该机 采用 了 五维 操作 按键 ， 操作 简单 易学 。         爱国者   WALKTV   CM5215 除了 支持 CMMB 数字电视 外 还 支持 RM / RMVB 、 AVI 、 FLV 、 ASF 等 多种 视频格式 多种 主流 视频文件 的 播放 及 MP3 、 WMA 、 WAV 、 OGG 、 AOE 、 FLA 、 AAC 等 多种 音频格式 的 播放 ， 并 设置 了 TF 卡 扩展 。 爱国者   WALKTV   CM5215 [ 参考 报价 ]   4GB / 699 元 [ 联系电话 ]   010 - 62685736   13910573125 
 科技 	 搭配 24 - 120 镜头   尼康 D700 套机 19500 元         作者 ： 李金昊         尼康 D700 机身 以 D300 为 蓝本 ， 经 少许 改动 而成 ， 同样 采用 了 镁合金 材质 的 外壳 、 底盘 和 反光镜 箱 ， 不仅 可 降低 机身 重量 ， 还 具有 优越 的 耐用性 。 尼康 开发 和 制造 的 快门 单元 ， 其 快门 叶片 是 由 新 材料 （ 碳素纤维 和 Kelver 的 复合材料 ） 制成 。 对 组装 好 的 相机 快门 进行 循环 测试 证明 ， D700 相机 的 快门 在 极端 环境 中 经过 约 150 , 000 次 的 测试 。 自我 诊断 式 快门 可 持续 地 监控 并 保持 快门 的 精确性 。         尼康 D700 使用 了 一块 3 英寸 约 92 万 像素 的 LCD 液晶屏 ， 并 同样 具有 实时 取景 功能 。 在 手持 模式 下 ， 会 激活 普通 TTL 相位 侦测 自动 对焦 功能 ， 从而 可以 利用 51 个 自动 对 焦点 （ 包括 15 个 十字 对 焦点 ） 重新 构图 ， 以便 开始 实际 拍摄 。 三脚架 模式 是 利用 三脚架 的 稳定性 ， 对 静态 景物 进行 精确 对焦 。 该 模式 可 在 指定 区域 内 的 所 需点 上 ， 实现 焦 平面 对比 侦测 AF 。 在 感光度 方面 ， D700 具有 ISO200 － ISO6400 的 感光度 范围 ， 通过 扩展 可以 提高 至 ISO25600 。         编辑 观点 ：         全 画幅 单反相机 尼康 D700 ， 拥有 出色 的 成像 质量 以及 高感光度 下 良好 的 降噪 性能 ， 是 发烧友 中意 的 机型 。 24 - 120mm 镜头 ， 安装 在 D700 上 无需 焦距 转换 ， 焦段 范围 涵盖 广角 至 中焦 ， 虽然 不是 恒定 光圈 镜头 ， 但胜 在 焦段 实用 价格低廉 ， 而且 还 具备 光学 防抖 功能 。         尼康   D700 + 尼康   AF - S   VR   24 - 120mm         [ 参考价格 ]   19500 元 套装 
 科技 	 消费类 旗舰 机型   佳能 G10 促销价 仅 3999 元         外观 方面 ， 佳能 G10 采用 坚固 铝质 机身 整体 喷涂 皮革 质感 的 颜色 并 采用 了 金属 质地 转盘 以及 橡胶 手柄 部位 。 采用 了 3.0 英寸 “ 晶炫 II ” LCD 显示屏 的 设计 ， 而 液晶屏 像素 从 G9 的 约 23 万 像素 增加 到 PowerShot   G10 的 约 46.1 万 像素 。         性能 方面 ， 佳能 G10 采用 了 1470 万 有效 像素 的 CCD ， 配合 全新 的 DIGIC   4 影像 处理器 。 支持 5 倍 光变 镜头 变焦 范围 为 28mm — 140mm ， 焦距 段 涵盖 了 从 广角 到 中长 焦 ， 还 加入 了 28 毫米 广角 ， 带来 全新 的 拍摄 视角 和 不同 以往 的 新鲜 构图 。 同时 ， 还 内置 了 IS 光学 防抖 功能 ， 可 帮助 摄影师 提升 4 档 “ 安全 快门速度 ” 。         佳能 G10 的 各 方面 都 相当 不错 ， 对于 喜欢 摄影 但是 又 对 单反 的 体型 有 顾忌 的 朋友 可以 考虑 入手 一部 作为 备机 。 本周 的 价格比 上周 的 价格 要 高 120 元 ， 如果 不是 非常 需要 的 朋友 ， 大可 等 一段时间 。         【 产品型号 】 ： 佳能   G10         【 参考 售价 】 ： 3999 （ 带 正规 发票 ） 
 科技 	 金属 典雅 好 音质 还 送礼   硕美科 E - 86 仅 128         硕美科 E - 86 耳机 是 专门 针对 追求 个性 风格 人士 所 设计 ， 其 时尚 的 外观 ， 高精度 模具 ， 复杂 先进 的 表面 处理 技术 以及 国际 领先 的 电声 技术 等 ， 都 让 该 耳机 显得 更加 的 出色 ， 而 该机 从 上市 以来 在 市场 上 的 热销 度 也 可以 看出 其 在 消费者 心目 中 的 地位 ， 在 将 价格 报到 128 元 的 同时 ， 还 可以 获赠 清洁 套件 一个 。 
 科技 	 高清 拍摄 翻转 屏   尼康 D5000 套 机仅 6600 元         尼康 D5000 搭载 2.7 英寸 23 万 像素 翻转 式 显示屏 ， 是 尼康 推出 的 第一部 带有 翻转 屏 的 单反相机 ， 在 很大 程度 上 方便 了 LiveView 实时 取景 功能 的 使用 。 尼康 D5000 配置 了 和 D90 一致 的 1230 万 像素 CMOS 传感器 ， 同时 加入 了 11 点 自动 对焦 功能 ， 在 对焦 性能 方面 相比 前辈 D60 有 了 较大 飞跃 。 高清 视频 拍摄 功能 也 是 尼康 D5000 的 一大 看点 ， 拥有 D - Movie （ 数码 短片 ） 功能 ， 能以 每秒 24 幅 拍摄 1280   x   720 像素 的 短片 ， 超越 了 主流 家用 DV 机 产品 。         尼康 D5000 将 CMOS 升级 到 1230 万 像素 ， 与 D90 有着 相同 的 性能 ， 而 相 比较 D60 ， 最大 的 性能 改进 不 在于 像素 的 增大 ， 而是 采用 与 D90 相同 的 对焦 系统 ， 11 点 自动 对焦 系统 ， 比较 起 D60 的 3 个 对 焦点 ， 在 实际 使用 当中 有着 天壤之别 ， 不必因 先 锁定 对 焦点 再 构图 而 造成 脱焦 。         尼康 D5000 配备 了 2.7 寸 23 万 像素 翻转 式 液晶屏 ， 从 参数 上 来看 ， 仍旧 采用 23 万 像素 的 LCD 屏 有些 不尽人意 ， 然而 翻转 屏 的 设计 弥补 了 这方面 的 不足 ， 翻转 屏 除了 满足 不同 角度 取景 需求 外 ， 更 可 避免 磕碰 对 LCD 带来 损伤 。         功能 的 增添 使得 D5000 比起 同级 别的 前 代 产品 在 按键 排布 上 有 了 新 的 变化 ， D60 上 的 动态 D - Lighting 按键 改变 为 信息 显示 按键 ， 而 在 LCD 屏 的 左边 增设 了 一个 按键 ， 将 快速 设定 功能 与 放大 按键 独立 开来 。 而 增加 的 实时 取景 功能 与 D90 一样 ， 有 单独 的 Lv 按键 。 其他 按键 设置 大致相同 。         尼康 D5000 同 D60 一样 使用 SD / SDHC 卡 作为 存储介质 ， 在 通用性 方面 较 有 优势 ， 相对 成本 也 较 低 ， SD 卡可 在 多种 设备 广泛 被 使用 。 对于 具有 Lv 以及 视频 拍摄 功能 的 D5000 来说 ， 对于 电量 的 压力 会 更加 大 ， 为此 尼康 D5000 特别 采用 了 新款 锂电池 EN - EL9a ， 与 D60 使用 的 EN - EL9 相比 ， 电池 电压 更 低 ， 容量 也 有所 增强 。         编辑 点评 ： 尼康 D5000 的 出现 进一步 丰富 了 尼康 的 单反 产品线 ， 并 巩固 了 尼康 在 单反 市场 的 整体实力 。 其 装载 了 1230 万 像素 图象 传感器 ， 翻转 取景 和 720P 高清 摄像 的 机型 ， D5000 目前 的 售价 并 不 很 贵 ， 加上 其 强大 的 综合性 能 ， 可以 说 非常 超值 。         [ 参考价格 ] ： 尼康   D50006600 元 （ 配 尼克尔 18 - 105mm   VR 镜头 ） 
 科技 	 高清 摄像 广角 机   三星 NV100 促销 降至 1800         作者 ： 李金昊         蓝调 NV100HD 采用 金属 作为 机身 材质 并 加以 精湛 工艺 处理 ， 相机 顶部 红色 突出 部分 为 相机 添加 了 几分 雅致 。 这 款 紧凑型 相机 具有 3 英寸 46 万 像素 的 hVGA 品质 触摸屏 ， LCD 占据 了 相机 背面 大部分 区域 。 该款 相机 屏幕 采用 了 三星 Smart   Touch   2.0 技术 ， 提供 了 便捷 和 充满 乐趣 的 操作 体验 ， 用户 使用 手指 在 屏幕 中 轻触 和 滑动 ， 相 机会 配以 动态 图形 表现 来 完成 各项 操作 指令 ， 这一 先进 的 设计 理念 完全 打破 以往 相机 操作 的 模式 ， 将 人性化 设计 与 先进 科技 完美 结合 。         编辑 观点 ：         三星 NV100HD 拥有 极其 出色 的 性能 配置 ， 高像素 、 28mm 广角 、 双防抖 以及 高清 视频 ， 都 是 它 的 过人之处 ， 而且 目前 价格 也 不是 太贵 ， 拥有 较 高 的 性价比 。         三星   蓝调 NV100HD         [ 参考价格 ]   1800 元 
 科技 	 高贵 而 不 昂贵   奥林巴斯 μ 1070 现售 1200 元         μ 1070 的 外观 非常 漂亮 。 厚度 20.3 mm ， 重 108g 的 机身 轻巧 纤薄 ， 镜面 滑盖 镜头 制作 得 更是 奢华 炫丽 。 而 机身 颜色 也 是 很 重要 的 一部分 ， 有 宝蓝 、 玫瑰红 、 银色 等 几款 ， 以 满足用户 不同 需要 ； 金属表面 更是 富有 质感 ， 倍显 高贵 。 背面 配备 一块 2.7 英寸 超 液晶 显示屏 ， 显示 效果 色彩 丰富 ， 画质 真实 。         不仅 外表 奢华 靓丽 ， μ 1070 的 内在 配置 也 很 主流 。 它 有着 1200 万 有效 像素 CCD ， 可 拍摄 出 最高 分辨率 3968 × 2976 的 大幅 相片 。 支持 3 倍 光学 变焦 的 高品质 潜望 式 镜头 ， 更是 能 将 景物 表现 得 真实 富有 魅力 。 它 还有 高感光度 防抖 功能 ， 用户 可以 放心 拍摄 出 高品质 影像 。 增强 的 16 张 脸部 识别 及 阴影 识别 技术 对于 菜鸟 用户 非常 实用 ， 它 能够 自动 进行 人脸 对焦 ， 而且 根据 被 摄体 的 亮度 进行 准确 的 曝光 控制 。 它 还 添加 了 美颜 功能 ， 使 奥林巴斯 的 粉丝 也 能 体验 到 脸部 自动 修正 的 功能 。         这 款 相机 的 外观 与 性能 ， 都 给人以 奢华 的 感受 ， 而 平民化 的 价格 却 使 更 多 人 能够 与 它 产生 亲密 接触 。         参考价格   1200 元 
 科技 	 傲视群雄   索尼 W300 单机 套装 促销 2259 元         外观 方面 ， 索尼 W300 延续 了 W 系列 的 外观设计 ， 机身 依然 采用 了 全金属 材质 ， 做工 很 细腻 ， 体积 仅为 94 × 59 × 27mm ， 重 156 克 还是 非常 方便 携带 。 机身 背面 ， 它 配置 了 一块 2.7 英寸 23 万 像素 的 液晶屏 ， 画面 显示 效果 还 不错 。         性能 方面 ， 索尼 W300 搭载 了 一枚 了 1 / 1.7 英寸 CCD 传感器 ， 1360 万 的 有效 像素 ， 镜头 为 卡尔蔡 司 镜头 ， 3 光学 变焦 ， 2 数码 变焦 ， 最大 可 拍摄 4224 × 3168 的 清晰 照片 ， 焦距 ( 相当于 35mm )   35 - 105mm   ， 光圈 范围   F2.8 ( 广角端 ) ,   F5.5 ( 长焦端 )   ， 具备 光学 防抖 功能 ， ISO 感光度 最高 可达 3200 ， 最 重要 的 采用 BIONZ 影像 处理 系统 ， 智能 场景 识别 技术 、 可 优先 儿童 或 成人 的 脸部 识别 技术 。         存储 方面 ， 索尼 W300 内置 了 15MB 空间 在 机身 中 ， 仅仅 支持 MS 记忆棒 作为 存储介质 。 供电 方面 ， 沿用 NP - BG1 锂电池 ， 可以 拍摄 210 张 照片 。         产品型号 ： 索尼   W300         产品报价 ： 2259 元 
