时尚 	 组图 ： 香肩美 锁骨   性感 不 张扬 女人 哪个 部位 最美 最 性感 ？ 不是 红唇 ， 不是 翘 臀 ， 更 不是 波胸 ， 而是 肩膀 。 锁骨 ， 是 你 身着 斜肩 上装 引来 同性 羡慕 的 地方 ， 是 被 抹胸 曳 地长 礼服 衬托 得 最 耀眼 的 地方 ， 它 的 美 充满 灵性 ， 让 女人 立刻 有 了 一种 轻盈 的 气质 。 它 堪称 女人 身上 一道 最美 的 风景线 。 今夏 ， 单肩 装将 低调 并 一枝独秀 地 流行 着 ， 一抹 香肩 半边 锁骨 的 靓丽 ， 同时 造就 了 几个 层次 的 美感 ， 不 对称 、 错落 感 、 优雅 、 性感 … … 一切都在 那 微微 倾斜 的 一道 色彩 。 单肩 休闲 衫   搭配 牛仔 最 IN 如果 你 认为 ， 单肩 风潮 仅仅 适用 于 相对 正式 的 礼服 或 小 洋装 ， 那 你 就 大错特错 了 ， 一款 棉质 的 普通 T恤 ， 只 需 在 剪裁 上作 一些 调整 ， 同时 将领 口开 大 ， 就 能 轻松 呈现出 当季 最 In 的 单肩 感觉 ， 在 斜肩 处 露出 细细的 肩带 ， 搭配 牛仔裤 就 很 好看 。 时尚 女王 凯特 － 摩丝 永远 懂得 美的 定义 ， 就 连 最 普通 的 T恤 ， 一样 可以 穿出 最 Fashion 的 感觉 。 单肩 小 洋装   呈现 多样 风格 短款 单肩 连衣裙 根据 面料 、 剪裁 的 不同 ， 往往 可以 展现出 多样 、 多变 的 风格 。 礼服 型 的 单肩 连衣裙 充满 野性 ； 而 缎面 、 丝绸 材质 的 连衣裙 则 散发 着 迷人 的 青春 气息 。 “ 绯闻 女孩 ” 布莱克 － 莱 弗利 一袭 玫 红色 缎面 单肩 小 洋装 ， 玲珑 曲线 凸显 无遗 。 
 时尚 	 组图 ： 盘点 《 绯闻 少女 》 中 的 明星 手袋 前 几天 看 完 了 “ 绯闻 少女 ” 第二季 最后 八集 ， 大舒 一口气 — — 这些 疯 女孩儿 坏小子 们 终于 高中毕业 了 ， 另 我 那颗 怜悯 自己 黯淡 花季 的 心 ， 得以 稍许 平衡 。 这 一季 的 主角 ， 无疑 是 Blair 和 Chuck 。 无数 拉拉扯扯 ， 阴差阳错 之后 ， 在 一个 春光明媚 的 早晨 ， Chuck 做 风流倜傥 状 ， 献上 法国 买来 的 Pierre   Hermes 椰丝球 ， 德国 买来 的 Falke 丝袜 ， 和 一束 粉色 玫瑰花 。 然后 咬 着 后 槽牙 ， 说出 众人 盼 了 整整 一季 的 那 几个 字 ， “ I   love   you   too ” 。   Blair 的 谢幕 装束 ， 真是 何等 的 公主 ， 何等 的 美丽 ( 窗帘 拉绳 做 的 发带 除外 ) 。 这 身 装束 中 ， 最 核心 的 就是 那 只 黄色 三层 式 Clutch 包包 — — 嫩黄色 ， 巧克力 色和粉 灰色 ， 配 上 短短的 金 链子 肩带 ， 像 春天 的 雏 菊花 一样 动人 。 查找 了 一下 ， 包包 的 设计师 原来 是 Stuart   Weitzman ， 让 我 小 小吃 了 一惊 。 Stuart   Weitzman 本是 高档 女鞋 品牌 ， 我 从未 注意 过 他家 有 包包 的 。 这回 一鸣惊人 了 。 Blair 和 Chuck 之外 ， 其他 人物 显得 比较 苍白 ， 仿佛 编导 手里 的 傀儡 ， 难以 牵动人心 。 Serena 的 痴傻 令人 疑惑 ， Nate 的 转变 缺乏 逻辑 ， Lily 的 固执 莫名其妙 ， Dan 的 师生恋 不明不白 … … 但是 我 并 不介意 ， 满载 青春 和 奢华 的 画面 ， 足以 让 我 陶醉 。 据说 ， 越是 经济 低迷 ， 女 人们 越是 向往 奢华 ， 关爱 自己 。 有 统计数字 表明 ， 护肤品 的 销量 经常 违背 大局 ， 逆势 增长 。 从 去 年秋冬 起 ， 各 大包 包 品牌 一面 推出 经济 实惠 款 ， 一面 增加 稀有 皮革 款 — — 消费者 虽然 买不起 ， 看看 也 倍感 安慰 。 仔细观察 之下 ， 第二季 “ 绯闻 少女 ” 里 ， 稀有 皮革 和 名贵 包包 确实 比 以往 有所增加 。 Blair 似乎 偏爱 爬行动物 ， 鳄鱼皮 和 蟒 皮包 包 出现 了 好 几次 。 
 时尚 	 组图 ： 章子怡 PK 林心如   大花 裙子 雷 人眼 导读 ： 2009 年 6 月 14 日 ， 上海 ， 《 非常 完美 》 上海 国际 电影节 发布会 ，   章子怡 、 范冰冰 、 何润东 、 林心如 、 姚晨 、 韩星 苏志燮 悉数 亮相 ， 章子怡 无名指 上 的 钻戒 闪耀 无比 。 同样 惹眼 的 是 林心如 和 章子怡 的 雷人花 裙子 ， 实在 让 人 不忍 过目 。 
 时尚 	 组图 ： 第十二届 上海 电影节   周迅 蝴蝶结 最 抢镜 导读 ： 6 月 13 日 ， 第 12 届 上海 国际 电影节 于 当晚 18 时 30 分在 上海 大 剧院 拉开帷幕 ， 众多 女星 聚集 于 此 在 红毯 上 又 上演 争艳 一幕 。 下面 就 跟 小编 一起 去 领略 她们 的 风姿 吧 。 
 时尚 	 组图 ： 合理 夏装 搭配   长腿 短腿 统统 变 美腿 编者按 ： 来 看看 本期 美容 的 女性网 为 您 推荐 的 合理 夏装 搭配 ， 长腿 短腿 统统 变 美腿 。 许多 女孩 都 迷惑 一个 问题 ， 怎么 穿 才能 让 腿 漂亮 呢 ？ 短腿 MM 想 显腿长 ， 长腿 MM 又 怕 自己 的 腿 看起来 像 鸵鸟 ， 那 怎么办 才 好 呢 ？ 一 起来 看看 吧 ！ ( 图文 / 淘宝 导航 blog ) 左边 是 短腿 MM 应该 的 穿 搭 ， 右边 是 长 腿 MM 适合 的 穿 搭 。 同样 是 蕾丝 垂坠 洋装 ， 长短 是 首先 要 注意 的 ， 短 的 裙子 永远 比长 的 群系 显腿长 。 在 看看 裙子 下摆 的 设计 ， 同样 是 荷叶 皱褶 ， 做 在 里面 和 做 在 外面 却 有 了 截然不同 的 效果 ， 做 在 里面 的 就 能够 在 装饰 的 同时 纵向 拉伸 腿部 曲线 ， 而 做 在 外面 就 有 了 横向 的 趋势 。 同样 是 马甲 T恤 和 牛仔裤 ， 胸前 的 设计 会 将 整个 视线 上移 ， 修饰 腿 型 小窍门 ， 就是 设计 着重 在 上半身 。 就 不会 有人 注意 你 的 短腿 拉 。 右边 的 长款 T恤 和 中裤 都 是 长 腿 MM 的 专属 单品 。 裤袜 的 作用 ， 裤袜 将 腿部 平均 分成 两个 部分 ， 当然 是 短腿 MM 千万 不要 尝试 的 搭配 。 短腿 MM 就要 将 整条 腿 露出 ， 搭配 高跟鞋 更佳 。 两件套 ， 外衣 的 长度 也 是 搭配 的 重点 ， 越是 短款 越 显腿长 ， 露出 小小的 蕾丝 裙摆 是 今年 的 时尚 穿 法 。 长腿 MM 当然 就 可以 肆无忌惮 的 穿着 模特 这种 垂坠 小衫 ， 淑女 味道 十足 。 
 时尚 	 组图 ： 糖果 色 比基尼 LOOK 绚丽 搭配 夏天 到 了 ， 很多 MM 都 会 去 挑选 漂亮 又 可爱 的 比基尼 啦 ！ 但是 过少 的 布料 是不是 有点 让 人 害羞 呢 ？ 可 别忘了 搭配 比基尼 的 短裤 、 短裙 、 浴巾 、 帽子 等等 的 重要 元素 哦 ！ 他们 与 糖果 色 比基尼 一起 ， 让 你 成为 岸上 的 性感 小 魔女 ！ 时尚 点评 ： 荷叶 边 的 大热 无处不在 ， 泳装 上 也 充分 展现 了 它 的 功力 。 绿底 的 五角星 短裤 是不是 很 耀眼 呢 ？ 戴上 糖果 项链 和 宽 手镯 ， 用 甜美 风 把 所有 眼光 吸引 过来 吧 ！ 时尚 点评 ： 这 款 咖啡色 的 荷叶 边 泳装 很 可爱 吧 ？ 胸前 的 花边 能 修饰 胸型 。 让 小 胸部 的 女生 也 能 在 泳池 边 一展风采 。 牛仔 热裤 穿 在 比基尼 外面 ， 实用 又 很潮 ！ 时尚 点评 ： 运动 短裙 也 是 搭配 比基尼 的 好 伙伴 ， 鲜 黄色 搭 上 天蓝色 ， 扮嫩 不在话下 。 再 梳 一个 可爱 的 发型 ， 大 小孩 的 可爱 风 演绎 的 淋漓尽致 。 时尚 点评 ： 和 男友 一起 去 游泳 ？ 那 就 穿 情侣装 吧 ！ 红色 短裤 鲜艳 耀眼 ， 女生 款 俏皮 可爱 ， 男生 款 宽松 有型 。 腰间 的 白色 设计 ， 使得 造型 更加 运动 健康 。 时尚 点评 ： 游泳 当然 少不了 一块 好看 的 浴巾 ， 既 能 擦身 又 能 遮阳 。 横 条纹 的 彩色 浴巾 ， 让 你 随便 怎么 绑 在 身上 都 能 绚丽 可爱 ， 充分 享受 水上 乐趣 。 
 时尚 	 组图 ： 网友 新败 衣服 时髦 搭 导读 ： 身为 女孩子 去 到 任何 地方 都 绝对 要 逛一逛 ， 血拼 的 一贯作风 绝对 不能 空手而归 ， 购物 的 天性 在 任何 地方 都 能 收获 颇丰 ， 实在 按奈 不住 心中 的 热情 ， 一定 要 上来 晒 一晒 新败 的 衣衣 ， 宽 腰带 、 金属 风 、 糖果 色 、 娃娃 裙 一个 都 不能 少 。 偶尔 有 约会 ， 碎花 裙 与 黑色 的 小衫 搭配 + 白色 吊带 的 衬托 ， 恰倒 好处 。 除了 可以 参加 聚会 ， 逛街 一样 适合 。 热裤 的 清爽 挡不住 性感 的 诱惑 ， 两件套 的 上衣 ， 似露 微露 ， 更加 迷人 。 休闲 派 的 着装 一样 与众不同 。 闪亮 的 金色 腰带 作为 整体 的 突出 ， 使 简单 的 搭配 变 的 个性 。 走 在 约会 的 路上 自信 100% 。 镂空 的 设计 与 线条 ， 一定 可以 勾勒 出 完美 的 你 ， 加上 瘦腿 仔裤 ， 整体 干净利落 。 导读 ： 身为 女孩子 去 到 任何 地方 都 绝对 要 逛一逛 ， 血拼 的 一贯作风 绝对 不能 空手而归 ， 购物 的 天性 在 任何 地方 都 能 收获 颇丰 ， 实在 按奈 不住 心中 的 热情 ， 一定 要 上来 晒 一晒 新败 的 衣衣 ， 宽 腰带 、 金属 风 、 糖果 色 、 娃娃 裙 一个 都 不能 少 。 偶尔 有 约会 ， 碎花 裙 与 黑色 的 小衫 搭配 + 白色 吊带 的 衬托 ， 恰倒 好处 。 除了 可以 参加 聚会 ， 逛街 一样 适合 。 热裤 的 清爽 挡不住 性感 的 诱惑 ， 两件套 的 上衣 ， 似露 微露 ， 更加 迷人 。 休闲 派 的 着装 一样 与众不同 。 闪亮 的 金色 腰带 作为 整体 的 突出 ， 使 简单 的 搭配 变 的 个性 。 走 在 约会 的 路上 自信 100% 。 镂空 的 设计 与 线条 ， 一定 可以 勾勒 出 完美 的 你 ， 加上 瘦腿 仔裤 ， 整体 干净利落 。 
 时尚 	 组图 ： 解决 公关 危机 穿 什么 比说 什么 重要 编者按 ： 央视 主持人 方静 身陷 “ 间谍 门 ” 事件 真相大白 ， 关于 职场 公关 的 话题 引发 热议 。 有 职场 心理学家 认为 职场 公关 失败 半数 是 由于 个人 穿衣 风格 所致 ， 这个 数字 虽然 危言耸听 ， 但 也 不得不 承认 ， 在职 场 公关 中 ， 着装 风格 与 品味 至关重要 。 下面 我们 就 赶紧 来 学习 一下 如何 穿衣 不会错 的 技巧 吧 ， 事实上 解决 公关 危机 穿 什么 真的 比说 什么 要 重要 很多 。 紫色 西装 外套 端庄 优雅 ， 搭配 淡蓝色 衬衣 清新 大方 ， 胸针 的 佩戴 恰到好处 的 起到 画龙点睛 的 作用 。 黑色 套装 无论 任何 场合 都 是 最 保险 的 服装 ， 沉稳 低调 的 色彩 将 女性 精明能干 的 气质 衬托 出来 。 丝绸 质地 的 紫色 衬衫 女人 味十足 ， 雅致 的 紫色 端庄 高雅 ， 将 浓浓 知性美 展现 的 淋漓尽致 。 枣红色 连衣裙 舒适 随意 ， 简单 的 设计 丝毫 没有 点缀 ， 如此 衣装 更能 衬出 伊人 的 风采 。 
 时尚 	 组图 ： 韩国 街头 美女 T恤 时髦 穿 法 导读 ： 可爱 、 成熟 、 优雅 可能 每个 人 都 想 追求 ， 但是 怎样 才 会 让 人 看上去 更 瘦 才 是 关键 ， 今天 就让 编辑 带 大家 一睹 马上 减 十斤 的 俏佳人 装扮 ！ 强调 搭配 的 随意性 和 不同 的 混 搭 效果 ， 随意 装扮 自已 。 让 你 漂亮 的 同时 也 能 展现 窈窕 体态 。 
 时尚 	 街 拍 ： 明星 的 花样 混 搭 夏装 ( 组图 ) 绚丽 的 印花 风潮 席卷 完秀场 后 ， 又 荣登 明星 街头 出镜率 最高 的 服装 之一 。 特别 是 成为 乖巧 甜美 的 米 莎 巴顿 ， 和 走 公主 路线 的 绯闻 女孩 的 大爱 。 无论是 长款 吊带 连衣裙 的 飘逸 ， 或是 短款 百褶裙 的 甜美 ， 街头 的 印花 风潮 更 多 的 是 朝着 混 搭 和 随意 的 方向 前进 。 就让 我们 一睹 明星 们 的 “ 花 ” 样 风采 吧 ！ 蕾 哈娜 ( Rihanna ) 一直 钟情 于 黑色 西装 的 蕾 哈娜 也 穿 上 印花 的 抹胸 小 礼服 ， 多 了 几分 妖娆 和 性感 。 米 莎 - 巴顿 ( Mischa   Barton ) 粉色 飘逸 的 质感 更显 巴顿 的 甜美 ， 带有 几分 波希米亚 的 风格 ， 成为 街头 焦点 。 米 莎 - 巴顿 ( Mischa   Barton ) 长款 的 连衣裙 特别 适合 巴顿 这样 身材 高挑 的 明星 ， 墨绿 的 颜色 有 了 小 多 红色 蓝色 小花 的 点缀 ， 变 的 不 那么 沉闷 。 阿格 妮丝 - 迪恩 ( Agyness   Deyn ) 最 擅长 混 搭 的 Agyness 用 调皮 的 卡通 图案 连衣裙 搭配 酷酷 的 小 夹克 ， 当仁不让 的 是 永远 的 混 搭 女王 。 
 时尚 	 搭配 指导 ： 修形 短裤 障眼 术 ( 组图 ) 导读 ： 当费丽雯 第一次 穿着 短裤 登上 大雅之堂 ， 中性 美的 盛行 就让 女 人们 对 短裤 的 钟爱 远远 超越 了 轻柔 裙装 。 短打 裤装 的 帅性 硬朗 、 舒适 便利 成为 夏季 里 的 首选 ， 三 五七分 的 长度 ， 裤型 细节 的 精心设计 都 能 让 女性 在 穿着 的 同时 进行 腿部 美体 修形 。 花苞 裤腿 、 萝卜 型 抽 褶 、 垂顺 连体 、 裤脚 缩口 等 ， 看似 不经意 的 小 细节 却 能 悄然 帮 你 掩盖 腰 、 臀 、 大腿 的 小 赘肉 ， 甚至 在 整体 下半身 视觉 比例 上 进行 了 优化组合 。 根据 体形 ， 选对 裤型 ， 打造 一场 属于 夏日 的 短打 裤 装修 形 盛世 。 裤型 看点   复古 萝卜 裤 人群 聚焦   大腿 外侧 较 丰满 流行 指数   ★ ★ ★ ★ ★ 修体 秘方   曾经 红遍 70 年代 的 萝卜 裤 又 回来 了 ， 大腿 处压 褶 宽松 ， 小腿 处 自然 顺直 收紧 。 最 适合 大腿 丰满 的 女性 穿着 ， 赘肉 就 在 古着 的 裤型 中 被 悄然 消化 掉 了 。 搭配 攻略   一件 干练 的 无袖 荷叶 边 衬衫 ， 一条 复古 的 麻质 萝卜 六分 裤 ， 不论是 通勤 还是 休闲 穿着 都 是 正确 选择 。 但是 如果 腿 型 不够 修长 ， 在 选择 萝卜 裤时 一定 要 搭配 3 ~ 5 公分 的 跟 鞋 才能 挺拔 俏美 。 KEY   WORDS   白色 无袖 荷叶 衫 + 米色 萝卜 六分 裤 + 金色 编织 凉鞋 白色 无袖 衬衫   United   Colors   Of   Bentton 咖啡色 六分 裤   Nine   west   1080 元 项链   Otazu   3500 元 手链   Otazu   2330 元 金色 高跟鞋   Aee   798 元 裤型 看点   丰满 花苞 型 人群 聚焦   臀部 丰满 不 挺 翘 流行 指数   ★ ★ ★ ★ ★ 修体 秘方   亚洲 女性 大多数 有个 让 人 烦恼 的 梨形 PP ， 所以 聪明 地 选择 裤口 张开 的 花苞 型 短裤 吧 ， 腰部 的 自然 褶皱 和 外 翘 的 裤脚 都 能 掩饰 过于 丰满 的 臀部 。 搭配 攻略   扩张 感 的 花苞 型 下装 一定 要 选择 一件 收身且 勾勒 曲线 的 轻薄 上衣 ， 雪纺 质地 的 花色 背心 和 挺 阔 的 裤型 形成 软 与 硬 的 材质 对比 。 加上 一条 宽大 腰带 在 分割 上 下身 比例 的 同时 增加 曲线 感 。 KEY   WORDS   多波 普雪纺 背心 + 漆皮 宽 腰带 + 光感 花苞 短裤 雪纺 上衣   System   1490 元 花苞 短裤   System   1950 元 粉色 腰带   Annarita   N 项链   H & M   199 元 手镯   Ilaria   120 元高 跟 凉鞋   Nine   west 裤型 看点   西装 五分裤 人群 聚焦   大腿 粗壮   膝盖 上方 有 赘肉 流行 指数   ★ ★ ★ 修体 秘方   中规中矩 的 裤型 恰到好处 地 盖住 膝盖 以上 部位 ， 西装 挺阔 的 面料 也 把 膝 上 赘肉 和 大腿 脂肪 包裹 得 不露声色 。 搭配 攻略   西装 中裤 的 款式 略为 中庸 ， 但 为了 修饰 下半身 曲线 选择 了 它 ， 也 能 在 上装 中 出彩 儿 。 黑色 的 中性 坦克 背心 叠加 一件 短款 马甲 ， 层次感 的 丰富 和 最 流行 的 元素 相 融合 ， 中裤 也 帅气 了 起来 。 KEY   WORDS   黑色 坦克 背心 + 银色 马甲 + 驼色 西装 中裤 + 灰色 软皮 背包 银色 马甲   W .   Doubleudot 黑色 背心   Nine   west   280 元 咖啡色 短裤   Ilaria   1180 元 灰色 大包   Stefanel   1350 元 裤型 看点   塑形 高腰节 人群 聚焦   缺少 腰部 曲线   身材 纤细 流行 指数   ★ ★ ★ ★ 修体 秘方   高腰 裤型 延续 了 上 一季 的 大热 ， 倒三角 髋骨 部位 的 设计 能 在 视觉 上 拉伸 腿部 线条 。 多扣 的 高 腰节 设计 能够 让 腰 曲线 不 明显 的 你 立即 变身 小蛮 腰 。 搭配 攻略   搭配 的 上装 一定 要 能够 塞进 裤子 里面 穿着 才能 不 埋没 高腰 的 看点 。 如果 还 嫌 腰线 不够 明确 ， 那 就 选择 一条 抢眼 的 腰带 叠加 在 腰 节处 ， 瞬间 你 的 下半身 长度 整体 提升 了 。 KEY   WORDS   白色 西装 + 粉色 挂 颈 背心 + 高腰 短裤 + 宝石 腰带 白色 西装   System 玫 红色 背心   Sisley 灰色 高腰 短裤   Luna   499 元 黑色 宝石 腰带   Ilaria   490 元 
 时尚 	 搭配 指导 ： 办公室 恒温   后备 武器 ( 组图 ) 导语 ： 每日 出入 于 写字楼 的 白领 们 一定 深有体会 ， 当 早上 顶 着 炎炎 烈日 奔进 办公室 的 一瞬间 ， 温度 骤然 下降 。 原本 身穿 清凉 无袖 衫 、 西装 短裤 还 香汗 淋漓 的 你 ， 突然 间 被 冻得 捧 着 热咖啡 来 取暖 。 夏日 里 室内外 正负 十五 度 的 温度 偏差 一直 是 个 让 人 头痛 的 大 问题 。 但 其实 你 只 需要 在 办公 间 的 衣橱 里 放上 几件 秘密 后备 恒温 武器 ： 一条 优雅 的 大 披肩 、 一件 华丽 的 薄款 西装 ， 又 或是 造型 独特 的 开身 长裙 ， 通过 巧妙 的 叠 穿 配搭 就 能 很 好地解决 衣装 保暖 问题 ， 并且 在 温度 提升 的 同时 也 为 整体 时尚 度 悄然 加 分 。 办公 装 恒温 武器 列表 1   一条 大 披肩 或 长围巾 2   一条 黑 、 灰色 打底 裤袜 3   一件 单色 薄 针织 开衫 4   一件 浅色 西装 或 深色 马甲 5   一条 开身 长裙 1 、 2   后备 武器 ： 围巾 、 大 披肩 & 打底 袜 升温 指数 ： ↑ 3 ~ 4   ℃ 恒温 法则 ： 自由 披挂 式 的 恒温 选择 ， 可以 随意 地 将 披肩 挽 在 胳膊 和 肩膀 处 ， 后身 的 余量 可 自行 悬垂 。 又 或者 是 搭 在 颈 上 ， 用 一条 单 色素 腰带 来 维系 固定 。 在 起到 恒温 保暖 的 作用 之 余 ， 增加 一份 优雅 气质 ， 又 可 穿 脱 自如 。 打底 袜是 腿部 保温 的 必备 单品 ， 高雅 的 深灰色 调是 最 适合 职场 穿着 的 。 秘笈 重点 ：   超大 方形 巾 或 长款 流苏 巾 ， 色调 淡雅 不 花哨 ； 垂顺感 和 柔软度 良好 、 脚 踩 式 打底 袜 。 升温   +   法 白色 无袖 绸缎 衬衫 领结 部位 可以 打成 一个 大 号 蝴蝶结 ， 既 美观 又 为 颈部 保暖 。 黑色 的 西装 短裤 最好 选择 黑 灰色 的 打底 裤袜 ， 这样 看上去 色彩 的 过渡 更加 柔和 、 温暖 。 重点 装备 就是 随意 披挂 在 胳膊 上 的 这条 黑色 流苏 围巾 ， 既 升温 又 将 原来 活泼 干练 的 形象 转变 为 知性 、 优雅 的 新面孔 。 3   后备 武器 ： 针织 开衫 升温 指数 ： ↑ 5 ℃ 恒温 法则 ：   薄 针织 开衫 作为 后备 武器 最好 避免 花色 或 过于 鲜艳 的 选择 ， 在 款型 上长 、 短 或者 是 异形 都 可以 作为 后备力量 。 在 室温 较 低 的 时候 ， 穿 搭 在 连衣裙 或 短袖 外 ， 一定 要 将 衣襟 随意 敞开 ， 或者 加 一条 细腰 带来 收拢 身线 。 秘笈 重点 ：   黑 、 白 、 灰 三原色 为 优选 ， 深 V 领型 开身 、 腰身 和 肩部 细节 点缀 。 升温   +   法 宝石 般的 湖蓝 绸缎 衫 和 香槟色 筒裙 ， 深 V 抽褶 和 规则 捏 褶 造型 上下 呼应 ， 外加 一件 纯白色 针织 开衫 ， 用 黑色 细腰 带来 勾勒 身体 曲线 。 不但 起到 了 保暖 作用 ， 也 把 整体 色调 进行 了 中 和 优化 。 A   常规 装备 ： 收肩 高领 衬衫 、 西装 长裤   +   恒温 武器 ： 短款 针织衫 B   常规 装备 ： 立体 剪裁 连衣裙 、 宽 腰 封   +   恒温 武器 ： 异形 针织 开衫 
 时尚 	 组图 ： T恤 选 对 图案 不 俗气 又 瘦身 导读 ： 夏天 是 T恤 的 季节 ， 但是 本季 T恤 决不 是 简简单单 的 款式 就 能够 变 身 时髦 女 ， 要选 对 潮流 图案 ， 这样 不仅 时尚 ， 还 能够 瘦身 丰胸 ， 一起 看看 明星 热衷 的 款式 ， 你 也 能 从中 受益 。 古典派 的 涂鸦 式 的 图案 加 在 白色 的 背心 之上 这种 流行 了 n 年 的 样式 ， 每每 都 会 因为 一个 图案 而 重新 流行 ， 整体 上 得 黑白 搭 永远 是 流行 的 元素 ， 金属 亮色 得 皮带 有 几分 冷血 朋克 的 味道 。 编辑 建议 ： 黑白 的 搭配 之中 要 有 一点 亮色 ， 红色 的 一袭 长裙 ， 系 上 一条 蓝色 的 或者 绿色 腰带 ， 这是 各大 品牌 屡试不爽 的 色彩 搭配 方案 。 仍旧 的 朴素 无 奇 ， 却 不会 使 你 感到 平庸 ， 这 就是 朴素 之中 蕴含 的 审美 ， 一件 衣服 有 一个 打动 人 的 地方 就 可以 了 。 编辑 建议 ： 打破 平衡 才 会 有 亮点 ， 看似 毫不 搭调 得 腰带 确是 整身 衣装 打动 你 的 地方 。 露肩 得 T恤 有 几分 露肩 晚礼服 的 感觉 ， 一个 简单 的 设计 式 的 ， 立刻 让 一件 T恤 增色 许多 哦 。 精巧 的 设计 犹如 一场 戏剧 一般 ， 拥有 无限 的 遐想 空间 。 编辑 建议 ： 款式 的 独特 会 使 别人 挑剔 得 目光 有所 转移 ， 巧妙 地 利用 款式 来 遮掩 自己 的 不足 ， 集中 别人 的 目光 在 自己 的 美丽 部分 。 素雅 芬芳 的 色彩 搭配 必将 流行 于 今夏 ， 各大 品牌 的 回归 感觉 越来越 浓重 。 配 上 一个 绚烂 艳丽 得 配饰 ， 或者 宣扬 自己 个性 的 图案 ， 一切 就够 了 。 编辑 建议 ： 奇特 精巧 的 配饰 是 今夏 流行 大比拼 的 焦点 ， 行动 吧 ， 为 自己 多多 搜罗 — — 这 就是 你 今夏 时尚 指数 UP 的 诀窍 。 
 时尚 	 组图 ： 平凡 小 背心 穿出 200% 回头率 导读 ： 女人 的 盛夏 衣橱 中 ， 什么 是 出场 率 最高 的 焦点 ？ 一定 非 斑斓 、 轻巧 的 背心 莫属 。 看似 平凡 的 背心 是 夏日 中百 搭 的 基本 款 ， 没有 妖娆 、 没有 辛辣 ， 反而 越 简约 越能 赢得 绝佳 的 口碑 。 经过 与 其他 服装 、 配饰 的 碰撞 ， 背心 也 可以 摇滚 、 可以 纯真 、 可以 带些 优雅 。 让 我们 从 欧美 明星 的 穿衣 经中 ， 看看 背心 搭配 的 大 智慧 吧 ！ Cameron   Diaz 轻装 逛街 ， 白色 背心 搭配 棕色 超短裙 ， 将 她 的 曲线 勾勒 的 淋漓尽致 ， 堆积 的 褶皱 靴令 整体 层次分明 ， 让 优雅 的 步伐 变 的 格外 生动 。 黑白 条纹 背心 搭配 五分裤 ， Lindsay 恰到好处 的 运用 了 黑白 红三色 ， 让 摇滚 气息 的 街头 装扮 变 的 霸气 十足 ， 无疑 赢得 街头 达 人们 的 绝对 瞩目 。 Kate   Moss 干练 十足 的 行头 ， 照样 能 掀起 眼球 热潮 。 黑色 背心 搭配 黑色 窄 褪 裤 的 低调 ， 因为 有 了 绚丽 腰带 和 翻毛 平底鞋 的 装点 ， 低调 中 不乏 精彩 的 细节 。 绿色 与 金色 的 大胆 撞色 ， 被 Paris   Hilton 演绎 的 足够 精彩 。 色彩 清新 的 背心 足够 打眼 ， 发带 和 平底鞋 都 来 协助 呼应 ， 金色 手袋 让 全身 闪亮 令 街头 的 女士们 艳羡 。 
 时尚 	 组图 ： 抓拍 青春 “ 坏 姑娘 ” 短裤 出 街 导读 ： 不是 任何人 都 适合 穿 短裤 的 ， 首先 你 皮肤 得 好 ， 其次 你 腿 型 要好看 ， 再次 你 不能 太矮 ， 否则 显得 腿 太短 ， 最后 你 还要 会 搭配 ， 以上 这些 缺一不可 。 那么 在 诸多 明星 中 ， 谁 又 把 这些 因素 都 综合 到 了 一起 呢 ， 答案 是 阿什 丽 · 提斯 代尔 ， 这个 《 歌舞 青春 》 中 的 “ 坏 姑娘 ” 算是 十分 喜欢 穿 短裤 出街 了 ， 下面 就 来 看看 她 的 短裤 街 拍 吧 。 
 时尚 	 组图 ： 混搭装 轻松 扮演 清纯 VS 性感 导读 ： 去年 流行 开来 的 混 搭 风潮 还 没有 退去 ， 今季 还 将 继续 风行 。 强调 搭配 的 随意性 和 不同 的 混 搭 效果 ， 随意 装扮 自已 。 不同 类型 的 女孩 会 穿 出 不同 的 搭配 效果 ， 今天 就 上演 一场 清纯 和 性感 的 混 搭 之战 ， 你 也 来 借鉴 一下 ， 看看 那种 风格 更 适合 自己 。 
 时尚 	 组图 ： 米 莎 - 巴顿 22 款 经典 连衣裙 展现 极致 魅力 导语 ： 没有 哪个 女人 像 她 这样 疯狂 迷恋 连衣裙 ， 也 没有 哪个 女人 如 她 那般 将 连衣裙 魅力 释放 到 极致 ， 她 就是 米 莎 - 巴顿 ， 公认 的 时尚 天后 ， 当之无愧 的 连衣裙 女王 。 今天 特别 推荐 米 莎 22 款 经典 连衣裙 搭配 ！ 
