时尚 	 美人 时刻 ： 当 白衬衫 碰上 水 ( 组图 ) 导语 ： 女明星 们 有时 为了 性感 出 位 ， 不惜 暴露 身体 的 各个 部位 ， 然而 都 说 性感 的 最高 境界 是 隐约 窥视 的 魅力 ， 那么 湿身 装 绝对 是 令 男人 神魂颠倒 ， 令 女人 都 无法 正视 的 一类 诱惑 突袭 法 。 其实 最 简单 最 朴素 的 白衬衫 一直 是 终极 诱惑 的 一种 ， 只要 解开 三粒 扣子 或 湿身 ， 那 若隐若现 的 性感 诱惑 绝对 秒杀 众生 。 安吉丽娜 - 朱莉 一件 极其 普通 的 白色 背心 ， 穿 在 朱莉 的 身上 ， 比 着 性感 泳衣 更能 掠夺 住 人们 的 目光 … …   蔡妍 和 徐仁英 随着 音乐 的 旋律 ， 蔡妍 和 徐仁英 进入 水帘 上 的 一瞬间 ， 白色 上衣 被 水 浸透 ， 黑色 内衣 马上 就 显露 了 出来 ， 画面 极具 诱惑 。 周显 欣周 显欣 的 别名 — — 巩俐 的 “ 裸替 ” 。 如果 不是 之后 有 “ 巩俐 裸替 ” 这样 的 新闻 爆 出来 ， 也许 很少 有人 注意 到 ， 原来 《 周渔 的 火车 》 里面 有 两个 “ 巩俐 ” ， 其中 一个 就是 周显欣 。 江一燕 虽然 也 是 湿身 ， 但是 江一燕 的 湿身 却 那么 清新自然 ， 别有 一番 风情 。 
 时尚 	 组图 ： 耀眼 大 耳环   提升 冬日 回头率 导语 ： 大大的 金属 耳环 遮不住 的 女人 魅力 ， 体现 着 你 不羁 的 品味 ， 和 前卫 的 时尚 态度 ， 想要 让 别人 注意 你 ， 想要 让 别人 记住 你 ， 就要 带 大大的 金属 耳环 展现 你 性感 狂野 的 一面 ， 一起 去 LOOk 吧 。 
 时尚 	 组图 ： 藤井莉娜 冬日 9 款 温暖 造型 导语 ： 当红 日 模藤井莉娜 又 来 了 ， 这次 教 我们 打造 冬日 甜美 又 温暖 的 造型 ， 喜欢 甜美 风格 的 你 千万 不要 错过 哦 。 冬日 百变 造型 由 你 做主 。 千鸟 格 的 中长款 大衣 是 每年 都 必会 出现 的 款式 ， 经典 和 优雅 的 结合 ， 隐约 露出 粉色 蕾丝 裙 让 你 的 甜美 指数 大大增加 。 黑色 毛绒 的 长靴 是 冬日 温暖 又 时尚 的 最佳 选择 。 很 有 层次感 的 蕾丝 迷你裙 是 冬日 的 百 搭 款式 ， 搭配 短 上装 看起来 很 精神 ， 白色 的 外套 还 做 了 可爱 的 毛边 设计 ， 和 裙子 相得益彰 。 黑色 贝雷帽 增加 了 甜美 指数 。 沉闷 的 冬日 里 不妨 选择 一件 耀眼 的 外套 给 自己 一个 好 心情 ， 不要 害怕 玫瑰红 会 让 你 变得 艳俗 ， 一个 好 的 搭配 会 让 你 成为 冬日 里 最 耀眼 的 人 。 如果 是 个 暖洋洋 的 日子 ， 一件 飘逸 的 雪纺 抹胸 裙 ， 披上 一件 温暖 的 羊毛 外套 ， 如果 有 一款 毛绒绒 的 皮 草包 那 就 再 合适 不过 了 。 穿 上 这身 行头 立马 去 逛街 吧 。 
 时尚 	 藤井莉娜 冬日可爱 爱斯基摩 造型 爱斯基摩 的 棉大衣 既 温暖 又 可爱 ， 白色 的 感觉 也 很 甜美 ， 黑白 斑点 的 连衣裙 和 长 皮靴 又 有 几分 小 女人 的 性感 。 
 时尚 	 街 拍客 亲授 真经   姿态 四 ： 大 范型 姿态 四 ： 大 范型 要点 ： 保持 着 运动 或者 掠 食者 的 姿态 。 行进 中 自信 的 微笑 会 带给 人以 更 强 的 震撼力 。 时至今日 我 还 清晰 记得 乔伊娜 在 每次 百米 冲刺 时 展现出 的 灿烂 笑容 。 运动 的 躯体 是 最为 诱人 的 ， 而 若 能 把 所有 站立 拍摄 时候 的 技巧 与 神态 都 融入 到 行走 拍摄 中 去 ， 那 便 可以 轻松 应对 一切 街 拍 摄影师 了 。 大范 儿女 人 并 不 稀罕 内 八站 姿 ， 然而 有时候 她们 也 会 忘乎所以 。 不过 手臂 造型 的 运用 仍然 可以 让 她们 夺取 主动 。 
 时尚 	 长靴 短裙 秀美 腿   京妞变 身潮 女郎 街 拍 时间 ： 2009 年 11 月 19 日街 拍 地点 ： 北京   建外 SOHO 时尚 解析 ： legging   与 皮衣 遥相呼应 ， 看起来 大方 有 干练 ！ 街 拍 时间 ： 2009 年 11 月 21 日街 拍 地点 ： 北京   西单 时尚 解析 ： 毛绒 的 帽子 大行其道 ， 粉嫩 的 装束 惹人爱 ！ 不同 位置 的 粉红色 ， 大大增加 讨 喜感 和 协调性 ， 化身 粉红 系美人 。 
 时尚 	 不同 材质 礼服 的 露背 款式 白歆慧 搭配 建议 ： 蕾丝 与 羽毛 展露 性感 的 一面 ， 让 透明 和 暴露 完美 结合 ， 蛊惑人心 ， 细细的 肩带 非常 有 诱惑性 让 人 难忘 。 林嘉琦 搭配 建议 ： 羽毛 有 狂野 的 性感 作风 ， 后 肩 的 长 项链 更添 动人 风情 ， 这 可是 让 露背装 增色 最佳 选择 ， 金属 质感 的 链子 也 十分 令人 心动 。 关颖 搭配 建议 ： 个性 甜美 的 bobo 头 造型 ， 配 上 简单 纯洁 的 白色 露背 礼服 ， 宛若 天使 的 诱惑 。 阿 sa 搭配 建议 ： 露出 的 那 诱发 人 触摸 欲望 的 蝴蝶 骨 ， 是 露背装 炫耀 的 资本 ， 手臂 一张 一合 的 时候 两片 薄骨 在 皮肤 下 清晰可见 ，   说 是 让 人生 怜 也 对 ， 说 是 让 人 嫉妒 才 更 准确 。 
 时尚 	 冬季 瘦身 搭配 宝典   外套 款式 最 瘦身 锦囊妙计 3 ： 外套 款式 瘦身 冬季 外套 的 羊毛 类 的 材质 想要 既 薄 又 暖 实在 有些 勉强 ， 但是 款式 却 选择 范围 很广 。 收腰 款式 的 外套 ， 特别 是 短外套 很 适合 矮个子 的 mm ， 腰部 收紧 下摆 宽松 ， 视觉 上显 瘦 显高 ， 下摆 又 能 掩饰 臀部 和 大腿 的 臃肿 。 选择 中长款 大衣 的 时候 ， 除了 收腰款 也 不能 错过 高腰 设计 的 大衣 ， 对于 普遍 不够 高挑 呈梨型 身材 的 亚洲 mm 来说 ， 这种 高腰 设计 的 大衣 可以 很 好 的 弥补 身材 重心 下沉 的 缺陷 ， 拉长 下半身 的 比例 ， 有 了 高挑 的 模特 身材 比例 当然 更显 瘦 啦 ！ 锦囊妙计 4 ： 腰带 巧 利用 很多 MM 偷懒 不 喜欢 使用 大衣 上配 的 腰带 ， 以为 腰带 只是 一个 可有可无 的 装饰 ， 那 你 可 就 大错特错 了 ！ 冬季 内套 了 毛衣 以后 的 大衣 如果 不系 腰带 很 容易 现出 肚腩 哦 ， 大衣 上 的 腰带 打造出 迷人 的 S 形 曲线 ， 不要 让 好身材 被款 衣大袍 掩盖 ！ 腰带 实在 是 一个 显瘦 大大 有用 的 配件 ， 大廓 型 的 毛衣 系 上 皮带 后 ， 突出 了 腰部 ， 身材 马上 就 显得 苗条 不上 。 甚至 是 宽松 的 H 型 大衣 ， 臃肿 无比 的 羽绒服 ， 配 上 一款 个性 皮带 都 能 立刻 呈现出 不 一样 的 新意 ！ 
 时尚 	 冬季 瘦身 搭配 宝典   掌握 比例 是 关键 锦囊妙计 5 ： 混 搭 + 对比 方式 掌握 内外 长度 比例 是 叠 穿 时 的 瘦身 关键 ， 长度 在 腰 以上 的 皮夹克 ， 也 就是 身体 最细处 向上 1 公分 ， 视觉 上会 有 向上 拔 的 感觉 。 再 搭配 至 大腿 的 长 打底 + 深色 吸腿裤 ， 让 层叠 感觉 出现 在 上半身 才 不 显胖 。 冬天 也 要 善用 比例 以及 对比 的 关系 ， 其中 最 简单 的 当然 是 上 松下 紧 ， 只要 腿部 不 臃肿 ， 即使 上身 的 皮草 轮廓 比较 大 ， 也 不会 显得 笨拙 ， 所以 黑色 、 灰色 和 牛仔 的 铅笔 裤 都 要 备齐 ， 以便 搭配 不同 的 时装 。 锦囊妙计 6 ： 适度 裸露 身材 娇小 的 女生 最好 不要 选择 长大衣 ， 膝盖 以上 的 大衣 很 流行 就 很 适合 。 搭配 短裤 或者 短裙 ， 尽量 露出 腿部 线条 ， 搭配 深色 保暖 长袜 ， 以及 能 拉长 腿 长 的 尖头 高跟鞋 ， 美好 身线 得到 最大 程度 的 呈现 当然 不怕 看上去 臃肿 ！ Tips ： 腿部 害怕 寒风 的 侵袭 ， 可以 搭配 内面 带 保暖 毛绒 的 连裤袜 ， 让 膝盖 暖和 又 舒适 ， 再 来 一双 高筒 长 靴子 ， 不 透风 的 皮革 靴子 保护 小腿 ， 比穿 裤子 还 防寒 呢 。 尽量 的 选择 黑色 袜 ， 让 双腿 在 视觉 上显 瘦 。 中袖款 的 大衣 外套 也 能 从 视觉 上 调整 身材 的 比例 ， 会 让 整个 搭配 显得 轻盈 很多 。 至于 保暖 的 问题 ， 打底 衫 可以 厚实 点 ， 或者 各种 长度 的 手套 正好 派上用场 哦 ！ 
 时尚 	 冬季 瘦身 搭配 宝典   配件 别 忽视 锦囊妙计 9 ： 配件 别 忽视 冬天 一些 小 配件 ， 例如 毛茸茸 的 耳罩 、 围巾 手套 等 除了 让 你 潮流 感 十足 ， 还会 让 冬装 厚重 温暖 起来 。 一顶 合适 的 帽子 可以 帮 你 起到 修饰 脸型 的 作用 ， 微微 隆起 的 帽顶 还 具有 一定 的 “ 增高 ” 功效 ， 让 你 看上去 身材 更 显得 高挑 纤细 。 而 围巾 在 秋冬 不仅仅 是 用来 取暖 ， 还 可以 起到 “ 瘦身 ” 的 作用 呢 ！ 将 围巾 围得长 一点 ， 可以 帮助 你 从 视觉 上 拉长 身线 ， 让 你 看上去 更加 高挑 ， 同时 ， 围巾 又 可以 很 好 的 掩饰 胸部 和 腹部 的 赘肉 ， 达到 “ 瘦身 ” 的 目的 ！ 小结 ： 选择 冬季 的 衣服 时 ， 应该 更 注重 衣服 的 材质 ， 同时 米色 、 浅 咖啡色 、 白色 、 明 黄色 等 浅色 调 的 衣服 都 会 让 你 看上去 比 实际上 要 胖 一些 ， 如果 你 希望 自己 显得 苗条 ， 应该 尽量避免 让 这些 颜色 大面积 得 在 你 身上 出现 。 各种 无穷无尽 的 搭配 方式 ， 上 宽 下紧 、 上长 下 短 、 上明 下暗 … … 等等 也 令 你 在 寒冬 的 各个 场合 穿行 自如 。 窄 腿 裤 的 好感 毋庸置疑 ， 拉长 腿部 线条 ， 弱化 上身 的 体积 感 。 最后 一点 是 人人 都 知道 的 ， 高跟鞋 能 让 女孩子 显得 更加 修长 ， 能 让 你 看起来 更 挺拔 高挑 ， 摆脱 臃肿 的 烦恼 ， 还 多 了 几分 女人 的 成熟 和 性感 。 
 时尚 	 素净 黑色 小 洋装   优雅 又 迷人 时尚 点评 ： 红地毯 上 的 Shania   Twain ( 仙妮亚 唐恩 ) 以 一条 性感 的 抹胸 纱裙 示人 ， 配 上古 酮色 的 肌肤 充满 了 夏天 的 活力 动感 ， 健康 的 肤色 把 Shania   Twain 映衬 得 更加 性感 迷人 ！ 时尚 点评 ： Katherine   Heigl ( 凯瑟琳 - 海格 尔 ) 身上 素净 的 黑色 小 洋装 非常 优雅 迷人 哦 ， 微微 的 蛋糕 裙 细节 增添 更 多 的 可爱 feel ， 优雅 的 盘发 把 Katherine   Heigl 衬托 得 更加 动人 ， 点缀 其中 的 丝带 蝴蝶结 非常 抢眼 ！ 时尚 点评 ： Brittany   Snow ( 布兰特 妮 - 斯诺 ) 搭配 高雅 的 小 洋装 十分 具有 吸引力 ， 裙子 上 沿着 领口 点缀 的 银色 亮片 在 聚光灯 下 闪闪发光 ， 把 头发 侧 放在 右边 的 Brittany   Snow 展现 妩媚 的 一面 哦 ！ 时尚 点评 ： 高贵 成熟 的 黑色 小 洋装 把 Anne   Heche ( 安妮 - 海切 ) 衬托 得 异常 动人 ， 浓浓的 优雅 feel 让 Anne   Heche 艳光四射 ， 受到 数多 红玫瑰 的 Anne   Heche 表现 得 特别 开怀 哦 。 时尚 点评 ： 金发 美女 Holly   Madison 搭配 一条 黑色 的 素净 连衣裙 就 已经 很 显眼 ， 丰满 的 身材 呼之欲出 ， 让 身边 的 男士 也 特别 自豪 ！ 披散 于 胸前 的 细微 发丝 搭配 黑色 的 裙子 ， 搭配 出来 的 效果 非常 棒 ！ 
 时尚 	 组图 ： 元旦 露背装 钓到 总裁 级 男友 导语 ： 元旦 夜晚 要 参加 宴会 ， 单身 女 可以 趁此机会 为 自己 摆脱 单身 ， 似乎 有些 棘手 。 但是 光洁 的 背部 所 具有 的 诱惑力 让 你 立刻 备受 关注 。 让 你 具备 高雅 气质 以及 性感 魅力 ， 立刻 谋杀 总裁 级 男友 ！ 舒淇 搭配 建议 ： 性感 的 尤物 们 一身 洁白 的 天使 装扮 ， 还是 无法 掩饰 骨子里 透出 的 引诱 力 。 光洁 的 裸 背 曲线 优美 ， 与 修身 的 腰带 汇合 成 美妙 的 S 型 。 范冰冰 搭配 建议 ： 黄色 缎面 露背 礼服 宽宽的 腰带 突出 纤细 的 腰肢 ， 大大的 蝴蝶结 为 腰部 增添 无限 光彩 。 刘 ? 莹 搭配 建议 ： 整个 裸露 的 背部 让 人 有 一种 刚刚 出浴 的 错觉 ， 超短裙 毫不 遮掩 纤细 的 双腿 。 低 腰带 设计 更 突出 挺 翘 的 臀部 线条 。 胡杏儿 搭配 建议 ： 白色 小 礼服 与 她 天真 纯洁 的 气质 非常 吻合 ， 蕾丝 头饰 更是 锦上添花 ， 突出 小女孩 般的 纯真 可爱 。 高腰 与 露背 结合 ， 升级 性感 指数 。 金色 细 腰带 充满 贵气 。 
 时尚 	 净色 围巾   流露 浓厚 学院 风 时尚 点评 ： 漂亮 的 印花 连衣裙 非常 有 吸引力 哦 ， 搭配 长靴 就是 淑女 冬季 最 优雅 的 搭配 ， 配 上 一个 牛仔 风 的 流苏 包包 ， 把 民族 风潮 玩到 最 透彻 的 程度 ， 紫色 的 净色 围巾 搭配 得 恰到好处 ！ 时尚 点评 ： 白色 的 上衣 搭配 黑色 的 高 腰 裙 ， 学院 风 的 感觉 很 浓厚 ， 搭配 贝雷帽 营造 很 有 型 的 复古 look ， 素净 的 黑 ＋ 白 充满 了 迷人 的 时尚 味道 ， 让 人 迷恋 ！ 时尚 点评 ： 黑白 配 的 细条纹 上衣 搭配 挽脚 牛仔 短裤 非常 sexy 哦 ， 冬天 的 时候 搭 上 黑色 的 裤袜 就 已经 很 ok 了 ， 淡淡的 休闲 风 与 优雅 风相 融合 ， 效果 还 不错 哦 ， 点点 的 女性 魅力 从中 流露 ， 最后 以 一条 非常 抢眼 的 红色 围巾 搭配 ， 让 整个 搭配 很 有 重点 ， 非常 好看 ！ 
 时尚 	 女星 红毯 造型   周迅 暗许 香奈儿 周迅 ： 情别 造型师   暗许 香奈儿 2009 年 对于 周迅 来说 ， 最 轰动 的 事要 算是 与 造型师 男友 的 分道扬镳 。 正当 大家 猜测 周迅 的 时尚 之路 该 何去何从 的 时候 ， 香奈儿 秀场 的 惊艳 亮相 ， 仿佛 告知 世人 ： 离开 大齐 ， 穿衣 一样 靠 谱 。 与 其他 女星 们 在 红毯 服装 的 品牌 选择 千面 开花 所 不同 ， 周迅 这 一年 的 红毯路 与 CHANEL 不离 不弃 ， 或许 对 女人 而言 ， 衣服 才 是 比 男人 更 值得 信赖 和 更 长久 的 朋友 。 综合 成绩 ： 88 分第 28 届 香港 金像 颁奖礼 上 ， 周迅 身着 CHANEL   08 秋冬 高级 订 制服 ， 佩戴 CHANEL   Filde   Camelia 山茶花 钻石 腕表 轻盈 现身 。 抹胸 式 的 上装 让 她 完美 的 肩颈 线条 显露 无余 ， 无怪乎 是 她 穿着 频率 最高 的 款式 。 下身 的 黑色 长裙 乍看 简单 ， 但 却 与 白色 上装 一起 为 她 带 出 不 常见 的 经典 味儿   ， 让 她 整体 装扮 看起来 更 和谐 。 身着 CHANEL   09 - 10 秋冬 成衣 StartingPoint 系列 小黑裙 的 周迅 ， 亮相 第 18 届 金鸡 百花奖 闭幕 颁奖礼 ， 凭借 《 李米 的 猜想 》 获得最佳 女主角 。 简单 的 小黑裙 搭 珍珠项链 ， 这身 CHANEL 女士 的 经典 装扮 为 周迅 添彩 不少 ， 具 透视 感 的 裙身 和 不失 俏皮 的 衣领 ， 让 黑色 的 视觉 沉寂 感 出现 了 亮眼 的 细节 ， 越 看 越 能够 体味 出 剪裁 的 惊艳 。 身着 CHANEL07 - 08 秋冬 高级 定 制服 系列 黑色 礼服 ， 佩戴 CHANEL 高级 珠宝 山茶花 戒指 的 周迅 亮相 “ 亚洲 APN 亚洲 制片人 大奖 ” 红毯 。 两件套 的 小 礼服 用 黑色 与 暗红色 交混 ， 显出 浓烈 且 沉稳 的 气质 ， 让 周迅 看起来 并 不 张扬 ， 却 不易 让 人 忽视 ， 尤其 是 不 对称 肩带 上 的 花朵 装饰 ， 让 她 在 沉静 之间 更 平添 一份 娇俏 。 第 13 届 中国 电影 华表奖 上 ， 周迅 以 Chanel 抹胸 白裙 纯美 亮相 ， Chanel “ NuitEtoilee ” 项链 将 宇宙 间 的 彗星 、 星球 、 月亮 映于 颈间 ， 与 亮片 礼服 衬托出 优雅 永恒 的 经典 之美 。 纯白色 的 装扮 给 周迅 带来 难得 的 知性 典雅 气质 ， 让 她 的 整体 风格 大气 了 不少 ， 也 让 她 玲珑 的 身形 不再 显得 那么 单薄 。 年度 败笔 上海 国际 电影节 上周 迅 身着 CHANEL07 - 08 秋冬 高级 定制 系列 粉色 礼服 ， 佩戴 CHANEL 高级 珠宝 彗星 系列 。 这套 礼服 不太 适合 身材 娇小 的 她 ， 虽然 夸张 的 款式 用来 走红 毯 不错 ， 但 却 让 本 就 不 高 的 她 显得 更 矮   ， 且 外罩 的 粉红色 轻纱 太过 蓬松 ， 会 引发出 她 下身 臃肿 的 印象 ， 着实 败笔 。 年度 PK ： 周迅 PK 李冰冰 电影 《 风声 》 宣传 期 ， 周迅 和 李冰冰 频繁 以好 姐妹 形象 亮相 ， 但 娱乐圈 从来 就 不 缺乏 面上 风光 ， 暗里 争斗 的 好戏 。 这 一次 她们 双双出 现在 电影 的 首映式 上 ， 虽然 周迅 的 服装 上 有 让 人 一见 难忘 的 细节 装饰 ， 但 站 在 身着 黑色 亮片 超短裙 的 李冰冰 身边 ， 还是 被 夺去 了 大部分 的 注意力 ， 只叹 颜色 不够 sharp ， 裙子 又 太长 ， 精雕细琢 的 褶皱 细节 又 让 她 的 身形 略显 臃肿 。   周迅 ： 情别 造型师   暗许 香奈儿 2009 年 对于 周迅 来说 ， 最 轰动 的 事要 算是 与 造型师 男友 的 分道扬镳 。 正当 大家 猜测 周迅 的 时尚 之路 该 何去何从 的 时候 ， 香奈儿 秀场 的 惊艳 亮相 ， 仿佛 告知 世人 ： 离开 大齐 ， 穿衣 一样 靠 谱 。 与 其他 女星 们 在 红毯 服装 的 品牌 选择 千面 开花 所 不同 ， 周迅 这 一年 的 红毯路 与 CHANEL 不离 不弃 ， 或许 对 女人 而言 ， 衣服 才 是 比 男人 更 值得 信赖 和 更 长久 的 朋友 。 综合 成绩 ： 88 分第 28 届 香港 金像 颁奖礼 上 ， 周迅 身着 CHANEL   08 秋冬 高级 订 制服 ， 佩戴 CHANEL   Filde   Camelia 山茶花 钻石 腕表 轻盈 现身 。 抹胸 式 的 上装 让 她 完美 的 肩颈 线条 显露 无余 ， 无怪乎 是 她 穿着 频率 最高 的 款式 。 下身 的 黑色 长裙 乍看 简单 ， 但 却 与 白色 上装 一起 为 她 带 出 不 常见 的 经典 味儿   ， 让 她 整体 装扮 看起来 更 和谐 。 身着 CHANEL   09 - 10 秋冬 成衣 StartingPoint 系列 小黑裙 的 周迅 ， 亮相 第 18 届 金鸡 百花奖 闭幕 颁奖礼 ， 凭借 《 李米 的 猜想 》 获得最佳 女主角 。 简单 的 小黑裙 搭 珍珠项链 ， 这身 CHANEL 女士 的 经典 装扮 为 周迅 添彩 不少 ， 具 透视 感 的 裙身 和 不失 俏皮 的 衣领 ， 让 黑色 的 视觉 沉寂 感 出现 了 亮眼 的 细节 ， 越 看 越 能够 体味 出 剪裁 的 惊艳 。 身着 CHANEL07 - 08 秋冬 高级 定 制服 系列 黑色 礼服 ， 佩戴 CHANEL 高级 珠宝 山茶花 戒指 的 周迅 亮相 “ 亚洲 APN 亚洲 制片人 大奖 ” 红毯 。 两件套 的 小 礼服 用 黑色 与 暗红色 交混 ， 显出 浓烈 且 沉稳 的 气质 ， 让 周迅 看起来 并 不 张扬 ， 却 不易 让 人 忽视 ， 尤其 是 不 对称 肩带 上 的 花朵 装饰 ， 让 她 在 沉静 之间 更 平添 一份 娇俏 。 第 13 届 中国 电影 华表奖 上 ， 周迅 以 Chanel 抹胸 白裙 纯美 亮相 ， Chanel “ NuitEtoilee ” 项链 将 宇宙 间 的 彗星 、 星球 、 月亮 映于 颈间 ， 与 亮片 礼服 衬托出 优雅 永恒 的 经典 之美 。 纯白色 的 装扮 给 周迅 带来 难得 的 知性 典雅 气质 ， 让 她 的 整体 风格 大气 了 不少 ， 也 让 她 玲珑 的 身形 不再 显得 那么 单薄 。 年度 败笔 上海 国际 电影节 上周 迅 身着 CHANEL07 - 08 秋冬 高级 定制 系列 粉色 礼服 ， 佩戴 CHANEL 高级 珠宝 彗星 系列 。 这套 礼服 不太 适合 身材 娇小 的 她 ， 虽然 夸张 的 款式 用来 走红 毯 不错 ， 但 却 让 本 就 不 高 的 她 显得 更 矮   ， 且 外罩 的 粉红色 轻纱 太过 蓬松 ， 会 引发出 她 下身 臃肿 的 印象 ， 着实 败笔 。 年度 PK ： 周迅 PK 李冰冰 电影 《 风声 》 宣传 期 ， 周迅 和 李冰冰 频繁 以好 姐妹 形象 亮相 ， 但 娱乐圈 从来 就 不 缺乏 面上 风光 ， 暗里 争斗 的 好戏 。 这 一次 她们 双双出 现在 电影 的 首映式 上 ， 虽然 周迅 的 服装 上 有 让 人 一见 难忘 的 细节 装饰 ， 但 站 在 身着 黑色 亮片 超短裙 的 李冰冰 身边 ， 还是 被 夺去 了 大部分 的 注意力 ， 只叹 颜色 不够 sharp ， 裙子 又 太长 ， 精雕细琢 的 褶皱 细节 又 让 她 的 身形 略显 臃肿 。 
 时尚 	 学 圆润 妞   抽象 图案 穿 出 立体感 提示 ： 色彩 强烈 的 抽象 图案 适合 圆润 妞 诸位 ， 让 我们 来 讨论一下 抽象 花样 对于 圆润 妞 的 作用 。 很 久 以来 似乎 一直 存在 着 这样 的 观念 ： 圆润 体型 的 人 不 适合 和 效果 强烈 的 花样 图案 搭配 ， 它会 将 你 更 突出 。 然而 从 实际 经验 来说 ， 我 却 发现 其实 色彩 强烈 的 抽象 花样 还 蛮 适合 自己 的 ， 因为 身形 够 大 ， 很 撑得住 ， 而且 各种 多余 脂肪 会藏 在 眼花缭乱 的 花样 里 ， 不易 被 人 发现 。 唯独 需要 注意 的 是 ， 这 花样 够不够 大方 ， 够不够 摩登 。 Drew 这条 裙 非常 美 ， 图案 也 特别 。 如果 换成 传统 花朵 图案 ， 相信 会 逊色 不少 。 提示 ： 谨慎 穿 格子 装 我 不敢 穿 全身 格子 ( 很 灾难 的 ) ， 但 她 穿 很 好看 。 有 灿烂 笑容 和 金发 呼应 ， 是 较为 不同 。 以及 ， Drew 真的 好爱脚 上 那 对 鞋 啊 ！ 提示 ： 裤子 不要 过长 裤子 的 长度 对 圆润 妞们 有 什么 影响 呢 ？ 以 适当 为宜 。 从 Drew 身上 我们 可以 发现 ， 其实 过长 的 裤子 也 并 没有 让 腿 显得 更长 ， 反而 因为 盖住 鞋面 ， 愈发 头重脚轻 ( 是 的 ， 诸位 ， 挑选 高跟鞋 真是 很 重要 。 如果 你 是 圆润 款式 ， 带有 防水 台 的 超 高跟鞋 ， 请 搭配 裙子 吧 ！ 这样 脚 就 不会 显得 太小 了 ) 。 Drew 的 T恤 和 外套 让 她 显得 很 精神 ， 如果 搭配 一条 图 1 款式 的 牛仔裤 ( 当然 不要 是 白色 ) 也许 会 更 适合 。 提示 ： 穿 格子 尽量 配 简单 发型 另 一种 格子 向 我们 显示 ， 如果 你 长得 甜 ， 就算 30 多岁 ， 也 一样 可以 扮演 高中生 。 格子 和 金色 首饰 之间 颇 有 默契 ， 这种 Gossip   Girl 与 Juice 的 混合体 ， 既 精神 又 可爱 。 诸位 甜美 款式 的 姑娘 都 可以 尝试 一下 。 如何 能 将 格子 穿 得 欧美 范而 不是 普遍 的 日 韩范 ， 请 检验 阁下 的 发型 ， 不要 卷 ， 不要 斜 刘海 。 同时 衣着 上 也 不要 出现 荷叶 边 等 零零碎碎 的 东西 。 金色 首饰 长短不一 搭配 起来 吧 。 当然 ， 如果 阁下 是 李孝利 的 韩范 ， 那 ， 以上 话语 就 当时 作废 吧 。 那种 韩范 基本 是 照着 美式 来 的 。 
