时尚 	 组图 ： 2008 年度 最佳 着装 女明星 在 这 一年 里 ， 有人 横空出世 ， 有人 惊艳 复出 ， 有人 一如既往 地 追求 无懈可击 的 公众形象 ， 有人 从 过去 的 一片 混沌 中 蜕变 出 好 品味 。 值得 我们 效仿 的 不止 是 她们 的 穿衣 风格 ， 还有 她们 的 自信 与 勇气 。 Rihanna 无论是 在 流行 乐坛 还是 时尚界 ， 她 都 是 首屈一指 的 itgirl 。 从 华丽 的 Giambattista   Valli 黄色 晚礼服 到 新潮 的 ZacPosen 紫色 羽毛 裙 她 都 能 演绎 得 头头是道 。 她 率先 戴上 今年 最 流行 的 夸张 耳饰 ， 她 的 短发 也 被 许多 女明星 效仿 。 虽然 她 的 大腿 很 粗壮 ， 却 总是 自信 满满地 穿 上 迷你裙 ， 而且 人们 也 总是 夸 它们 既 修长 又 健美 。 Gwyneth   Paltrow 她 的 复出 惊艳 了 整个 时尚 圈 ， 35   岁 的 她 显得 比 以往 任何 时候 都 更 完美 。 她 能 把 短裙 穿 出 经典 和 高贵 感 ， 这 一方面 要 归功于 她 那双 总是 稳稳 穿着 超 高跟鞋 的 无可挑剔 的 美腿 ， 另一方面 是因为 她 最 青睐 黑 白色 。 另外 ， 今年 的 Bob 头 风潮 也 是 她 带动 起来 的 。 Fergie 她 终于 告别 了 露 肚皮 、 扭大 臀 的 混沌 时期 ， 一个 精致 版 的 Fergie 诞生 了 。 从 Grammy 颁奖典礼 上 简洁 的 CalvinKlein 黄色 晚礼服 到 平时 上街 时 的 帅气 宽松 短裤 和 娃娃 领短 上衣 ， 她 的 转变 告诉 我们 ， 能够 收放自如 的 女人 才 是 最 迷人 的 。 Anne   Hathaway 她 在 这 一年 里 的 感情生活 并 不顺 坦 ， 但是 这 丝毫 不 妨碍 她 在 红地毯 上 熠熠生辉 。 拥有 高挑 丰满 的 身材 和 醒目 五官 的 她 不仅 可以 胜任 华丽 复古 的 Roberto   Cavalli 银色 单肩 裙 和 性感 的 Marchesa 黑色 高叉 礼服 ， 穿 黑色 中性 外套 戴小 礼帽 也 一样 很酷 。 
 时尚 	 组图 ： 长 毛衣 + 靴 26 度 办公室 刚好 紧身 服饰 自然 可以 体现 玲珑 有致 的 曲线 ， 不过 今年 要 跟风 的话 ， 宽松 特大号 毛衣 和 针织品 亦 是 明智 选择 ， 放心 ， 这些 蓬蓬 的 衣物 不会 遮盖 掉 好身材 的 ， 一派 慵懒 的 散漫 反比 紧身 服饰 来得 性感 。 针织衫 搭配 随意 ， 可圈可点 ， 一起 看看 冬季 针织衫 的 流行 趋势 吧 。 
 时尚 	 零下 5 度 ： 大衣 苗条 又 漂亮 ( 组图 ) 大衣 永远 是 冬季 时尚 潮流 的 热门话题 。 各种 风格 ， 款式 ， 色彩 让 人 眼花缭乱 。 如果 你 也 为此 而 困惑 不已 的话 ， 可以 选择 这样 一件 带 着 点点 休闲 味道 的 冬装 ， 它 以 精致 和 随意 来 吸引 穿者 ， 带给 人 优雅 与 慵懒 的 感觉 ， 其 整体 设计 以 简约 、 自然 、 时尚 的 风格 为主 ， 在 不经意 中将 年轻一代 的 随意 与 率性 展露 无遗 ， 一 起来 看看 吧 ！ 带 着 点点 休闲 味道 的 冬装 以 精致 和 随意 来 吸引 穿者 ， 带给 人 优雅 与 慵懒 的 感觉 ， 其 整体 设计 以 简约 、 自然 、 时尚 的 风格 为主 ， 在 不经意 中将 年轻一代 的 随意 与 率性 展露 无遗 ， 一 起来 看看 吧 ！ 
 时尚 	 高圆圆 清纯 装 ： 适合 约会 穿 ( 组图 ) 编者按 ： 清纯 知性 的 高圆圆 私下 的 装扮 有 十足 的 学生味 ， 恬静 优雅 的 气质 让 她 犹如 百合 般 惹 人 怜爱 ， 唯美 的 知性 味道 让 她 成为 大众情人 ， 如果 你 也 想 在 约会 的 时候 让 人 眼前一亮 ， 不妨 一起 学学 高 圆圆的 清纯 装扮 。 小编 点评 ： 波 西米亚 风 的 一身 仍然 让 她 看上去 清纯 无比 ， 米色 比较 恬静 ， 夸张 的 首饰 与 衣装 的 风格 正好 符合 。 小编 点评 ： 红色 的 泡泡 裙 既 可以 当做 连衣裙 来 穿 ， 又 可以 当做 风衣 来 穿 ， 口袋 细节 凸显 宫廷 感觉 ， 鲜亮 的 颜色 也 十分 适合 冬天 。 小编 点评 ： 礼服 近来 都 走 国际 风 ， 但 高园园 的 这身 中国 竹林 特别 的 令人 惊艳 ， 中式 的 肚兜 + 西式 的 蓬蓬裙 ， 中西合璧 很 有 个性 。 小编 点评 ： 泡泡 袖 的 复古 小 上衣 穿 出 古典 味道 ， 典雅 的 颜色 也 凸显 优雅 味道 ， 搭配 粗 跟 靴子 更加 时尚 。 
 时尚 	 盘点 ： 巩俐 章子怡 红毯 争艳 记 ( 组图 ) 编者按 ： 巩俐 、 章子怡 这 一对 新老 谋女郎 ， 在 红地毯 上 总是 各领风骚 ， 大放异彩 。 巩俐 出席 各种 场合 偏爱 中国 味道 的 服饰 ， 而 章子怡 却 更 喜欢 国际化 的 搭配 。 中国 风情 和 西洋 感觉 的 PK ， 谁 会 胜出 呢 ？ 章子怡 ： 日前 事业 蒸蒸日上 的 章子怡 ， 品味 也 愈发 脱俗 。 出席 某 活动 时以 一款 红色 Roberto   Cavalli 礼服 惊艳 亮相 ， 不但 将 性感 身段 展露 无遗 ， 红色 的 面料 更 彰显 了 东方女性 的 优雅 ， 以及 小章 的 自信 、 活力 。 虽然 小腹 微凸 ， 但 这身 装扮 大气 十足 ， 彰显 了 她 的 巨星 风范 ， 光感 和 纱质 面料 之间 的 对比 ， 也 让 飘逸 感觉 加 分 。 而 巩俐 早先 在 出席 某 活动 时 ， 也 以 一款 同样 的 黑裙 亮相 ， 黑色 的 选择 使得 巩俐 “ 大姐大 ” 的 身份 得以 凸显 ， 老牌 巨星 的 魅力 可见一斑 。 黑裙 加上 透视 的 效果 ， 使得 巩俐 性感 倍增 ， 欲 隐欲现 的 T 字裤 风骚 撩人 。 但 编辑 还是 建议 沉稳 装扮 更加 符合 巩俐 的 气质 。 巩俐 ： 灰绿色 和 金色 的 搭配 ， 凸现 了 巩俐 高贵 和 优雅 的 气质 ， 今年 流行 的 金色 让 绿色 巧妙 分割 ， 形成 肚兜 的 造型 ， 传达 出 迷人 的 东方 韵味 。 镶有 红宝石 的 长款 耳环 完成 了 红 和 绿 之间 不 可能 的 搭配 ， 更 将 这 两种 中国 传统 的 色彩 运用 的 恰到好处 。 章子怡 ： 褶皱 感 的 黑色 抹胸 和 蓬蓬裙 的 搭配 复制 了 女孩 般的 可爱 、 优雅 ， 高贵 的 盘发 和 钻石项链 更 完整 了 公主 的 造型 ， 但 白色 花朵 和 裙摆 的 刺绣 边 实在 不太 协调 ， 点缀 过于 丰富 。 给 整体 的 造型 减掉 分数 。 
 时尚 	 组图 ： 08 最 IN 韩式 穿 法显 瘦 没商量 不失 品味 的 休闲 装扮 成为 越来越 多 的 MM 竞相 追求 的 完美 着装 效果 ， 下面 我们 就 来看 几款 韩国 新近 流行 的 休闲 搭配 ， 既 时尚 又 能 显瘦 ， 大家 快 来 一起 学学 吧 ！ 
 时尚 	 组图 ： 15 款 秋冬 外套 热门 款式 推荐 天气 日益 渐冷 ， 单薄 的 长衫 已经 不能 抵挡 即将 到来 的 凛冽 的 寒风 ， 该是 外套 出动 的 时候 了 。 厚重 的 外套 不再 是 沉闷 单调 的 代名词 ， 透过 亮丽 的 颜色 、 新颖 的 款式 以及 细节 上 的 打点 ， 冬天 的 外套 也 一样 可以 很 甜美 迷人 ， 喜欢 甜美 风格 的 mm 赶紧 看 过来 吧 ！ 
 时尚 	 组图 ： 16 款 长衫 搭 在 羽绒服 里 最美 约会 时 怎样 的 装扮 才能 让 他 对 你 好感 备至 ， 体贴 有加 呢 ？ 来自 韩国 的 TeenieWeenie 小熊 春装 是 可爱女生 的 必备 单品 ， 娇憨 的 小熊 ， 甜美 可人 的 图案 ， 搭配 牛仔 短裤 或者 活力 迷你裙 ， 都 是 约会 时 很 不错 的 打扮 ， 一定 令 你 迷人 指数 倍增 ！ 
 时尚 	 组图 ： 从冬 穿 到 春 打折 必买 这 19 款 皮草 的 雍容华贵 ， 针织 的 温文尔雅 , 皮革 的 干练 质感 ， 都 在 这个 冬天 为 您 带来 了 无限风光 ， 那么 怎样 把 他们 穿 得 恰到好处 ， 怎样 找到 今冬 最 流行 的 款式 ， 下面 就 为 你 一一 作答 。 
 时尚 	 组图 ： 名模 人人 都 爱 7 分袖 厚 外套 编者按 ： 7 分袖 外套 是 今天 最 热 款式 的 上装 ， 尤其 适合 初冬 季节 ， 两件 的 穿 搭 让 层次感 更加 丰富 ， 单穿 也 能 透出 微微 性感 的 味道 ， 名模 人手 一件 的 狂热 程度 ， 绝对 应该 列入 你 的 换季 计划 中 。 Lisa - S 流行 趋势 ： 大衣 的 款式 设计 非常 大方 ， 加 了 亮线 的 材质 增加 了 时尚 感 ， 也 让 经典 的 面料 花纹 与众不同 ， 七分 袖 的 设计 非常 干练 ， 扣子 分别 分配 在 两边 前襟 上 的 设计 是 本款 服装 的 特点 也 是 亮点 。   Ana - R 流行 趋势 ： 针织 的 短袖 毛衫 ， 搭配 长袖 内 搭 ， 瞬间 穿出 了 层次感 ， 也 轻松 打造 了 时尚 个性 的 特点 ， 让 优雅 、 大方 和 性感 时尚 自然 融合 。   Ana - R 流行 趋势 ： 风衣 的 颜色 和 款式 设计 酷感 十足 ， 腰带 的 设计 和 袖口 的 设计 很 呼应 ， 立领 和 墨镜 带来 了 女强人 的 干练 和 自信 的 感觉 。   熊黛琳 流行 趋势 ： 这 款 白色 风衣 最大 的 特点 就是 立领 和 七分 袖 的 设计 ， 立领 的 设计 中性 中 透出 。 
 时尚 	 组图 ： 女星 支招 09 新年 派对 穿 什么 新年 到来之际 ， 各类 的 庆祝 活动 ， 派对 约会 也 随之 增加 。 害怕 包裹 的 太 严实 显得 拘谨 古板 ， 穿 的 太 过于 暴露 ， 又 似乎 显得 轻浮 低俗 。 怎么样 才能 穿 的 既 凸显 身材 ， 又 能 吸引 眼球 ？ 不妨 尝试 下 当季 流行 于 美女 明星 们 间 的 MINI 风潮 ， 说不定 会 给 你 带来 意想不到 的 收获 。 帕丽斯 - 希尔顿 ( Paris   Hilton ) 着装 点评 ： 肚兜 形式 的 MINI 裙 简直 是 喜欢 走 性感 路线 女性 的 杀手锏 ， 展现 完美 背部 线条 的 同时 ， 也 掠夺 了 无数 男性 的 目光 。 海蒂 - 克拉姆 ( Heidi   Klum ) 着装 点评 ： 如果 你 自认 有 魔鬼身材 的话 ， 不妨 尝试 一下 这款 MINI 小 礼服 , 绝对 考验 个人 的 体态 和 气质 。 泰勒 - 摩森 ( Taylor   Momsen ) 着装 点评 ： 喜欢 让 自己 富有 女人味 但是 又 不想 过于 的 高调 ， 这 款 吊带 式 的 MINI 裙 一定 很 适合 。 恰到好处 的 收腰 ， 凸显 女性 曲线 ， 灰色 又 十分 稳重 妩媚 。 泰勒 - 斯威夫特 ( taylor   swift ) 着装 点评 ： 仿佛 美人鱼 身上 的 鳞片 般 ， 伴着 阳光 的 照射 ， 折射出 灿灿 光芒 。 恰到好处 的 长度 和 独特 的 材质 赋予 了 这件 小 礼服 童话般 的 色彩 。 
