时尚 	 CK 广告 性感 挑逗 惹 非议   时尚 为啥 总和 情色 挂钩 导语 ： 时尚界 打 情色 牌 已经 屡见不鲜 了 ， 不过 要说 这 最早 因大 打 色情 牌 而 名声大噪 的 品牌 ， CalvinKlein 一定 在 名单 前列 ， Calvin   Klein   Jeans ( CKJ ) 作为 CalvinKlein 的 二线 品牌 ， 是 很 受 年轻人 欢迎 的 牛仔 品牌 ， 自从 史蒂文 - 梅塞 ( StevenMeisel ) 掌镜 CK 的 广告 后 ， 许多 服饰 广告 因为 画面 实在 太 露骨 而 被 禁播 。 Calvin   KleinJeans ( CKJ ) 2009 最新 服饰 广告 ， 就 因为 里面 的 画面 太过 暴露 ， 情节 太过 露骨 ， 而 遭到 了 禁播 ， 这 段 半分钟 不到 的 广告 ， 内容 就是 几个 穿着 CKJ 牛仔裤 的 男女 模特 纠缠 爱抚 的 画面 ， 看过 的 人 都 被 胆大 的 尺度 吓 到 了 。 不光 广告 被 禁播 ， 最近 他们 的 广告牌 也 遭到 了 “ 封杀 ” ， CalvinKlein 的 巨幅 性感 挑逗 的 广告牌 在 街 中 确实 相当 抢眼 ， 引来 许多 人 驻足观看 ， 画面 中 的 一 裸女 与 两 男 缠绵 的 镜头 让 大家 感到 很 挑衅 。 细数 下 不难 发现 ， 从 最早 的 第一块 大幅 男性 内衣 广告 ， 被 大家 称为 挑战 了 时代广场 的 广告 游戏规则 ， 到 KateMoss 因为 太过 “ 病态 性感 ” 而 被 批评 ， 还有 澳大利亚 超模 TravisFimmel 的 内裤 广告 在 纽约 闹市 造成 大 塞车 事件 ， 这些 充斥 着 性 暗示 的 广告 更 多 是 被 当作 一种 炒作 手段 来 解读 。 但 不管怎样 ， 史蒂文 - 梅塞 ( StevenMeisel )   冷峻 的 性感 风格 已经 为 CK 的 销量 推波助澜 ， 事实证明 他 这次 又 帮 CK 成功 营销 了 ！ 但 不管怎样 ， 史蒂文 - 梅塞 ( StevenMeisel )   冷峻 的 性感 风格 已经 为 CK 的 销量 推波助澜 ， 事实证明 他 这次 又 帮 CK 成功 营销 了 ！ 
 时尚 	 2010 年君 太 百货 周年 庆   购物 攻略 君太 百货 7 周年 庆 ， 抢购 狂潮 11 日 重磅 开档 ！ 服饰 商品 88 省 55 ， 品牌 日满减 升级 ， 更 有限 时 抢购 3.8 折起 ， 绝对 优惠 ！ 化妆品 15 倍 积分 ， 香水 彩妆 12 倍 积分 ， 满 800 元 升级 为 20 倍 积分 ， 满 1500 元 再 升级 28 / 25 倍 积分 ！ 7 周年 重磅 七重 礼 ： 一 重礼 ： 即日起 至 12 月 5 日君 太 百货 VIP 会员 消费 满 600 元 即可 获赠 精巧 分装 五件套 ， 满 1200 / 1800 / 2500 / 4000 / 6000 元 获赠 实用 名牌 小家电 电水壶 / 面包机 / 电火锅   / 电压 锅 / 电烤箱 ， 数量 有限 。 二重 礼 ： 周年 福袋 喜 相送 ， 十万 豪礼奖 不停 ！ 12 / 3 - 5 顾客 单笔 消费 满 600 元 即可 参与 大 抽奖 活动 ， 任意 选取 福袋 一只 ， 现场 兑奖 ， 每 只 都 有 惊喜 ， 每日 500 名 ， 先到 先得 。 iPhone ( 手机 上网 ) 4 、 SWATCH 对表 、 富士 立拍 得 、 荣事达 咖啡机 、 松下 吹风机 … … 机会 只 给 幸运 的 你 ！ 三重 礼 ： 最强 I   PAD 即 抽 即 拿 ！ 11 / 19 - 21 、 11 / 26 - 11 / 28 每日 13 : 00 、 15 : 00 、 18 : 00 、 21 : 00 每 3 小时 抽出 一台 I   PAD ， 消费 100 元 即可 参与 抽奖 ！ 全馆 寻找 的 LUCKY   GUY ， 一定 要 在 现场 哦 ！ 四重 礼 ： 百家 品牌 共贺 7 周年 庆 ， 百万 好礼 大放送 ！ 11 / 20 - 21 、 11 / 27 - 28 、 12 / 2 - 5 君太 百货 VIP 会员 单柜 消费 满 1000 元 即可 在 满省 优惠 基础 上 额外 再 获赠 200 元君 太 礼金 卡 ！ 参与 品牌 详见 店内 明示 。 五重 礼 ： 会员 到 店 送 惊喜 ！ 12 / 2 - 5 君太 VIP 会员 任意 消费 即可 获赠 7 周年纪念 本 一个 。 六 重礼 ： 生日 同庆 蛋糕 齐 分享 ！ 即日起 至 12 / 5 君太 VIP 会员 任意 消费 即可 参加 有奖 游戏 ， 还 可 幸运 赢取 85 度 C 蛋糕 。 七重 礼 ： I   BAG ！ 强势 来袭 ！ 11 / 22 - 25 、 11 / 29 - 12 / 2 君太 VIP 会员 于 1F 、 2F 、 4F 、 5F 单笔 消费 满 600 元 就 可 获赠 I   BAG 环保 包 一只 。 从此 不 为 奢侈 名牌 囊中羞涩 ， 你 就是 最 时尚 最 环保 的 街 拍 达 人 ！ 另有 工商银行 、 中信银行 、 民生银行 等 银行 共贺 7 周年 庆 ， 刷卡 有礼 ， 礼上 加礼 ！ 君太 百货 7 周年 庆 ， 来 go 就是 赚 到 了 ！ 
 时尚 	 杨澜 携手 蓝月亮 助推 液体 洗衣 低碳 生活 新 观念 ( 2010 年 11 月 9 日 ， 北京 ) 11 月 9 日 ， 洗衣 液 领军 品牌 蓝月亮 在 北京 举办 了 以 “ 液 趋势 · 澜 动力 ” 为 主题 的 新闻 发布会 。 作为 “ 澜 动力 ” 的 杨澜 亮相 现场 ， 同时 ， 由 杨澜 倾情 演绎 的 蓝月亮 新 产品 广告片 也 揭开 了 神秘 面纱 。 发布会 以 展现 洗衣 液 发展趋势 的 水 影画 表演 拉开帷幕 ， 在 渲染 出 美轮美奂 的 现场 意境 的 同时 ， 更 巧妙 地 传递 出 本次 新闻 发布会 的 主题 。 随后 ， 中国 洗涤 用品 工业协会 理事长 郑舞虹 、 蓝月亮 总裁 罗秋平 分别 亮相 舞台 ， 并 发表 致辞 。 郑 理事长 在讲话中 提到 ， “ 蓝月亮 不断 推出 洗衣 液 升级 产品 ， 对 推动 洗衣 液 市场 发展 做出 了 积极 的 贡献 ， 在 满足 更 多用户 需求 的 同时 也 无形中 加速 了 液体 洗衣 观念 的 形成 ， 这次 发布会 不仅 是 蓝月亮 展示 新 技术 新 产品 的 平台 ， 也 是 蓝月亮 向 更 高 目标 发展 的 新 跨越 。 ” 杨澜 携手 蓝月亮   发布会 优雅 亮相 伴随 着 热烈 的 掌声 ， 本次 发布会 的 主角 — — 杨澜 女士 优雅 地 登上 舞台 。 作为 一位 公众 人物 ， 杨澜 一直 在 环保 、 低碳 等 方面 身体力行 ， 兼任 国际 国内 多家 公益 环保 组织 的 形象大使 。 本次 携手 蓝月亮 ， 也 是 杨澜 将 低 碳 环保 理念 与 日常生活 相结合 的 新 尝试 ， 希望 将 蓝月亮 专业 的 洗涤 理念 和 环保 的 洗衣 液 产品 带给 更 多 的 消费者 。 发布会 现场 ， 杨澜 坦言 ， 之所以 牵手 蓝月亮 ， 很大 程度 上 是因为 在 低 碳 环保 方面 ， 蓝月亮 与 自己 有着 共同 的 价值 追求 。 洗衣 液易 溶解 和 漂洗 ， 清洁度 高 又 可以 保护 衣物 ， 并且 从 生产 、 使用 到 排放 的 全过程 都 低 碳 环保 ， 因此 ， 液体 洗衣 必然 是 未来 衣物 洗涤 的 大 趋势 ， 而 蓝月亮 也 是 深受 大家 喜爱 的 洗衣 液 品牌 ， 它 的 专业 精神 值得 大家 信赖 。 蓝月亮 自 涉足 洗衣 液 领域 起 ， 就 着力 研发 节水 易 漂且 不 含磷 、 铝 的 环保 洗衣 产品 ， 倡导 “ 液体 洗衣 、 低碳 生活 ” 的 新 主张 。 蓝月亮 洗衣 液 采用 高浓度 液态 配方 ， 遇水 即 溶 ， 洁净 力 超强 ， 其 独特 的 泡沫 控制技术 ， 令 漂洗 只 需 1 - 2 次 ， 省水 、 省 电 ； 该 产品 具备 护衣护色 护手 等 全面 保护 功能 ， 是 一款 新型 实用 的 节能 环保型 产品 ， 大大 满足 了 现代 家庭 的 洗衣 需求 。 除了 低碳 环保 ， 杨澜 和 蓝月亮 还有 着 很多 相似之处 。 杨澜 作为 中国 优秀 女性 的 代表 ， 无论 在 工作 还是 生活 中 ， 都 秉承 专业 的 精神 ， 她 的 成功 来自 于 专注 与 精深 。 而 蓝月亮 同样 如此 ， “ 一心一意 做 洗涤 ” ， 打造 国内 最 专业 的 洗衣 液 生产 企业 的 目标 使 其 不断 突破 创新 ， 推出 更 高标准 的 新 产品 。 如今 ， 液体 洗衣 的 新 观念 正 随着 人们 家庭 生活观 的 改变 而 受到 追捧 ， 消费者 对 产品 的 需求 更加 多样 ， 蓝月亮 的 专业 和 专注 无疑 更能 满足 人们 对 液体 洗衣 的 更 高 要求 。 新 广告 ： 专业 让 女性 更 出众   专业 让 洁净 更 出众 结束 了 简单 的 访谈 之后 ， 发布会 上 放映 了 蓝月亮 洗衣 液 的 最新 广告片 。 新 广告 以 “ 专业 ” 、 “ 洁净 ” 、 “ 出众 ” 作为 主要 诉求点 ， 展现 产品 特质 的 同时 更 主张 一种 “ 专业 ” 的 生活态度 。 片中 ， 杨澜 从 生活 、 职场 、 社交 等 多角度 演绎 了 一位 职业女性 的 专业 追求 ， “ 做 更 专业 的 女性 ， 不论 工作 还是 生活 ” ， 杨澜 在 片中 的 这句 话 充分 展现 了 新 时代 女性 追求 独立 、 高品位 的 生活观 和 价值观 ， 而 她 本人 专业 、 自信 、 阳光 的 气质 也 很 好 地 阐释 了 “ 专业 让 洁净 更 出众 ” 的 新 产品 诉求 。 广告 还 对 这款 蓝月亮 “ 亮白 增艳型 ” 洗衣 液 的 功能 做 了 充分 展示 ， 在 洁净 方面 ， 它 不仅 有效 去 渍 ， 还 增加 了 亮 白 增艳 的 新 功能 ， 比 目前 市场 上 的 同类产品 更优越 。 蓝月亮 这次 强力 推出 新 产品 以及 携手 杨澜 ， 将 加速 其 在 洗衣 液 领域 的 发展 步伐 ， 为 更 高 阶段 的 发展 提供 专业 保障 ， 另外 ， 不断 升级 的 洗衣 液 产品 也 势必会 加速 液体 洗衣 的 发展趋势 。 
 时尚 	 花边 报 ： “ 爱 疯 ” 配饰   明星 们 的 iPhone 情缘 导语 ： iPhone ( 手机 上网 ) 代表 的 是 一种 潮流 的 符号 ， 但 更 确切 得 说 应该 是 精致 典雅 的 外 在 加上 高科技 的 内在 完美 结合 使得 上 至 明星 名人 下 到 年轻 时尚 大众 争相 购买 。 看看 欧美 街头 ， 明星 们 人手 一部 iPhone 是 再 普遍 不过 的 事情 了 ， 就是 看 他们 如何 搭配 了 ， 套上 一个 鲜艳 的 外壳 ， 就 与 其他人 有 了 与众不同 的 style 。 往期 花边 报 回顾 ： 电话 接 不停 iPhone 虽以 衍生 成为 一种 潮流 符号 ， 但是 打电话 还是 最 基本功能 ， 明星 们 无时无刻 不 在 煲 电话 粥 ， 还 不 忘 把 可爱 的 苹果 LOGO 秀 出来 。 
 时尚 	 Marc   Cain   2010 年秋冬 女装 发布会 ( 图 ) 导语 ： Marc   Cain 品牌 自 1973 年 由 美籍 意大利 设计师 创立 至今 ， 其 设计 融合 了 德国 的 严谨 和 意大利 的 随意 风格 而 享誉 欧洲 。 现场 展示 的 Marc   Cain   2010 年秋冬 系列 延续 了 品牌 一贯 的 设计 风格 ， 从 时装 系列 到 运动 系列 ， 都 巧妙 地 、 多角度 地 将 悠闲 随意 与 奢华 结合 在 一起 ， 搭配 随意 又 穿着 舒适 。 设计 则 体现 了 欧洲 时装 潮流 的 领导 性 设计 理念 ， 风格 多样 ， 但 始终保持 独有 特殊 格调 ， 令 个性 张扬 而 无懈可击 ， 而 贯穿 Marc   Cain 设计 理念 的 核心 精神 就是 对称性 ， 亦 即 服装 的 搭配 和 易 穿着 性 ， 融合 多种 风格 ， 精心 裁剪 。 
 时尚 	 新潮 眼 ： 外套 当 斗篷   时尚 分子 耍帅 穿法 导语 ： 欧美 街头 爱 时尚 的 达 人们 ， 这个 秋冬 纷纷 把 外套 披 在 了 肩上 ， 西装 、 皮夹克 、 风衣 、 毛线 外套 都 被 当做 斗篷 一样 帅气 而 优雅 的 披 着 ， 一件 外套 换个 穿法 就 成 了 最 chic 的 搭配 。 不仅 是 街头 ， Celine 、 Rag   &   Bone 等 品牌 的 秋冬 秀 场上 也 能 看到 这种 穿 法 ， 而 Alexa   Chung 这位 当红 搭配 女星 更是 喜欢 披 着 外套 出现 在 街头 、 派对 甚至 红地毯 。 
 时尚 	 Gap 中国 限量 典藏版 牛仔裤 ( 图 ) 导语 ： 11 月 11 日 ， Gap 在 上海 的 第一家 旗舰店 开始 营业 。 Gap 为了 庆祝 进入 中国 市场 这个 激动人心 的 时刻 ， 推出 了 两款 特别 设计 的 牛仔裤 ， 在 中国 独家 发售 。 一条 是 Gap 中国 限量 典藏版 牛仔裤 -- Vintage   1969 ， 而 另 一条 是 特别 为 中国 设计 的 Gap1969 经典 牛仔 系列 的 新 成员 。 两款 牛仔裤 延续 Gap 的 经典 风格 ， 而 特别 加入 的 设计 元素 也 将 迎合 中国 消费者 的 需求 。 Gap 中国 限量 典藏版 牛仔裤 -- Vintage   1969 这条 Gap 中国 限量 典藏版 牛仔裤 Vintage1969 ， 可以 说 是 Gap 创始 之初 售卖 的 第一条 牛仔裤 的 复刻版 ， 整个 设计 到 制作 的 过程 都 在 美国 完成 ， 但 却是 专门 为 中国 牛仔 迷们 奉献 的 厚礼 。 下面 我们 就 来 细数 一下 Vintage   1969 的 细节 之美 ： 整批 布料 是 在 上 世纪 90 年代 的 织布机 上 制造 而成 ； 裤裆 设计 摒弃 了 常用 的 拉链 ， 选择 了 复古 味十足 的 哑光 镀金 纽扣 ， 最 顶部 的 一颗 红漆 纽扣 彰显 中国 特色 ； 沿袭 Gap1969 经典 系列 的 传统 ， 采用 了 锈色 铜制 铆钉 ， 而 右边 “ 表袋 ” 上 的 红漆 铆钉 更是 点睛 一笔 ； 首次 在 仔裤 后袋 的 设计 中 加入 红色 车线 ， 而 印有 1969 字样 的 真皮 标牌 也 同样 用 红色 车线 钩边 ； 布料 采用 1969 年 当时 牛仔 产品 特有 的 100% 靛青 染料 进行 染色 ， 不 添加 任何 现代 工艺 中 惯用 的 合成染料 ； 翻袋 内侧 的 右手边 印有 Gap 和 Cone   Mills 公司 ( Gap 最初 生产 牛仔裤 的 合作 商 ) 的 合作 历史 ， 左手边 印有 Gap   1969 的 字样 ； 红色 卷边 的 工艺 让 牛仔裤 看起来 更 整洁 ， 即使 卷起 裤腿 也 不露 线头 ； 每 一条 典藏版 仔裤 都 是 人工 磨砂 处理 ， 呈现 做 旧 效果 ； 每条 牛仔裤 都 标有 独一无二 的 编号 ， 从 1 到 3000 。 此款 Gap 中国 限量 典藏版 牛仔裤 ， 只 在 11 月 开幕 的 Gap 中国 门店 和 网络 旗舰店 有售 。 限量 零售价 ：   1969   人民币 。 
 时尚 	 名模 谢斐渊 宋 姗姗 演绎 ECCO 北欧 风情 ( 图 ) 导语 ： 上周 ， 全球 知名 鞋履 品牌 ECCO 在 华 的 第 500 家 在 上海 国金 中心 开幕 。 新店 以 北欧 设计 为 基调 ， 延承 了 “ 统一 概念 店 ” 风格 ，   以 突出 品牌 及 主推 产品 特性 为 理念 。 开幕 当日 ， 活跃 于 国际 T台 的 名模 谢斐渊 和 宋 姗姗 携众 模特 在 行走 间 演绎 来自 ECCO 的 北欧 风情 ， 将 其 所 推崇 的 自然 、 舒适 、 卓越 以及 此季 四大 流行 趋势 — — “ 甜蜜 诱惑 、 蓝领 风范 、 工装 风潮 和 全新 商务 ” 得以 完美 呈现 。 尤为 应人 瞩目 的 是 此季 的 长筒 女靴 ： Shiver   Wedge 颤抖 坡 跟 系列 将 温柔 与 自信 融为一体 ； Essence   艾森 系列 用 饱和 自然 的 色彩 诉说 经典 ； Jaffna   佳芙娜 系列 融合 妩媚 与 优雅 ， Siberia   西伯利亚 打造 严寒 中 的 舒适 与 温暖 。 
 时尚 	 宋祖英 身着 高级 定制 礼服 出席 盛典 日前 ， 在 举世瞩目 、 群星 荟萃 的 第 16 届 广州 亚运会 开幕式 上 ， 中国 著名 歌唱家 宋祖英 华美 惊艳 登台 ， 压轴 演唱 了 歌曲 《 微笑 》 ， 掀起 全场 高潮 。 宋祖英 身着 一袭 白色 丝质 长裙 ， 温婉 典雅 ， 相衬 开幕式 上 的 万艳 娉婷 ， 愈显 雍容 大气 。 此款 礼服 是 由 高级 定制 品牌 BE . PRIVE 为 此次 亚运会 开幕 演出 量身 定制 。 激情 盛会 ， 和谐 亚洲 ， 中国 广州 以 最炫丽 的 方式 ， 引爆 古老 亚洲 一个 全新 梦想 的 光临 ， 而 BE . PRIVE 亦 为 这 如花 绚烂 中 献上 一抹 亮色 。 此次 高级 定制 品牌 BE . PRIVE 为 宋祖英 在 广州 亚运会 开幕式 表演 设计 的 礼服 从 设计 到 制作 完成 周期 历时 半年 时间 ， 设计 灵感 来源 自 中国 古典 文化 中 的 敦煌 飞天 元素 。 漫布于 华丽 礼服 上 的 敦煌 云雷纹 元素 ， 象征 太阳 与 云雷 共存 于 天际 ， 与 亚运 精神 相得益彰 — — 既有 云雷 长啸 空际 之 奋发 ， 亦 有 万物 包容 并蓄 之涵 敛 。 恰如 此次 流光溢彩 的 广州 亚运会 开幕式 上 ， 中国 人民 又 一次 向 世界 传达 出 的 和谐 理念 。 BE . PRIVE 为 宋祖英 打造 的 礼服 细节 之 处 ， 更显 设计师 匠心独运 。 材质 主要 运用 高贵 优雅 米 白色 重磅 真丝 ， 朗朗 夜空 之下 宛如 云 之 留痕 。 领子 设计 大胆 运用 敦煌 飞天 壁画 仙女 飘带 ， 领口 细节 采用 日本 拉链 与 曝裂 皮 ， 描画 出 硬朗 兼有 柔美 的 线条 ， 将 演唱者 的 雍容华贵 之 气韵 极致 展现 。 BE . PRIVE 所 设计 的 服装 有着 鲜明 的 中国 特色 ， 它 善于 将 中国 文化 元素 运用 到 服装设计 中来 ， 并 结合 国际 先进 的 设计 理念 ， 不断 创造 出 独具特色 的 服装 。 作为 中国 本土 高级 定制 品牌 ， BE . PRIVE 有着 浓郁 的 中国 文化 情结 。 BASIC   EDITIONS 集团 总裁 、 民族 实业家 、 BE . PRIVE 的 掌舵人 李建国 先生 表示 ： “ 代表 着 中国 风尚 ， BE . PRIVE 亘有 的 理想 便是 用 摩登 而 时尚 的 方式 向 世界 推广 中华文明 以及 其独属 的 时尚 韵味 。 此届 广州 亚运会 ， 继 北京 奥运会 和 上海 世博会 后 ， 又 一次 在 中国 举办 ， 让 身为 中国 人 的 我们 倍感 自豪 和 骄傲 。 BE . PRIVE 能够 参与 这一 盛事 ， 我 感到 无比 高兴 。 我 相信 在 不远 的 未来 ， BE . PRIVE 必将 成为 世界级 高级 定制 品牌 。 ” BE . PRIVE 自 2008 年底 成立 以来 ， 不断 的 扩大 其 在 艺术界 与 业界 的 影响力 。 其 独特 的 设计 和 高品质 也 广受 影视界 认可 ， 自 创立 后 已 为 众多 知名 影星 定制 礼服 出席 重要 活动 ， 如 国际 电影节 ， 中国 电影节 ， 华表奖 、 飞天奖 ， 金鸡 百花奖 ， 星光奖 等 活动 。 此外 ， 也 多次 为 明星 拍摄 杂志 封面 提供 服装 。 此次 BE . PRIVE 与 宋祖英 的 合作 并 不是 第一次 ， 早 在 去年 6 月 ， 在 广受 人们 关注 的 宋祖英 首场 鸟巢 演唱会 中 ， 她 便 身穿 由 BE . PRIVE 量身 定制 的 高级 礼服 “ 夔 凤 ” 惊艳 亮相 。 在 今年 5 月 ， 万众瞩目 的 上海 世博会 开幕式 和 上海 世博 音乐会 上 ， 宋祖英 亦 身着 BE . PRIVE 定制 高级 礼服 献唱 世博 。 BE . PRIVE 坚信 服装 是 用来 服务 人 的 ， 美的 服装 可 衬托 和 提升 人 的 气质 ， 所以 BE . PRIVE   的 独特 设计 永远 将 顾客 放到 第一位 ， 为 每 一位 顾客 量体裁衣 ， 根据 其 性格 、 气质 和 喜爱 风格 ， 打造 符合 顾客 气质 和 需求 的 服装 。 BE . PRIVE 高级 定制 聚集 了 来自 法国 、 意大利 、 德国 、 巴西 、 西班牙 、 中国 及 香港 众多 时尚 中心 的 知名 设计师 ， 让 不同 背景 文化 的 时尚 人士 来 重新 诠释 中国 传统 ， 使得 BE . PRIVE   品牌 既 保持 了 中国 文化 的 底蕴 ， 又 增添 了 无穷无尽 的 新鲜 活力 ， 实现 了 跨越 季节 与 流行 的 稳定 风格 ， 创造 出 不 被 时间 淘汰 的 艺术作品 。 
 时尚 	 忘记 罩杯 ！ 梦 芭莎 开创 RE - SHAPE 重塑 胸形 革命 导语 ： 全球 80% 的 女性 穿戴 着 不 合适 的 文胸 ， 女性 也 习惯 了 按 罩杯 购买 文胸 。 事实上 ， 罩杯 只是 文胸 的 一个 部位 。 文胸 是 一件 起着 承托 胸部 的 作用 ， 因此 ， 一件 真正 健康 和 有效 的 文胸 ， 首先 应该 在结构上 符合 女性 身形 特点 ， 而 女性 身体 又 是 联动 的 ， 这 就 对 文胸 提出 了 更 大 挑战 。 好消息 是 ， 女性内衣 互联网 第一 品牌 梦 芭莎 ， 全球 首创 按 胸部 与 周围 身体 部位 的 结构 比例 设计 文胸 ， 真正 健康 舒适 的 文胸 面世 ！ 忘记 按 罩杯 选购 内衣 ！ 女性内衣 电子商务 领导品牌 梦 芭莎 Moonbasa ， 全球 范围 内 首推 按 胸部 与 周围 身体 部位 的 比例 设计 文胸 ， 开创 RE - SHAPE 重塑 胸型 革命 ！ 据 调研 ， 全球 80% 的 女性 佩戴 着 不 合适 的 文胸 。 基于 500 万 全球 女性 消费 记录 及 反馈 ， 梦 芭莎 内衣 研究院 发现 ， 女性 穿戴 文胸 的 3 大 困扰 是 ： 不 贴合 、 不 舒适 和 易 移位 。 这些 问题 往往 并非 罩杯 不 合适 ， 而 在于 每个 女性 的 胸乳 与 周围 身体 部位 的 比例 人 各 有 异 ， 直接 导致 同一个 罩杯 尺码 ， 有 的 人 穿 上 压迫 胸腔 ， 有 的 人易 肩带 下滑 ， 有 的 则 出现 勒痕 。 针对 女性 穿戴 文胸 的 3 大 困扰 ， 梦 芭莎 对 文胸 进行 革命性 创新 设计 ， 全球 率先 提出 按 身形 结构 比例 设计 研发 文胸 ！ 首先 ， 梦 芭莎 在 规划 产品线 的 源头 ， 即以 亚洲 女性 的 不同 胸型 、 胸部 与 周围 身体 部位 的 结构 关系 ， 进行 文胸 产品线 的 划分 。 在 设计 文胸 时 ， 文胸 的 5 大 核心 部位 ( 罩杯 、 肩带 肩耳 、 侧比 、 下 扒 、 后背 ) 之间 的 比例 ， 严格 按 不同 体型 进行 设计 ， 并 采用 具有 记忆 功能 、 弹性 出色 的 面料 ， 既 能 灵活 适应 不同 比例 的 胸型 ， 又 能 日复一日 ， 将 人体 各 部位 调整 至 黄金 比例 。 梦 芭莎 今季 的 塑身 美体 内衣 新品 ， 各 部分 的 比例 极尽 精密 ， 严格 按 人体工学 、 力学 进行 立体 剪裁 ， 确保 胸部 与 周围 身体 部位 间 舒适 自如 。 面料 上 ， 更 采用 有 “ 软 黄金 ” 之称 的 韩国 进口 桑蚕丝 蛋白 面料 ， 保湿 滋润 ， 让 皮肤 天天 喝足 营养 乳液 一样 光滑 润泽 。 梦 芭莎 塑身 美体 内衣 的 肩带 ， 更是 内置 磁石 按摩 放松 肩部 ， 促进 血液循环 ， 缓解 肩膀 和 胸部 的 压力 ， 对 整天 在 电脑前 工作 的 白领 一 族 ， 更 可 矫正 坐姿 、 舒缓 久坐 压力 。 
 时尚 	 搭配 QA ： 备 什么样 的 单品 解决 办公室 内外 温差 大 Q ： 备 什么样 的 单品 解决 办公室 内外 温差 大 A ： 大大的 棒针 毛衣 ， 其实 是 两 穿 的 款式 ， 既 可以 当 毛衣 ， 可以 当作 披肩 ， 再变 一下 ， 还 可以 当作 围脖 ！ 即使 内外 温差 再大 ， 在 办公室 里备 一件 这个 ， 就 什么 都 不怕 啦 ！ 正式 点 的 场合 ， 还 可以 把 它 变身 一下 ， 搭配 礼服呢 ！ 
 时尚 	 搭配 QA ： 如何 为 自己 增添 一件 不羁 皮衣   Q : 如何 为 自己 增添 一件 不羁 皮衣 A : 大热 了 几季 的 渐变 处理 终于 蔓延到 了 皮革 质地 ， 成为 今秋 男装 时尚 的 一大 亮点 ， 让 以往 略显 单调 的 皮装 材质 更 多几分 时尚 气息 。 以 渐变色 皮夹克 搭配 卡其色 长裤 ， 并 以 印花 围巾 及 做 旧 短靴 作为 点缀 ， 周身 洋溢 浓厚 的 沙漠 猎装 味道 。 
 时尚 	 搭配 QA ： 胖 女孩 如何 穿出 显瘦 潮流 感 Q ： 胖 女孩 如何 穿出 显瘦 潮流 感 A ： 显瘦 关键词 ： 夸张 配饰 配饰 的 夸张 容易 使 视觉 焦点 集中 ， 搭配 上 浅色 连身 裙 ， 既 不会 显得 过于 隆重 ， 也 不失 美感 。 
