娱乐 	 独家 探班 李康生 蔡 明亮 短片 《 自转 》 ( 组图 ) 新浪 娱乐 讯 蔡 明亮 ( 阿亮 ) 导演 、 李康生 ( 小康 ) 演出 的 银幕 组合 让 两人 在 国际 影坛 挣出 一席 地位 ， 如今 两人 “ 角色 互换 ” ！ 李康生 执导 台湾 公视 《 台北 异 想 》 影片 中 的 短片 ─ ─ 《 自转 》 ， 请出 已 20 年 没 站 在 镜头 前 的 蔡 明亮 当 演员 ， 阿亮 为了 爱徒 再次 “ 下海 ” 演戏 ， 没想到 自称 对 演员 施以 爱 的 教育 的 小康 ， 拍 第一场 戏 就让 阿亮 吃 了 18 次 NG ， 现场 更放 催泪 音乐 ， 让 感情丰富 的 阿亮 流下 真情 的 眼泪 。 台湾 公视 的 《 台北 异 想 》 影片 ， 概念 将 一天 从 清晨 六点 起 分为 八个 时段 ， 邀来 李康生 、 郑芬芬 、 钮承泽 、 林靖杰 等 八位 导演 ， 拍摄 八部 十分钟 短片 ， 接力 诠释 24 小时 的 台北 故事 。 小康 选 了 凌晨 四时 至六时 的 时段 发挥 ， 他 说 ： “ 2006 年 ， 舞蹈家 伍 国柱 、 罗曼菲 相继 过世 让 我 感触 很深 ， 蔡 明亮 拍摄 电影 《 洞 》 时 ， 罗曼菲 担任 舞蹈 编排 ， 她 直率 、 认真 的 性格 留给 大家 很深 的 印象 。 因此 特别 选择 她 凌晨 四点 多 辞世 的 时段 ， 拍摄 《 自转 》 ， 也 希望 将 这部 短片 献给 她 。 ” 蔡 明亮 自从 20 年前 曾 在 电视 单元 剧中 饰演 乐团 主唱 后 ， 即 不再 以 演员 身分 现身 萤光幕 前 ， 为了 挺 爱徒 再 站 镜头 前 ， 阿亮 坦言 ， 剧中 虽 只 需 扮演 自己 ， 但 被 拍 仍令 他 紧张 ， 要不是 近几年 常 受访 ， 被 媒体 训练 出 减少 对 镜头 的 恐惧 ， 不然 他 不会 让 自己 名列 演员 名单 中 。 被 阿亮 指导 演戏 惯 了 的 小康 ， 如何 回过头来 对 恩师 教戏 ？ 他 虽说 ： “ 我 让 演员 自由发挥 ， 采取 『 爱 的 教育 』 ！ ” 但 光是 陆奕静 炒 咖啡豆 ， 阿亮 静坐 咖啡厅 一隅 ， 这 全剧 第一个 镜头 就 磨 了 十八次 ， 现场 播放 雷光 夏 广播 录音 和 林怀民 舞作 《 挽歌 》 音乐 ， 更 催出 阿亮 的 男儿泪 ， 阿亮 说 ： “ 我 就是 想到 了 罗曼菲 ， 更 感受 到 美好 的 事物 都 会 消失 ， 真想 再 看 一次 罗曼菲 跳舞 。 ” 《 自转 》 的 最后 一场 戏 ， 陆奕静 衬 着 音乐 转圈 跳舞 ， 阿亮 也 即兴 起舞 ， 但 连 两天 熬夜 赶戏 体力 透支 ， 加上 不停 转圈 ， 她 拍 到 呕吐 、 阿亮 则 晕眩 不止 ， 小康 却 满意 称赞 ： “ 这 两人 跳 得 不错 嘛 ！ ” 小康 当 导演 ， 从 第一场 戏 折腾 演员 到 末场 戏 ， 堪称 “ 有始有终 ” ， 蔡 明亮 笑 说 ： “ 未来 我 还是 选择 继续 当 导演 吧 。 ” 台湾 特派记者 郑伟柏 ／ 台北 报导   声明 ： 新浪网 独家 稿件 ， 转载 请 注明 出处 。 
 娱乐 	 组图 ： 吴尊秀 《 剑蝶 》 戏服 为 “ 阿 Sa ” 披 嫁衣 新浪 娱乐 讯   吴尊 (   blog ) 和 导演 马楚 10 月 5 日 出席 了 香港 举行 的 “ 《 剑蝶 》 ( blog ) 戏服 展览 ” ， 以 宣传 《 剑蝶 》 。 吴尊 会上 介绍 两套 他 在 戏 中 的 戏服 ， 还 为 贴 有 蔡卓妍 ( 听歌 ) ( 阿 Sa ) 字样 的 模特儿 公仔 披上 红色 嫁衣 、 戴上 凤冠 。 10 月 10 日 是 吴尊 生日 ， Fans 为 他 提早 庆祝 生日 。 吴尊 表示 生日 那天 会 在 杭州 举行 演唱会 ， 未能 和 朋友 庆祝 ， 趁 这 几天 为 电影 宣传 ， 可 跟 不同 的 地方 Fans 见面 ， 笑称 可以 顺便 收 生日蛋糕 。 问 他 想 收 什么 生日礼物 ？ 他 笑 言 ， 最好 就是 多 买 他 的 戏票 ！   提到 他 在 活动 上 为 阿 Sa 穿衣服 ， 笑 问 他 帮 女生 穿衣 还是 脱衣 比较 熟手 ？ 他 表示 两样 都 不熟 。 TUNGSTAR 文并 图   
 娱乐 	 《 保持 通话 》 慈善 首映   大S 自 曝想 吻 古天乐 ( 图 ) 电影 在 香港 上映 时 ， 已经 引起 影迷 很大 的 回响 ， 首周 就 缔造 出 百万 票房 ， 受到 香港 影迷 的 爱戴 让 大S 受宠若惊 ， 不过 电影 即将 在 台湾 上映 ， 反倒 是 让 大S 有点 近乡 情怯 ， 担心 票房 成绩 不够 理想 ， 一旁 已经 看过 这部 片 的 小S 与 徐 妈妈 则 大力 拍胸脯 保证 电影 绝对 好看 ， 而 大S 在 戏 中 的 演技 也 相当 精湛 ， 小S 更 以戏 精来 称赞 大S 在 此片 的 演出 。 大S 能够 在 戏 中 完美 演绎 单亲 妈妈 的 角色 ， 全靠 妹妹 给 的 灵感 ， 虽然 自己 还是 单身 ， 但是 妹妹 小S 却 已经 是 两个 孩子 的 妈 了 ， 大S 全靠 两个 外甥女 揣摩 当 妈妈 的 感觉 。   原本 接演 《 保持 通话 》 大S 期待 可以 与 古天乐 (   听歌   blog ) 有 精彩 的 对手戏 ， 甚至 是 吻 戏 与 床戏 ， 没 想 直到 电影 结尾 两 人才 见到 面 ， 不仅 让 大S 失望 ， 小S 现场 爆料 更 让 徐 妈妈 失望 ， 因为 徐 妈妈 超爱 古天乐 ， 这次 会 出席 也 完全 是 冲着 古天乐 而来 的 。   大S 期待 《 保持 通话 》 在 台 上映 首周 可以 突破 千万 票房 ， 如果 真的 达到目标 ， 大S 表示 愿意 与 古天乐 接吻 ， 一旁 的 小S 似乎 很 希望 目前 单身 的 大S 与 古天乐 交往 ， 频频 询问 私交 不错 的 两人 有没有 发展 空间 ， 让 大S 都 忍不住 想 问 她 ， 到底 是 站 在 哪 一边 的 。   《 保持 通话 》 将 上映 ， 大S 与 彭于 晏 ( blog ) 所演 的 电影 《 协奏曲 》 也 刚 完成 拍摄 ， 不过 《 协奏曲 》 之前 发生 底片 遭窃 的 状况 ， 大S 表示 对于 现在 电影 处理 与 拍摄 状况 没有 办法 透露 太 多 ， 仅 表示 电影 该补 拍 的 画面 也 都 拍 完 了 ， 希望 电影 很快 就 可以 跟 大家 见面 。   大S 作品 一部 接 一部 人气 旺到 不行 ， 小S 也 不落人后 ， 今年 再度 凭着 《 康熙 来 了 》 入围 金钟奖 最佳 主持人 奖 ， 再度 入围 小S 完全 没有 把握 连庄 最佳 主持人 ， 不过 嘴上 说 不会 在 拿 奖 ， 看 的 出 小S 心里 还是 相当 渴望 连庄 的 ， 她 还 开玩笑 许下 如果 连庄 主持人 ， 她 就 裸体 的 愿望 ， 不过 这样 的 玩笑 当然 是 说完 就 收回 了 ！ TUNGSTAR / 文并 图   
 娱乐 	 曾恺 � 拍 《 爱 到底 》 被 阮经天 狂吻 3 天 ( 组图 ) 新浪 娱乐 讯   2008 年 10 月 9 日 ， 台湾 ， 星 皓首 部在 台湾 投资 开拍 的 电影 《 爱 到底 》 ， 由 最近 红透 台湾 的 阮经天 ( blog ) 与 新晋 少男 杀手 曾恺 ? ( blog ) 主演 。 两人 首日 开工 就要 拍 接吻戏 ， 昨日 ( 10 月 8 日 ) 在 机场 取景 再次 狂吻 ， 连吻 多次 ， 由 初时 的 尴尬 ， 到 最后 结果 吻 到 火热 。 由 4 位新晋 导演 执导 电影 《 爱 到底 》 ， 其中 由 导演 陈奕 打头阵 ， 操刀 第一个 故事 ， 他 是 女主角 曾恺 ? 的 亲 表哥 ， 由于 片中 男女 主角 有 很多 亲热戏 ， 艳福不浅 的 阮经天 就 取笑 曾恺 ? 被 表哥 出卖 。 两人 昨日 在 中正机场 拍摄 ， 还要 在 众目睽睽 下 吻 不停 ， 曾恺 ? 坦言 开工 首日 ， 大家 不 熟 有点 尴尬 ， 但 昨天 已 不再 脸红 。 而 阮经天 表示 彼此 沟通 良好 ， 合作 三天 已 觉得 大家 好像 相识 很长 日子 似的 ， 拍 接吻戏 也 不 尴尬 。 曾恺 ? 被 问到 这次 和 阮经天 接吻 ， 与 上次 拍 《 不能 说 的 秘密 ( ) 》 吻 周董 感觉 有何 不同 ？ 她 尴尬 表示 与 周 董较 表面 ， 与 经天 就 较 深入 。 阮经天 透露 现实 中曾 像 男主角 般 痴情 爱 到底 ， 在 女友 家 楼下 从 黄昏 等 至 深夜 ， 等 她 原谅 ， 他 还 不介意 放下 面子 ， 甚至 当众 下跪 求饶 ， 让 对方 感动 。 台湾 拍戏 开镜   罕有 切 烧猪 电影 公司 在 开镜 仪式 中 ， 举行 切 烧猪 预祝 拍摄 顺利 ， 原来 在 台湾 并 无此 习俗 ， 因此 幕前幕后 皆 表现 雀跃 ， 导演 笑称 不如 拍 直销 广告 ， 阮经天 便 扮演 推销员 ， 众人 捧腹大笑 。   图库 供稿 
 娱乐 	 组图 ： 周迅 《 画皮 》 庆功 心情 大好   与 王中磊 闲聊 新浪 娱乐 讯   10 月 8 日 ， 电影 《 画皮 》 制片方 在京举行 庆功宴 ， 庆祝 票房 已经 高达 1.7 亿 。 主演 赵薇 ( 听歌 ) 、 周迅 ( 听歌 ) 、 孙俪 (   听歌 ) 、 陈坤 ( 听歌 ) 、 甄子丹 (   blog ) 等 人 纷纷 现身 。 在 庆功酒 会上 ， 周迅 开心 大笑 并 鼓掌 为 票房 大买 叫好 ， 老板 王中磊 席间 与 周迅 搭 肩 闲聊 ， 气氛 融洽 。 图库 供稿   
 娱乐 	 组图 ： 孟瑶 三点式 上阵 宣传 《 有 只 僵尸 暗恋 你 》 新浪 娱乐 讯   孟瑶 ( blog ) 、 贾晓晨 ( JJ ) 、 动漫 Maggie 及 吴家欣 等 ， 13 日到 浅水湾 沙滩 进行 沙滩 排球赛 ， 以 宣传 新片 《 有 只 僵尸 暗恋 你 》 ， 众 女星 中以 孟瑶 最 卖力 ， 穿 三点式 泳衣 的 她 努力 打球 ， 十分 精彩 。 今日 只得 孟瑶 穿 三点式 示人 ， 她 表示 这是 公司 安排 ， 如果 大家 一齐 着 都 ok ， 只有 自己 着 泳衣 有点 尴尬 。 问 她 会否 觉得 自己 抢 尽 风头 ， 她 指 个个 身材 都 好好 ， 不觉 自己 抢 风头 。 动漫 Maggie 穿 了 泳衣 ， 但 外加 衣服 ， 失色 不少 ， 她 笑 言 因为 很大 风 ， 自己 很怕 冻 ， 她 强调 不是 怕 身材 被 孟瑶 比 下去 。 此外 ， JJ 表示 很 羡慕 孟瑶 的 身材 ， 但 对方 身材 放在 她 身上 的话 ， 只怕 会 不合 骨架 。 TUNGSTAR 文并 图 
 娱乐 	 组图 ： 《 袁隆平 》 重塑 英雄   为 传记片 另辟 蹊经 新浪 娱乐 讯   由 北大 星光 集团 、 潇湘 电影 集团 合拍 的 电影 《 袁隆平 》 刚刚 杀青 ， 借着 名人 袁隆平 的 声望 ， 这部 低调 的 人物传记 影片 未播 先红 ， 不少 对 “ 杂交 水稻 之 父 ” 感兴趣 的 观众 ， 都 在 好奇 《 袁隆平 》 到底 实力 如何 ， 制作方 透露 了 该片 吸引 眼球 的 三大 绝招 ： 煽情 元素 以情动人 是 该片 的 一大 特色 ， 一反 以往 人物 电影 高大 全 的 塑造 手法 ， 《 袁隆平 》 把 科学家 放在 一个 普通人 的 地位 ， 如何 透过 一步步 锲而不舍 的 求索 和 努力 ， 才 取得 为 人 瞩目 的 成就 。 草根 特色 的 展示 ， 让 人 对 高高在上 的 科学家 也 有 了 一份 亲切感 。 路漫漫其修远兮 ， 看着 袁隆平 曾经 的 艰辛 经历 ， 你 是否 也 对 自己 的 奋斗 充满 了 信心 ？ 揭秘 风格 另辟蹊径 是 该片 最 独到 的 地方 ， 规避 说教 ， 穿插 了 袁隆平 生活 中 很多 不为人知 的 小 故事 ， 比如 热爱 音乐 、 文学 、 甚至 袁隆平 还是 个 体育 健将 ， 您 别 还 吃惊 ， 这些 可不是 胡编乱造 ， 事实上 ， 袁老 就是 这么 一个 热爱生活 的 人 ， 只是 以往 都 被 媒体 平面化 了 ， 这回 借着 电影 《 袁隆平 》 ， 总算 还 袁隆平 一个 “ 公道 ” 了 。 如此 “ 不 走 寻常路 ” 的 剧情 设计 也 是 格外 动人心弦 、 引人注目 。 人文 气息 浓郁 的 人文 气息 也 给 本片 的 质量 做 了 有力 保证 。 《 袁隆平 》 用 一个 农业 科学家 的 传奇 做 外衣 ， 讲述 了 一个 关于 爱 和 坚持 的 故事 ， 陈逸飞 画卷 韵味 的 呈现 方式 别具一格 ， 古典 气质 浓厚 ， 更是 让 它 不同于 其它 的 国产 大片 的 明丽 绚烂 ， 多 了 份 内涵 与 沉淀 。   
 娱乐 	 邻里 惊闻 谢晋 去世 ： 他 是 个 和善 的 老头 ( 组图 ) 【 新民 网 · 娱乐 报道 】 10 月 18 日 凌晨 ， 著名 导演 谢晋 今晨 在 浙江 上虞 逝世 。 他 是 昨晚 去 参加 母校 上虞 春晖 中学 百年 校庆 的 。 当晚 ， 新民 网 记者 赶赴 谢晋 在 上海 的 家时 ， 谢家 大门 紧闭 ， 没有 任何 动静 。 新民 网 记者 于 18 日晚 20 时 赶到 谢晋 位于 江宁路 上 的 家 。 楼下 开 杂货铺 的 老板 告诉 新民 网 记者 ， 谢晋 家住 在 5 楼 。 平日 里 ， 谢晋 很少 下来 买 东西 ， 不过 ， 每每 经过 都 会 微笑 着 打个招呼 。 小区 的 保安 听闻 谢晋 去世 的 消息 表示遗憾 ， 说 ： “ 跟 他 交流 不 多 ， 但 他 是 个 和善 的 老头 。 ” 据悉 ， 谢晋 的 老伴 刚 做 完 手术 ， 尚 在 医院 休养 。 新民 网 记者 发现 ， 谢晋家 的 灯 一直 未亮 。 邻居 透露 谢家 今日 无人 在家 。 ( 新民 网   徐媛媛 )   
 娱乐 	 组图 ： 林志玲 复古 旗袍 为 中国 电影 站台 新浪 娱乐 讯   第 21 届 东京 电影节 ， 中国 电影周 开幕 记者会 19 日 举行 ， 《 赤壁 ( ) 》 剧组 突然 现身 ， 引得 现场 一阵 骚乱 。 吴宇森 携 林志玲 (   blog ) 、 梁朝伟 (   听歌 ) 、 张震 亮相 ， 而 颜丹晨 (   blog ) 、 佟 大为 (   blog ) 、 名导 陈凯歌 、 冯小宁 等 人 也 纷纷 出席 ， 为 中国 电影 造势 加油 。 图库 供稿 
 娱乐 	 组图 ： 谭耀文 《 Mr . Right 》 亮相 香港 亚洲 电影节 新浪 娱乐 讯   由 “ 百老汇 电影 中心 ” 主办 的 《 香港 亚洲 电影节 》 ， 是 一年一度 引颈 以待 的 光影 盛世 。 继 连续 四年 座无虚席 、 好评 如潮 ， 今年 大会 再接再厉 举办 《 香港 亚洲 电影节 2008 》 ( Hong   Kong   Asian   Film   Festival   2008 ) 。 每年 都 有 好多 本地 制作 参加 影展 ， 并且 大部分 都 是 首度 公演 。 其中 一部 在 单元 “ 亚洲 短打 3 ： 少年 十五 十六时 ” 的 独立 短片 《 Mr . Right 》 由 香港 “ 韩流 ” DJ 刘伟 ? 首度 执导 ， 并 找 来 谭耀文 (   blog ) 及 青春 玉女 陈逸宁 Isabel 出演 ， 于 10 月 20 日 晚上 7 时 40 分在 中环 Palace   IFC 举行 香港 首映礼 。   
 娱乐 	 众星 追忆 谢晋   电影 大师 六十 载 戏剧 梦 谢幕 ( 组图 ) 回乡 校庆 ， 谢晋 百年 ， 电影 大师 以 一个 电影 般 戏剧性 的 结尾 谢幕 告别 。 六十 影龄 ， 十数 作品 ， 他 依然 有 无数 关于 电影 未竟 的 梦想 却 仍 未 实现 。 大雾 迷城 ， 烟锁 上虞 ， 本报记者 试图 追 回到 85 年前 那个 梦想 的 原点 。   南 都 周刊 编辑 : 许伟淳   采写 | 邱 致理   张燕   艾辉   宋寻   摄影 | 特约记者   秦耀 辉南 都 娱乐 周刊 记者 赴 谢晋 家乡 探访 谢晋 百年   魂归 上虞 2008 年 10 月 18 日 凌晨 一点 ， 中国 国宝级 导演 谢晋 在 故乡 上虞 与世长辞 。 《 红色 娘子军 》   让 他 加冕 中国 左翼 新锐 导演 的 桂冠 ； 《 芙蓉镇 》   又 让 他 站 到 “ 文革 ” 反思 者 的 角度 。 在 他 之前 ， 中国 电影 左翼 思潮 东风 渐起 ； 在 他 之 时 ， 革命 题材 影片 锐意 风云 ； 自他 以后 ， 中国 电影 新浪潮 风起云涌 — 所谓 承前启后 ， 不过如此 。 上虞 的 春晖 中学 ， 靠着 座 矮山 ， 孤独 地横 在 路上 ， 红色 的 横幅 记载 着 过去 一百年 来 ， 这所 小小的 学校 的 辉煌 历史 ， 并 以 一种 出奇 的 静默 为 这 所 学校 历史 上 出色 的 校友 谢晋 哀悼 作别 。 2008 年 10 月 18 日 凌晨 一点 ， 享年 85 岁 的 著名 导演 谢晋 赶回 故乡 上虞 参加 母校 百年 校庆 ， 戏剧化 地 在 追忆往事 的 兴奋 里 与世长辞 。 春晖 百年   谢晋 百年 春晖 中学 ， 一所 江南 小城 美丽 的 小学校 ， 却 享有 “ 北北 南开 、 南 春晖 ” 的 美誉 ， 朱自清 、 夏   尊 、 丰子恺 、 李叔同 、 朱光潜 、 叶圣陶 等 一代 名师 名家 都 曾 在 这里 开堂 授课 ， 秀美 的 白马 湖畔 甚至 因此 诞生 了 一个 颇 有 影响力 的 作家群 。 儿时 谢晋 曾 在 此 就读 ， 并 因此 接受 到 “ 与时俱进 ” 的 校训 垂范 。 2008 年 母校 举办 百年 校庆 ， 谢晋 应邀 返校 庆祝 ， 这 对于 离开 母校 数十年 的 老人 来说 是 一件 相当 兴奋 的 事 。 10 月 17 日 晚上 五点 ， 谢晋 提前 一天 赶到 上虞 ， 当晚 谢晋 就 见到 了 许多 多年未见 的 老 校友 ， 言谈之间 兴奋异常 ， 没 料到 凌晨 一点 ， 这位 带 着 无限 乡情 的 老人 就 在 酒店 房间内 平静 辞世 。 据 上 影厂 有关 领导 在 医院 的 介绍 ， 谢晋 的 确切 死因 是 心源性 猝死 ， “ 没有 疲劳 ， 没有 饮酒 ， 或许 是 见 了 校友 有些 兴奋 。 ” 名门 后裔   爱乡 如命 谢晋 的 儿时 旧居 在 距离 学校 几公里 外 的 谢塘 镇上 ， 谢塘镇 相传 是 东晋 著名诗人 谢灵运 与 族弟 谢惠连 的 后裔 选择 的 定居 之地 ， 所谓 谢塘 ， 就是 谢家 塘 的 简称 ， 谢晋 和 谢家 其他 子嗣 一样 几乎 都 是 谢安谢 东 ( 听歌   blog ) 山 的 族 辈 或 后裔 。 谢晋 儿时 旧居 依然 保留 在 谢塘 镇上 ， 他 是 一个 爱乡 的 人 ， 1988 年 他 回到 故乡 并 营建 一座 2 层 小楼 自居 ， 经过 当地政府 安排 ， 数位 家乡 长者 为 谢晋 看管 房屋 ， 传 接到 如今 ， 负责 的 是 范 婆婆 。 范 婆婆 介绍 ， 谢晋 从前 几乎 年 年 回乡 过年 ， 每逢 长假 也 携妻 带子 回家 ， 不过 最近 几年 因为 身体 原因 没法 年 年 返乡 ， 但 只要 能够 行动 ， 他 依然 会 抽空 回来 看看 ， 故土难离 ， 爱乡 如命 的 谢晋 ， 最终 亦 在 故乡 画上 自己 生命 的 句点 。 让范 婆婆 印象 最 深刻 的 是 ， 谢晋 极 爱 自己 的 四子 ， 虽然 谢家 庆是 智障 人士 ， 但 谢晋 却 时刻 不要 孩子 离开 左右 ， 每 两分钟 就要 唤 一次 “ 家庆 啊 ， 家庆 啊 ” ， 其实 爱子 只是 嗯 嗯 啊 啊 地 回应 ， 有时 干脆 不 搭理 父亲 ， 但 这位 慈父 却 不会 不耐烦 ， 相反 摩挲 着 “ 阿四 ” 的 额头 露出 极 亲昵 的 神色 ， 范 婆婆 说 ： “ 他 是 最爱 阿四 的 。 ” 据说 家乡 这套 老宅 和 上海 的 房子 ， 谢晋 都 是 留给 这个 四 儿子 。 
 娱乐 	 张雨 绮 继续 扮 孤僻   镜头 下 与 周迅 零 交流 ( 组图 ) 从 10 月 档 推至 贺岁 档 ， 徐克 导演 的 《 女人 不 坏 》 似乎 迟迟 不肯 揭 蛊 ， 究竟 周迅 、 桂纶 镁 、 张雨 绮 在 戏 中 到底 怎么 不 坏 ， 才 引得 男人 们 纷纷 去 爱 ？   南 都 娱乐 周刊 编辑 : 韩贤   采写 ｜ 本报记者   艾安   摄影 ｜ 特约记者   张宇全 无 交流   精神 放空   说话 玄虚 张雨 绮 又 孤 又 僻 不想 混 了 ? 但 三个 女人 一台 戏 ， 新老 花旦 碰头 ， 传 是非 是 免不了 的 ， 此前 本报记者 前往 电影 探班时 就 发现 张雨 绮 镜头 下 与 周迅 零 交流 ， 这次 《 女人 不 坏 》 官 网上 线 ， 记者 便 发现 该 状况 并未 改善 ， 张雨 绮 继续 扮 孤僻 ， 跟 周迅 与 桂纶 镁 的 亲热 劲 对比 鲜明 ， 对待 媒体 也 相当 冷漠 。 答非所问 ， 开口 就 冷场 不知 是不是 连日 宣传 行程 太赶 ， 发布会 当天 ， 三个 女主角 姗姗来迟 ， 精神 状况 也 都 不佳 ， 尤其 是 张雨 绮 ， 尽管 经过 了 《 长江 七号 》 的 大规模 宣传 洗礼 ， 在 应对 方面 她 似乎 还是 停留 在 新人 阶段 ， 面对 主持人 的 问题 ， 常常 是 一 开口 就 冷场 ， 甚至 答非所问 ， 而且 表情 经常 陷入 放空 状态 。 当 主持人 问到 以 她 21 岁 的 年龄 如何 演绎 一个 30 多岁 的 高级 白领 时 ， 张雨 绮 竟 很大 反应 地说 ， 你 不要 再 强调 年龄 了 ， 我 真怕 大家 看 了 这个 戏 以为 我 30 多岁 呢 ？ 这一 状况 甚至 持续 到 会后 专访 。 扮 冷漠 ， 继续 零 交流 张雨 绮 在 电影 里 扮演 的 是 一个 有点 女权主义 的 高级 白领 ， 用 徐克 的话 来说 ， 漂亮 也 是 她 的 本钱 之一 ， 因此 会 是 个 所有 女人 都 恨 的 角色 。 也许 入戏 太深 ， 张雨 绮 在 现场 依然 显得 冷漠 十足 ， 一副 拒人千里 的 架势 。 电影 公司 安排 三个 女主角 一起 接受 媒体 专访 ， 但 记者 明显 感觉 周迅 与 桂纶 镁 私交 甚笃 ， 互动 频繁 ， 坐在 中间 的 桂纶 镁 常 不 自觉 地 将 身体 转向 周迅 一边 ， 张雨 绮 的 姿势 则 是 与 她俩 保持 距离 。 不仅如此 ， 当 记者 要求 三人互 爆 一下 对方 的 小 坏事 时 ， 周迅 与 桂纶 镁 的 答案 显得 非常 老友 ， 周迅 说桂纶 镁 私下 最 爱 打人 吓人 ， 桂纶 镁 一脸 嗔怪 地 说 哪 有 ， 然后 又 爆周 迅对 自己 太狠 ， 可 一说到 张雨 绮 的 事情 ， 两人竟 不约而同 陷入 沉思 ， 给 不出 答案 。 在 《 女人 不 坏 》 拍摄 探班 的 时候 ， 本报记者 便 发现 张雨 绮 尽管 在 镜头 前 跟 周迅 有 不少 对手戏 ， 但 镜头 下 是 零 交流 ， 完全 无 互动 。 如今 ， 戏 已 杀青 进入 宣传 期 ， 张雨 绮 似乎 也 不 打算 跟 戏里 两位 女主角 多 交流 增进感情 ， 依然 很 孤僻 。 访问 一 结束 ， 她 便 冲回 自己 的 休息室 ， 完全 不理 现场 留下 的 周迅 与 桂纶 镁 ， 连 招呼 也 不 打 。 拒 拍照 ， 带 记者 游 花园 桂纶 镁 评价 张雨 绮 是 个 相当 聪明 的 女生 ， 这种 “ 聪明 ” 也 被 她 贯彻始终 ， 大概 是 为了 保证 祸 不 从 口出 ， 张雨 绮 在 回答 问题 时 惜字如金 ， 更 可以 带 着 媒体 “ 游 花园 ” ， 其 功力 ， 跟黎 天王 有 一 拼 。 在 记者会 上 她 自爆 自己 在 戏里 遇到 的 男人 很坏 ， 坏到 她 很 想 将 其 踹 到 地上 。 可 当 记者 专访 时 追问 该 男人 到底 做 了 哪些 坏事 令 她 如此 咬牙切齿 时 ， 她 却说 她 其实 讲 的 是 跟 角色 无关 的 答案 ， 只是 她 自己 的 个性 所致 ， 玄之又玄 的 回答 令 记者 摸不着头脑 。 结束 访问 后 ， 有 等候多时 的 媒体 邀请 其 拍摄 照片 ， 张雨 绮 竟 一口 拒绝 ， 直到 现场 工作人员 沟通 后 ， 她 方才 停住 脚步 ， 板 着 面孔 拍 了 几张 。 她 还有 这些 玄语 张氏 “ 游 花园 ” 语录 南 都 周刊 ： 这部 戏 的 宣传语 是 女人 不 坏 ， 请 用力 爱 ， 那 你 觉得 男人 是否 也 是 如此 ？ 张雨 绮 ： 用 好坏 来 形容 男人 太小 看 我 了 。 南 都 周刊 ： 桂纶 镁 说 你 的 缺点 是 太 聪明 了 ？ 张雨 绮 ： 是 吗 ？ 我 没测 过 智商 ， 不 知道 。 南 都 周刊 ： 你 这部 戏 行头 动辄 上万 ， 可以 推荐 一款 你 最 爱 的 吗 ？ 张雨 绮 ：   ( 沉默 数秒 ) 鞋子 。 ( 记者 追问 ， 什么样 的 鞋子 ？ ) 美丽 的 鞋子 ? ? ( 记者 继续 追问 ， 能 举例说明 吗 ？ ) 像 船 一样 的 鞋子 ? ? ( 记者 再 问 ， 是 在 戏里 什么 场合 穿 的 ？ ) 没有 穿过 ， 是 我 想象 的 。   
